id_produit,id_categorie,designation,prix_vente_ht,annee_reference,actif
76,7,PROD-0076,16655.16,2026,True
77,6,PROD-0077,8378.14,2025,True
78,2,PROD-0078,48143.02,2025,True
79,5,PROD-0079,28586.53,2026,True
80,1,PROD-0080,30936.32,2026,True
81,4,PROD-0081,26635.31,2026,True
82,3,PROD-0082,14104.41,2025,True
83,8,PROD-0083,28163.45,2026,True
84,4,PROD-0084,35462.0,2026,True
85,5,PROD-0085,28644.54,2025,True
86,5,PROD-0086,31891.56,2026,True
87,6,PROD-0087,26224.64,2025,True
88,1,PROD-0088,38999.68,2026,True
89,1,PROD-0089,37796.53,2026,True
90,8,PROD-0090,17850.6,2026,False
91,3,PROD-0091,13315.92,2026,True
92,1,PROD-0092,39340.62,2026,False
93,7,PROD-0093,46968.36,2026,False
94,2,PROD-0094,32353.41,2025,True
95,4,PROD-0095,15721.18,2025,True
96,7,PROD-0096,42983.87,2025,True
97,5,PROD-0097,1269.91,2026,True
98,8,PROD-0098,19281.47,2026,True
99,4,PROD-0099,16201.47,2026,True
100,1,PROD-0100,8051.23,2026,True
101,7,PROD-0101,2938.69,2026,True
102,7,PROD-0102,14603.61,2026,True
103,2,PROD-0103,17375.79,2026,True
104,2,PROD-0104,33812.41,2026,True
105,1,PROD-0105,7755.63,2025,True
106,1,PROD-0106,9492.93,2025,True
107,7,PROD-0107,17483.26,2025,True
108,1,PROD-0108,49700.29,2026,True
109,1,PROD-0109,2263.14,2025,True
110,4,PROD-0110,18392.12,2025,True
111,2,PROD-0111,24988.85,2025,True
112,5,PROD-0112,34572.56,2025,True
113,8,PROD-0113,36981.84,2026,False
114,8,PROD-0114,8031.46,2026,True
115,6,PROD-0115,45296.84,2026,True
116,1,PROD-0116,33081.47,2025,True
117,7,PROD-0117,49241.22,2025,True
118,8,PROD-0118,42305.68,2026,True
119,1,PROD-0119,28237.23,2026,True
120,4,PROD-0120,18944.57,2026,True
121,1,PROD-0121,13582.55,2026,True
122,2,PROD-0122,30360.96,2026,True
123,5,PROD-0123,49268.76,2025,True
124,7,PROD-0124,31328.57,2025,True
125,5,PROD-0125,15900.11,2026,True
126,4,PROD-0126,7346.46,2025,True
127,7,PROD-0127,43202.59,2025,True
128,4,PROD-0128,31231.83,2026,True
129,5,PROD-0129,20219.37,2026,True
130,4,PROD-0130,12225.98,2025,True
131,1,PROD-0131,37065.96,2026,True
132,8,PROD-0132,45491.6,2026,True
133,4,PROD-0133,2241.26,2025,True
134,6,PROD-0134,687.65,2025,True
135,7,PROD-0135,28900.88,2025,True
136,7,PROD-0136,18472.91,2026,True
137,7,PROD-0137,2220.92,2025,True
138,7,PROD-0138,22857.17,2025,True
139,7,PROD-0139,20966.45,2025,True
140,7,PROD-0140,35998.7,2026,True
141,8,PROD-0141,45414.54,2026,True
142,3,PROD-0142,7584.22,2026,True
143,2,PROD-0143,48560.54,2026,True
144,5,PROD-0144,28409.3,2026,True
145,6,PROD-0145,25655.32,2025,True
146,3,PROD-0146,30566.2,2026,True
147,6,PROD-0147,49610.98,2025,True
148,2,PROD-0148,8876.34,2026,True
149,7,PROD-0149,45253.03,2026,True
150,4,PROD-0150,5963.48,2025,True
151,6,PROD-0151,41353.24,2025,True
152,3,PROD-0152,23295.08,2025,True
153,4,PROD-0153,27886.3,2026,True
154,8,PROD-0154,1601.75,2025,False
155,4,PROD-0155,16094.25,2026,True
156,4,PROD-0156,49856.73,2025,True
157,3,PROD-0157,22820.94,2025,True
158,3,PROD-0158,20936.69,2026,True
159,2,PROD-0159,23558.87,2026,True
160,6,PROD-0160,47965.16,2026,False
161,4,PROD-0161,44072.15,2025,True
162,5,PROD-0162,49251.93,2025,True
163,3,PROD-0163,17286.71,2025,True
164,1,PROD-0164,2215.03,2025,True
165,8,PROD-0165,28209.67,2026,True
166,4,PROD-0166,1823.05,2025,True
167,6,PROD-0167,7244.4,2026,True
168,5,PROD-0168,43119.35,2026,True
169,6,PROD-0169,1827.1,2025,True
170,7,PROD-0170,30858.48,2025,True
171,6,PROD-0171,16468.05,2026,True
172,2,PROD-0172,26905.52,2026,True
173,5,PROD-0173,24776.82,2026,True
174,3,PROD-0174,11584.68,2026,True
175,1,PROD-0175,23201.56,2025,True
176,6,PROD-0176,16513.98,2026,True
177,7,PROD-0177,15078.35,2025,True
178,2,PROD-0178,17412.37,2026,True
179,4,PROD-0179,34821.52,2025,False
180,7,PROD-0180,29891.76,2025,True
181,8,PROD-0181,5879.86,2026,True
182,8,PROD-0182,15436.7,2025,True
183,6,PROD-0183,29492.01,2026,True
184,4,PROD-0184,23476.28,2026,True
185,3,PROD-0185,29886.28,2026,True
186,6,PROD-0186,19633.96,2026,True
187,6,PROD-0187,49525.32,2025,True
188,8,PROD-0188,46446.19,2026,True
189,6,PROD-0189,26198.19,2025,True
190,2,PROD-0190,39813.76,2025,True
191,8,PROD-0191,48985.63,2025,True
192,5,PROD-0192,5537.48,2025,True
193,4,PROD-0193,21145.26,2025,True
194,4,PROD-0194,16702.99,2025,True
195,1,PROD-0195,2009.43,2025,True
196,1,PROD-0196,16214.73,2025,True
197,5,PROD-0197,14631.19,2026,True
198,2,PROD-0198,45492.96,2025,True
199,2,PROD-0199,41746.25,2026,True
200,8,PROD-0200,42822.78,2025,True
201,3,PROD-0201,1881.86,2026,True
202,8,PROD-0202,14521.79,2025,True
203,2,PROD-0203,4725.65,2026,True
204,4,PROD-0204,18236.9,2026,True
205,4,PROD-0205,17842.14,2026,True
206,8,PROD-0206,43336.52,2025,True
207,4,PROD-0207,29193.58,2025,True
208,5,PROD-0208,27111.67,2025,True
209,1,PROD-0209,46077.21,2026,True
210,4,PROD-0210,2527.33,2026,True
211,5,PROD-0211,36604.65,2025,True
212,5,PROD-0212,45207.81,2026,True
213,2,PROD-0213,30529.58,2026,True
214,3,PROD-0214,26677.61,2026,False
215,8,PROD-0215,26263.79,2026,True
216,2,PROD-0216,15644.51,2026,True
217,6,PROD-0217,12602.16,2026,True
218,2,PROD-0218,1099.64,2025,True
219,4,PROD-0219,10496.68,2026,True
220,8,PROD-0220,30076.93,2026,True
221,5,PROD-0221,31584.98,2025,True
222,2,PROD-0222,23181.0,2026,True
223,6,PROD-0223,1891.42,2026,True
224,6,PROD-0224,14989.13,2025,True
225,3,PROD-0225,33310.63,2025,True
226,8,PROD-0226,30011.72,2025,True
227,1,PROD-0227,24474.83,2026,True
228,6,PROD-0228,36064.17,2026,True
229,8,PROD-0229,13400.02,2026,True
230,6,PROD-0230,11295.45,2026,True
231,8,PROD-0231,30174.41,2025,True
232,1,PROD-0232,10482.38,2026,True
233,8,PROD-0233,29251.91,2025,True
234,7,PROD-0234,37478.91,2025,True
235,1,PROD-0235,27543.94,2025,True
236,1,PROD-0236,13477.82,2025,True
237,2,PROD-0237,8456.83,2026,True
238,6,PROD-0238,46380.72,2026,True
239,2,PROD-0239,14671.05,2025,True
240,4,PROD-0240,27497.74,2026,True
241,3,PROD-0241,37550.42,2026,True
242,6,PROD-0242,8151.96,2025,True
243,3,PROD-0243,41328.75,2025,False
244,8,PROD-0244,14244.61,2025,True
245,7,PROD-0245,860.23,2026,True
246,5,PROD-0246,49218.48,2025,True
247,7,PROD-0247,42578.77,2026,True
248,6,PROD-0248,44279.34,2026,True
249,1,PROD-0249,13526.46,2026,True
250,4,PROD-0250,5438.65,2025,True
251,2,PROD-0251,18002.45,2025,False
252,6,PROD-0252,1921.49,2025,True
253,5,PROD-0253,44737.58,2026,True
254,3,PROD-0254,8491.02,2025,True
255,4,PROD-0255,21853.01,2026,True
256,4,PROD-0256,34194.99,2025,True
257,8,PROD-0257,21956.42,2026,True
258,1,PROD-0258,15316.54,2025,True
259,4,PROD-0259,26894.84,2026,True
260,3,PROD-0260,33566.31,2025,True
261,6,PROD-0261,31146.4,2026,True
262,5,PROD-0262,42652.79,2025,False
263,2,PROD-0263,38962.14,2026,True
264,3,PROD-0264,3841.88,2026,True
265,7,PROD-0265,18307.86,2026,True
266,5,PROD-0266,38149.58,2025,True
267,1,PROD-0267,16640.78,2026,True
268,2,PROD-0268,13635.26,2026,True
269,2,PROD-0269,27379.3,2026,True
270,3,PROD-0270,16308.34,2025,True
271,8,PROD-0271,41812.27,2025,True
272,6,PROD-0272,34316.42,2025,True
273,4,PROD-0273,18139.29,2025,True
274,3,PROD-0274,26708.63,2026,True
275,3,PROD-0275,37632.5,2025,True
276,4,PROD-0276,17752.5,2026,True
277,5,PROD-0277,46293.27,2025,True
278,3,PROD-0278,8264.09,2025,True
279,8,PROD-0279,24382.65,2025,True
280,1,PROD-0280,1037.64,2025,True
281,5,PROD-0281,38439.62,2026,True
282,1,PROD-0282,27304.3,2025,True
283,7,PROD-0283,18734.28,2025,True
284,2,PROD-0284,40075.39,2026,True
285,4,PROD-0285,6387.5,2025,True
286,4,PROD-0286,25442.76,2025,True
287,7,PROD-0287,27945.99,2025,True
288,4,PROD-0288,3322.98,2026,True
289,7,PROD-0289,20385.26,2026,True
290,4,PROD-0290,14465.12,2026,True
291,4,PROD-0291,8508.19,2026,True
292,8,PROD-0292,40772.48,2026,True
293,4,PROD-0293,8327.83,2025,True
294,7,PROD-0294,11364.18,2026,True
295,6,PROD-0295,40506.43,2026,True
296,5,PROD-0296,21153.38,2026,True
297,2,PROD-0297,43053.28,2026,True
298,7,PROD-0298,37526.56,2026,True
299,6,PROD-0299,48966.5,2025,False
300,5,PROD-0300,35357.59,2026,True
301,5,PROD-0301,30009.36,2026,False
302,1,PROD-0302,5820.31,2025,True
303,1,PROD-0303,23508.54,2025,True
304,4,PROD-0304,9249.02,2026,True
305,8,PROD-0305,28738.99,2025,True
306,5,PROD-0306,30408.75,2025,True
307,7,PROD-0307,46787.21,2026,True
308,8,PROD-0308,4675.43,2025,True
309,7,PROD-0309,47839.65,2025,True
310,6,PROD-0310,14565.94,2025,True
311,5,PROD-0311,43110.42,2026,True
312,1,PROD-0312,28013.59,2026,True
313,8,PROD-0313,26349.98,2025,True
314,8,PROD-0314,30139.58,2025,True
315,4,PROD-0315,23195.59,2025,True
316,1,PROD-0316,40177.94,2026,True
317,8,PROD-0317,36253.11,2026,True
318,1,PROD-0318,41407.95,2026,True
319,7,PROD-0319,41203.41,2026,True
320,8,PROD-0320,34033.93,2026,True
321,8,PROD-0321,38817.61,2025,True
322,7,PROD-0322,7307.73,2026,True
323,4,PROD-0323,2657.75,2025,True
324,7,PROD-0324,35866.3,2026,True
325,8,PROD-0325,22609.93,2025,True
326,3,PROD-0326,35059.61,2025,True
327,5,PROD-0327,5843.81,2026,True
328,6,PROD-0328,24612.98,2025,True
329,7,PROD-0329,24643.79,2025,True
330,1,PROD-0330,9997.53,2026,True
331,3,PROD-0331,12569.23,2026,True
332,1,PROD-0332,8956.49,2026,True
333,2,PROD-0333,13558.78,2025,True
334,7,PROD-0334,40962.0,2026,False
335,1,PROD-0335,34368.04,2026,True
336,6,PROD-0336,1726.15,2026,True
337,2,PROD-0337,26459.91,2025,True
338,8,PROD-0338,40573.34,2026,True
339,3,PROD-0339,49483.69,2025,True
340,3,PROD-0340,9900.99,2025,True
341,1,PROD-0341,4003.94,2026,True
342,7,PROD-0342,31305.22,2026,True
343,4,PROD-0343,9857.61,2025,False
344,3,PROD-0344,18532.21,2025,True
345,6,PROD-0345,25237.64,2026,True
346,6,PROD-0346,36217.79,2026,True
347,5,PROD-0347,42334.74,2025,True
348,5,PROD-0348,33676.36,2025,True
349,7,PROD-0349,23217.34,2025,True
350,6,PROD-0350,1441.51,2025,True
351,4,PROD-0351,46874.59,2025,True
352,6,PROD-0352,43625.62,2025,True
353,4,PROD-0353,13061.34,2025,True
354,7,PROD-0354,47076.83,2026,True
355,4,PROD-0355,22761.13,2025,True
356,5,PROD-0356,8159.85,2026,True
357,1,PROD-0357,13080.66,2025,True
358,3,PROD-0358,18884.48,2026,True
359,8,PROD-0359,47475.05,2025,True
360,4,PROD-0360,3938.07,2025,True
361,8,PROD-0361,7598.03,2025,True
362,3,PROD-0362,2770.88,2025,True
363,7,PROD-0363,39417.5,2026,True
364,7,PROD-0364,20665.46,2026,True
365,7,PROD-0365,42638.95,2026,True
366,5,PROD-0366,32494.88,2025,True
367,2,PROD-0367,11508.05,2026,True
368,4,PROD-0368,24380.59,2026,True
369,1,PROD-0369,6314.22,2026,True
370,5,PROD-0370,14981.57,2025,True
371,6,PROD-0371,9572.4,2025,True
372,6,PROD-0372,33782.88,2026,True
373,4,PROD-0373,29605.72,2025,True
374,3,PROD-0374,2941.79,2025,True
375,1,PROD-0375,27241.98,2025,True
376,4,PROD-0376,23793.77,2025,True
377,3,PROD-0377,21157.77,2025,True
378,8,PROD-0378,31111.23,2026,True
379,1,PROD-0379,646.3,2025,True
380,7,PROD-0380,35893.48,2026,True
