date,id_medicament,entree,sortie,stock_fin
2025-06-09,M01,0,11,1272
2025-06-10,M01,0,10,1262
2025-06-11,M01,0,8,1254
2025-06-12,M01,0,6,1248
2025-06-13,M01,0,7,1241
2025-06-14,M01,0,6,1235
2025-06-15,M01,177,8,1404
2025-06-16,M01,0,12,1392
2025-06-17,M01,0,6,1386
2025-06-18,M01,0,10,1376
2025-06-19,M01,0,9,1367
2025-06-20,M01,0,10,1357
2025-06-21,M01,0,4,1353
2025-06-22,M01,0,5,1348
2025-06-23,M01,0,11,1337
2025-06-24,M01,0,5,1332
2025-06-25,M01,0,9,1323
2025-06-26,M01,0,10,1313
2025-06-27,M01,0,12,1301
2025-06-28,M01,0,5,1296
2025-06-29,M01,130,9,1417
2025-06-30,M01,0,8,1409
2025-07-01,M01,110,8,1511
2025-07-02,M01,0,8,1503
2025-07-03,M01,0,9,1494
2025-07-04,M01,0,14,1480
2025-07-05,M01,0,7,1473
2025-07-06,M01,0,15,1458
2025-07-07,M01,0,7,1451
2025-07-08,M01,0,9,1442
2025-07-09,M01,0,11,1431
2025-07-10,M01,0,7,1424
2025-07-11,M01,0,9,1415
2025-07-12,M01,0,12,1403
2025-07-13,M01,0,8,1395
2025-07-14,M01,0,1395,0
2025-07-15,M01,0,0,0
2025-07-16,M01,0,0,0
2025-07-17,M01,77,5,72
2025-07-18,M01,0,7,1488
2025-07-19,M01,0,8,1480
2025-07-20,M01,0,5,1475
2025-07-21,M01,0,11,1464
2025-07-22,M01,0,9,1455
2025-07-23,M01,0,11,1444
2025-07-24,M01,0,14,1430
2025-07-25,M01,0,6,1424
2025-07-26,M01,0,11,1413
2025-07-27,M01,0,8,1405
2025-07-28,M01,0,9,1396
2025-07-29,M01,111,12,1495
2025-07-30,M01,0,10,1485
2025-07-31,M01,0,12,1473
2025-08-01,M01,130,7,1596
2025-08-02,M01,0,13,1583
2025-08-03,M01,0,6,1577
2025-08-04,M01,0,6,1571
2025-08-05,M01,0,14,1557
2025-08-06,M01,0,11,1546
2025-08-07,M01,0,7,1539
2025-08-08,M01,0,9,1530
2025-08-09,M01,0,5,1525
2025-08-10,M01,0,7,1518
2025-08-11,M01,0,10,1508
2025-08-12,M01,0,7,1501
2025-08-13,M01,0,16,1485
2025-08-14,M01,0,10,1475
2025-08-15,M01,130,12,1593
2025-08-16,M01,0,9,1584
2025-08-17,M01,0,11,1573
2025-08-18,M01,0,7,1566
2025-08-19,M01,0,11,1555
2025-08-20,M01,0,14,1541
2025-08-21,M01,0,9,1532
2025-08-22,M01,0,10,1522
2025-08-23,M01,0,10,1512
2025-08-24,M01,0,13,1499
2025-08-25,M01,0,12,1487
2025-08-26,M01,0,14,1473
2025-08-27,M01,0,6,1467
2025-08-28,M01,0,9,1458
2025-08-29,M01,134,9,1583
2025-08-30,M01,0,9,1574
2025-08-31,M01,0,10,1564
2025-09-01,M01,120,11,1673
2025-09-02,M01,0,8,1665
2025-09-03,M01,0,8,1657
2025-09-04,M01,0,2,1655
2025-09-05,M01,0,6,1649
2025-09-06,M01,0,7,1642
2025-09-07,M01,0,11,1631
2025-09-08,M01,0,9,1622
2025-09-09,M01,0,9,1613
2025-09-10,M01,0,11,1602
2025-09-11,M01,0,5,1597
2025-09-12,M01,0,8,1589
2025-09-13,M01,0,7,1582
2025-09-14,M01,0,7,1575
2025-09-15,M01,138,6,1707
2025-09-16,M01,0,13,1694
2025-09-17,M01,0,9,1685
2025-09-18,M01,0,9,1676
2025-09-19,M01,0,5,1671
2025-09-20,M01,0,13,1658
2025-09-21,M01,0,6,1652
2025-09-22,M01,0,6,1646
2025-09-23,M01,0,8,1638
2025-09-24,M01,0,10,1628
2025-09-25,M01,0,2,1626
2025-09-26,M01,0,17,1609
2025-09-27,M01,0,8,1601
2025-09-28,M01,0,14,1587
2025-09-29,M01,147,10,1724
2025-09-30,M01,0,12,1712
2025-10-01,M01,142,8,1846
2025-10-02,M01,0,8,1838
2025-10-03,M01,0,6,1832
2025-10-04,M01,0,10,1822
2025-10-05,M01,0,6,1816
2025-10-06,M01,0,14,1802
2025-10-07,M01,0,6,1796
2025-10-08,M01,0,8,1788
2025-10-09,M01,0,7,1781
2025-10-10,M01,0,10,1771
2025-10-11,M01,0,17,1754
2025-10-12,M01,0,16,1738
2025-10-13,M01,0,7,1731
2025-10-14,M01,0,9,1722
2025-10-15,M01,139,12,1849
2025-10-16,M01,0,6,1843
2025-10-17,M01,0,15,1828
2025-10-18,M01,0,4,1824
2025-10-19,M01,0,10,1814
2025-10-20,M01,0,10,1804
2025-10-21,M01,0,9,1795
2025-10-22,M01,0,8,1787
2025-10-23,M01,0,12,1775
2025-10-24,M01,0,9,1766
2025-10-25,M01,0,9,1757
2025-10-26,M01,0,9,1748
2025-10-27,M01,0,8,1740
2025-10-28,M01,0,10,1730
2025-10-29,M01,112,8,1834
2025-10-30,M01,0,7,1827
2025-10-31,M01,0,9,1818
2025-11-01,M01,116,6,1928
2025-11-02,M01,0,3,1925
2025-11-03,M01,0,8,1917
2025-11-04,M01,0,12,1905
2025-11-05,M01,0,6,1899
2025-11-06,M01,0,8,1891
2025-11-07,M01,0,7,1884
2025-11-08,M01,0,5,1879
2025-11-09,M01,0,9,1870
2025-11-10,M01,0,5,1865
2025-11-11,M01,0,12,1853
2025-11-12,M01,0,13,1840
2025-11-13,M01,0,8,1832
2025-11-14,M01,0,3,1829
2025-11-15,M01,109,14,1924
2025-11-16,M01,0,9,1915
2025-11-17,M01,0,13,1902
2025-11-18,M01,0,6,1896
2025-11-19,M01,0,10,1886
2025-11-20,M01,0,9,1877
2025-11-21,M01,0,7,1870
2025-11-22,M01,0,10,1860
2025-11-23,M01,0,4,1856
2025-11-24,M01,0,7,1849
2025-11-25,M01,0,6,1843
2025-11-26,M01,0,9,1834
2025-11-27,M01,0,10,1824
2025-11-28,M01,0,14,1810
2025-11-29,M01,108,8,1910
2025-11-30,M01,0,7,1903
2025-12-01,M01,101,3,2001
2025-12-02,M01,0,7,1994
2025-12-03,M01,0,7,1987
2025-12-04,M01,0,7,1980
2025-12-05,M01,0,4,1976
2025-12-06,M01,0,10,1966
2025-12-07,M01,0,9,1957
2025-12-08,M01,0,11,1946
2025-12-09,M01,0,8,1938
2025-12-10,M01,0,14,1924
2025-12-11,M01,0,10,1914
2025-12-12,M01,0,9,1905
2025-12-13,M01,0,8,1897
2025-12-14,M01,0,7,1890
2025-12-15,M01,138,8,2020
2025-12-16,M01,0,9,2011
2025-12-17,M01,0,7,2004
2025-12-18,M01,0,7,1997
2025-12-19,M01,0,8,1989
2025-12-20,M01,0,18,1971
2025-12-21,M01,0,7,1964
2025-12-22,M01,0,10,1954
2025-12-23,M01,0,6,1948
2025-12-24,M01,0,7,1941
2025-12-25,M01,0,7,1934
2025-12-26,M01,0,3,1931
2025-12-27,M01,0,15,1916
2025-12-28,M01,0,7,1909
2025-12-29,M01,116,7,2018
2025-12-30,M01,0,9,2009
2025-12-31,M01,0,7,2002
2026-01-01,M01,127,14,2115
2026-01-02,M01,0,14,2101
2026-01-03,M01,0,6,2095
2026-01-04,M01,0,7,2088
2026-01-05,M01,0,7,2081
2026-01-06,M01,0,10,2071
2026-01-07,M01,0,8,2063
2026-01-08,M01,0,6,2057
2026-01-09,M01,0,4,2053
2026-01-10,M01,0,7,2046
2026-01-11,M01,0,8,2038
2026-01-12,M01,0,13,2025
2026-01-13,M01,0,14,2011
2026-01-14,M01,0,7,2004
2026-01-15,M01,117,8,2113
2026-01-16,M01,0,18,2095
2026-01-17,M01,0,9,2086
2026-01-18,M01,0,11,2075
2026-01-19,M01,0,5,2070
2026-01-20,M01,0,9,2061
2026-01-21,M01,0,8,2053
2026-01-22,M01,0,12,2041
2026-01-23,M01,0,8,2033
2026-01-24,M01,0,8,2025
2026-01-25,M01,0,4,2021
2026-01-26,M01,0,8,2013
2026-01-27,M01,0,3,2010
2026-01-28,M01,0,8,2002
2026-01-29,M01,125,7,2120
2026-01-30,M01,0,13,2107
2026-01-31,M01,0,16,2091
2026-02-01,M01,114,12,2193
2026-02-02,M01,0,10,2183
2026-02-03,M01,0,11,2172
2026-02-04,M01,0,6,2166
2026-02-05,M01,0,15,2151
2026-02-06,M01,0,6,2145
2026-02-07,M01,0,9,2136
2026-02-08,M01,0,3,2133
2026-02-09,M01,0,11,2122
2026-02-10,M01,0,9,2113
2026-02-11,M01,0,11,2102
2026-02-12,M01,0,8,2094
2026-02-13,M01,0,13,2081
2026-02-14,M01,0,12,2069
2026-02-15,M01,124,11,2182
2026-02-16,M01,0,8,2174
2026-02-17,M01,0,10,2164
2026-02-18,M01,0,5,2159
2026-02-19,M01,0,9,2150
2026-02-20,M01,0,13,2137
2026-02-21,M01,0,8,2129
2026-02-22,M01,0,12,2117
2026-02-23,M01,0,8,2109
2026-02-24,M01,0,11,2098
2026-02-25,M01,0,14,2084
2026-02-26,M01,0,16,2068
2026-02-27,M01,0,6,2062
2026-02-28,M01,0,8,2054
2026-03-01,M01,107,10,2151
2026-03-02,M01,0,10,2141
2026-03-03,M01,0,11,2130
2026-03-04,M01,0,10,2120
2026-03-05,M01,0,4,2116
2026-03-06,M01,0,3,2113
2026-03-07,M01,0,7,2106
2026-03-08,M01,0,9,2097
2026-03-09,M01,0,6,2091
2026-03-10,M01,0,10,2081
2026-03-11,M01,0,9,2072
2026-03-12,M01,0,9,2063
2026-03-13,M01,0,9,2054
2026-03-14,M01,0,9,2045
2026-03-15,M01,107,8,2144
2026-03-16,M01,0,12,2132
2026-03-17,M01,0,9,2123
2026-03-18,M01,0,11,2112
2026-03-19,M01,0,6,2106
2026-03-20,M01,0,13,2093
2026-03-21,M01,0,9,2084
2026-03-22,M01,0,17,2067
2026-03-23,M01,0,4,2063
2026-03-24,M01,0,10,2053
2026-03-25,M01,0,15,2038
2026-03-26,M01,0,10,2028
2026-03-27,M01,0,6,2022
2026-03-28,M01,0,8,2014
2026-03-29,M01,116,9,2121
2026-03-30,M01,0,9,2112
2026-03-31,M01,0,10,2102
2026-04-01,M01,116,8,2210
2026-04-02,M01,0,19,2191
2026-04-03,M01,0,9,2182
2026-04-04,M01,0,6,2176
2026-04-05,M01,0,7,2169
2026-04-06,M01,0,14,2155
2026-04-07,M01,0,11,2144
2026-04-08,M01,0,9,2135
2026-04-09,M01,0,7,2128
2026-04-10,M01,0,10,2118
2026-04-11,M01,0,8,2110
2026-04-12,M01,0,12,2098
2026-04-13,M01,0,12,2086
2026-04-14,M01,0,8,2078
2026-04-15,M01,119,14,2183
2026-04-16,M01,0,7,2176
2026-04-17,M01,0,9,2167
2026-04-18,M01,0,8,2159
2026-04-19,M01,0,10,2149
2026-04-20,M01,0,9,2140
2026-04-21,M01,0,11,2129
2026-04-22,M01,0,11,2118
2026-04-23,M01,0,7,2111
2026-04-24,M01,0,9,2102
2026-04-25,M01,0,10,2092
2026-04-26,M01,0,8,2084
2026-04-27,M01,0,2,2082
2026-04-28,M01,0,12,2070
2026-04-29,M01,139,7,2202
2026-04-30,M01,0,4,2198
2026-05-01,M01,133,13,2318
2026-05-02,M01,0,5,2313
2026-05-03,M01,0,10,2303
2026-05-04,M01,0,9,2294
2026-05-05,M01,0,10,2284
2026-05-06,M01,0,13,2271
2026-05-07,M01,0,11,2260
2026-05-08,M01,0,13,2247
2026-05-09,M01,0,11,2236
2026-05-10,M01,0,4,2232
2026-05-11,M01,0,9,2223
2026-05-12,M01,0,12,2211
2026-05-13,M01,0,9,2202
2026-05-14,M01,0,11,2191
2026-05-15,M01,105,11,2285
2026-05-16,M01,0,14,2271
2026-05-17,M01,0,9,2262
2026-05-18,M01,0,11,2251
2026-05-19,M01,0,5,2246
2026-05-20,M01,0,10,2236
2026-05-21,M01,0,6,2230
2026-05-22,M01,0,8,2222
2026-05-23,M01,0,12,2210
2026-05-24,M01,0,10,2200
2026-05-25,M01,0,5,2195
2026-05-26,M01,0,6,2189
2026-05-27,M01,0,8,2181
2026-05-28,M01,0,12,2169
2026-05-29,M01,117,5,2281
2026-05-30,M01,0,9,2272
2026-05-31,M01,0,12,2260
2026-06-01,M01,134,5,2389
2026-06-02,M01,0,14,2375
2026-06-03,M01,0,11,2364
2026-06-04,M01,0,10,2354
2026-06-05,M01,0,9,2345
2026-06-06,M01,0,6,2339
2026-06-07,M01,0,6,2333
2026-06-08,M01,0,7,2326
2026-06-09,M01,0,8,2318
2026-06-10,M01,0,0,2318
2026-06-11,M01,0,5,2313
2026-06-12,M01,0,10,2303
2026-06-13,M01,0,10,2293
2026-06-14,M01,0,8,2285
2026-06-15,M01,136,15,2406
2026-06-16,M01,0,8,2398
2026-06-17,M01,0,12,2386
2026-06-18,M01,0,11,2375
2026-06-19,M01,0,7,2368
2026-06-20,M01,0,7,2361
2026-06-21,M01,0,6,2355
2026-06-22,M01,0,9,2346
2026-06-23,M01,0,5,2341
2026-06-24,M01,0,9,2332
2026-06-25,M01,0,12,2320
2026-06-26,M01,0,6,2314
2026-06-27,M01,0,9,2305
2026-06-28,M01,0,7,2298
2026-06-29,M01,104,5,2397
2026-06-30,M01,0,13,2384
2026-07-01,M01,136,11,2509
2026-07-02,M01,0,6,2503
2026-07-03,M01,0,9,2494
2026-07-04,M01,0,8,2486
2026-07-05,M01,0,8,2478
2026-07-06,M01,0,8,2470
2026-07-07,M01,0,13,2457
2026-07-08,M01,0,10,2447
2026-07-09,M01,0,7,2440
2026-07-10,M01,0,15,2425
2026-07-11,M01,0,10,2415
2026-07-12,M01,0,10,2405
2026-07-13,M01,0,11,2394
2026-07-14,M01,0,12,2382
2026-07-15,M01,129,10,2501
2026-07-16,M01,0,7,2494
2026-07-17,M01,0,11,2483
2026-07-18,M01,0,13,2470
2026-07-19,M01,0,10,2460
2026-07-20,M01,0,5,2455
2026-07-21,M01,0,10,2445
2026-07-22,M01,0,4,2441
2026-07-23,M01,0,7,2434
2026-07-24,M01,0,11,2423
2026-07-25,M01,0,5,2418
2026-07-26,M01,0,5,2413
2026-07-27,M01,0,8,2405
2026-07-28,M01,0,9,2396
2026-07-29,M01,136,6,2526
2026-07-30,M01,0,7,2519
2026-07-31,M01,0,11,2508
2026-08-01,M01,118,13,2613
2026-08-02,M01,0,7,2606
2026-08-03,M01,0,7,2599
2026-08-04,M01,0,16,2583
2026-08-05,M01,0,4,2579
2026-08-06,M01,0,15,2564
2026-08-07,M01,0,9,2555
2026-08-08,M01,0,11,2544
2026-08-09,M01,0,11,2533
2026-08-10,M01,0,12,2521
2026-08-11,M01,0,9,2512
2026-08-12,M01,0,10,2502
2026-08-13,M01,0,7,2495
2026-08-14,M01,0,8,2487
2026-08-15,M01,112,10,2589
2026-08-16,M01,0,8,2581
2026-08-17,M01,0,14,2567
2026-08-18,M01,0,11,2556
2026-08-19,M01,0,14,2542
2026-08-20,M01,0,1,2541
2026-08-21,M01,0,4,2537
2026-08-22,M01,0,9,2528
2026-08-23,M01,0,13,2515
2026-08-24,M01,0,9,2506
2026-08-25,M01,0,12,2494
2026-08-26,M01,0,5,2489
2026-08-27,M01,0,11,2478
2026-08-28,M01,0,8,2470
2026-08-29,M01,119,13,2576
2026-08-30,M01,0,12,2564
2026-08-31,M01,0,9,2555
2026-09-01,M01,114,12,2657
2026-09-02,M01,0,7,2650
2026-09-03,M01,0,12,2638
2026-09-04,M01,0,12,2626
2026-09-05,M01,0,14,2612
2026-09-06,M01,0,8,2604
2026-09-07,M01,0,7,2597
2026-09-08,M01,0,7,2590
2026-09-09,M01,0,11,2579
2026-09-10,M01,0,9,2570
2026-09-11,M01,0,8,2562
2026-09-12,M01,0,10,2552
2026-09-13,M01,0,8,2544
2026-09-14,M01,0,6,2538
2026-09-15,M01,104,7,2635
2026-09-16,M01,0,15,2620
2026-09-17,M01,0,6,2614
2026-09-18,M01,0,10,2604
2026-09-19,M01,0,8,2596
2026-09-20,M01,0,6,2590
2026-09-21,M01,0,9,2581
2026-09-22,M01,0,13,2568
2026-09-23,M01,0,7,2561
2026-09-24,M01,0,11,2550
2026-09-25,M01,0,6,2544
2026-09-26,M01,0,7,2537
2026-09-27,M01,0,10,2527
2026-09-28,M01,0,3,2524
2026-09-29,M01,118,8,2634
2026-09-30,M01,0,7,2627
2026-10-01,M01,114,8,2733
2026-10-02,M01,0,6,2727
2026-10-03,M01,0,13,2714
2026-10-04,M01,0,7,2707
2026-10-05,M01,0,6,2701
2026-10-06,M01,0,12,2689
2026-10-07,M01,0,11,2678
2026-10-08,M01,0,9,2669
2026-10-09,M01,0,8,2661
2026-10-10,M01,0,22,2639
2026-10-11,M01,0,9,2630
2026-10-12,M01,0,8,2622
2026-10-13,M01,0,11,2611
2026-10-14,M01,0,11,2600
2026-10-15,M01,139,9,2730
2026-10-16,M01,0,9,2721
2026-10-17,M01,0,12,2709
2026-10-18,M01,0,6,2703
2026-10-19,M01,0,11,2692
2026-10-20,M01,0,8,2684
2026-10-21,M01,0,15,2669
2026-10-22,M01,0,9,2660
2026-10-23,M01,0,8,2652
2026-10-24,M01,0,7,2645
2026-10-25,M01,0,4,2641
2026-10-26,M01,0,3,2638
2026-10-27,M01,0,12,2626
2026-10-28,M01,0,10,2616
2026-10-29,M01,124,15,2725
2026-10-30,M01,0,11,2714
2026-10-31,M01,0,10,2704
2026-11-01,M01,121,7,2818
2026-11-02,M01,0,10,2808
2026-11-03,M01,0,9,2799
2026-11-04,M01,0,15,2784
2026-11-05,M01,0,13,2771
2026-11-06,M01,0,14,2757
2026-11-07,M01,0,8,2749
2026-11-08,M01,0,6,2743
2026-11-09,M01,0,12,2731
2026-11-10,M01,0,10,2721
2026-11-11,M01,0,10,2711
2026-11-12,M01,0,11,2700
2026-11-13,M01,0,11,2689
2026-11-14,M01,0,7,2682
2026-11-15,M01,132,9,2805
2026-11-16,M01,0,11,2794
2026-11-17,M01,0,10,2784
2026-11-18,M01,0,12,2772
2026-11-19,M01,0,7,2765
2026-11-20,M01,0,7,2758
2026-11-21,M01,0,8,2750
2026-11-22,M01,0,7,2743
2026-11-23,M01,0,9,2734
2026-11-24,M01,0,4,2730
2026-11-25,M01,0,10,2720
2026-11-26,M01,0,6,2714
2026-11-27,M01,0,9,2705
2026-11-28,M01,0,10,2695
2026-11-29,M01,112,8,2799
2026-11-30,M01,0,13,2786
2026-12-01,M01,109,13,2882
2026-12-02,M01,0,4,2878
2026-12-03,M01,0,13,2865
2026-12-04,M01,0,9,2856
2026-12-05,M01,0,8,2848
2026-12-06,M01,0,10,2838
2026-12-07,M01,0,7,2831
2026-12-08,M01,0,14,2817
2026-12-09,M01,0,10,2807
2026-12-10,M01,0,8,2799
2026-12-11,M01,0,7,2792
2026-12-12,M01,0,7,2785
2026-12-13,M01,0,14,2771
2026-12-14,M01,0,7,2764
2026-12-15,M01,141,8,2897
2026-12-16,M01,0,9,2888
2026-12-17,M01,0,8,2880
2026-12-18,M01,0,4,2876
2026-12-19,M01,0,8,2868
2026-12-20,M01,0,13,2855
2026-12-21,M01,0,8,2847
2026-12-22,M01,0,11,2836
2026-12-23,M01,0,10,2826
2026-12-24,M01,0,9,2817
2026-12-25,M01,0,10,2807
2026-12-26,M01,0,4,2803
2026-12-27,M01,0,9,2794
2026-12-28,M01,0,12,2782
2026-12-29,M01,134,6,2910
2026-12-30,M01,0,11,2899
2026-12-31,M01,0,7,2892
2025-01-01,M02,0,5,495
2025-01-02,M02,88,8,575
2025-01-03,M02,0,7,568
2025-01-04,M02,0,5,563
2025-01-05,M02,0,7,556
2025-01-06,M02,0,9,547
2025-01-07,M02,0,6,541
2025-01-08,M02,0,5,536
2025-01-09,M02,0,7,529
2025-01-10,M02,0,5,524
2025-01-11,M02,0,8,516
2025-01-12,M02,0,2,514
2025-01-13,M02,0,4,510
2025-01-14,M02,0,7,503
2025-01-15,M02,0,3,500
2025-01-16,M02,86,6,580
2025-01-17,M02,0,9,571
2025-01-18,M02,0,7,564
2025-01-19,M02,0,8,556
2025-01-20,M02,0,6,550
2025-01-21,M02,0,4,546
2025-01-22,M02,0,8,538
2025-01-23,M02,0,5,533
2025-01-24,M02,0,7,526
2025-01-25,M02,0,7,519
2025-01-26,M02,0,5,514
2025-01-27,M02,0,9,505
2025-01-28,M02,0,6,499
2025-01-29,M02,0,4,495
2025-01-30,M02,86,5,576
2025-01-31,M02,0,6,570
2025-02-01,M02,0,3,567
2025-02-02,M02,67,6,628
2025-02-03,M02,0,7,621
2025-02-04,M02,0,6,615
2025-02-05,M02,0,5,610
2025-02-06,M02,0,12,598
2025-02-07,M02,0,10,588
2025-02-08,M02,0,8,580
2025-02-09,M02,0,3,577
2025-02-10,M02,0,11,566
2025-02-11,M02,0,6,560
2025-02-12,M02,0,7,553
2025-02-13,M02,0,4,549
2025-02-14,M02,0,5,544
2025-02-15,M02,0,7,537
2025-02-16,M02,76,11,602
2025-02-17,M02,0,6,596
2025-02-18,M02,0,2,594
2025-02-19,M02,0,8,586
2025-02-20,M02,0,13,573
2025-02-21,M02,0,7,566
2025-02-22,M02,0,7,559
2025-02-23,M02,0,8,551
2025-02-24,M02,0,10,541
2025-02-25,M02,0,8,533
2025-02-26,M02,0,3,530
2025-02-27,M02,0,6,524
2025-02-28,M02,0,7,517
2025-03-01,M02,0,4,513
2025-03-02,M02,88,5,596
2025-03-03,M02,0,7,589
2025-03-04,M02,0,5,584
2025-03-05,M02,0,5,579
2025-03-06,M02,0,2,577
2025-03-07,M02,0,6,571
2025-03-08,M02,0,6,565
2025-03-09,M02,0,9,556
2025-03-10,M02,0,8,548
2025-03-11,M02,0,5,543
2025-03-12,M02,0,10,533
2025-03-13,M02,0,4,529
2025-03-14,M02,0,8,521
2025-03-15,M02,0,2,519
2025-03-16,M02,80,10,589
2025-03-17,M02,0,8,581
2025-03-18,M02,0,6,575
2025-03-19,M02,0,8,567
2025-03-20,M02,0,7,560
2025-03-21,M02,0,7,553
2025-03-22,M02,0,8,545
2025-03-23,M02,0,7,538
2025-03-24,M02,0,1,537
2025-03-25,M02,0,6,531
2025-03-26,M02,0,2,529
2025-03-27,M02,0,6,523
2025-03-28,M02,0,6,517
2025-03-29,M02,0,12,505
2025-03-30,M02,99,5,599
2025-03-31,M02,0,7,592
2025-04-01,M02,0,3,589
2025-04-02,M02,83,8,664
2025-04-03,M02,0,3,661
2025-04-04,M02,0,5,656
2025-04-05,M02,0,4,652
2025-04-06,M02,0,5,647
2025-04-07,M02,0,4,643
2025-04-08,M02,0,8,635
2025-04-09,M02,0,4,631
2025-04-10,M02,0,4,627
2025-04-11,M02,0,5,622
