id_produit,date_effet,prix_vente_ht
75,2024-01-01,23894
75,2025-01-01,26014
75,2026-01-01,27809
76,2023-01-01,16876
76,2024-01-01,18548
76,2025-01-01,19839
76,2026-01-01,21146
77,2023-01-01,26391
77,2024-01-01,28475
77,2025-01-01,29516
77,2026-01-01,32835
78,2023-01-01,26430
78,2024-01-01,28838
78,2025-01-01,31093
78,2026-01-01,32512
79,2023-01-01,28736
79,2024-01-01,30951
79,2025-01-01,33018
79,2026-01-01,36315
80,2023-01-01,32303
80,2024-01-01,33190
80,2025-01-01,36299
80,2026-01-01,39136
81,2023-01-01,30308
81,2024-01-01,32933
81,2025-01-01,35086
81,2026-01-01,38727
82,2023-01-01,34467
82,2024-01-01,36717
82,2025-01-01,40370
82,2026-01-01,43882
83,2023-01-01,22638
83,2024-01-01,24515
83,2025-01-01,25372
83,2026-01-01,27901
84,2023-01-01,26610
84,2024-01-01,29298
84,2025-01-01,30438
84,2026-01-01,34085
85,2023-01-01,11002
85,2024-01-01,11686
85,2025-01-01,12424
85,2026-01-01,13399
86,2023-01-01,8305
86,2024-01-01,8728
86,2025-01-01,9645
86,2026-01-01,10132
87,2023-01-01,9403
87,2024-01-01,9931
87,2025-01-01,10747
87,2026-01-01,11648
88,2023-01-01,14335
88,2024-01-01,15514
88,2025-01-01,16655
88,2026-01-01,17964
89,2023-01-01,8224
89,2024-01-01,8940
89,2025-01-01,9692
89,2026-01-01,10459
90,2023-01-01,9491
90,2024-01-01,10208
90,2025-01-01,10809
90,2026-01-01,11654
91,2023-01-01,9571
91,2024-01-01,10065
91,2025-01-01,11070
91,2026-01-01,11851
92,2023-01-01,11012
92,2024-01-01,11535
92,2025-01-01,12522
92,2026-01-01,13617
93,2023-01-01,7501
93,2024-01-01,8080
93,2025-01-01,8646
93,2026-01-01,9177
94,2023-01-01,7638
94,2024-01-01,8100
94,2025-01-01,8652
94,2026-01-01,9534
95,2023-01-01,10328
95,2024-01-01,11394
95,2025-01-01,12006
95,2026-01-01,13042
96,2023-01-01,16202
96,2024-01-01,17018
96,2025-01-01,18247
96,2026-01-01,19380
97,2023-01-01,14313
97,2024-01-01,15453
97,2025-01-01,16681
97,2026-01-01,17671
98,2023-01-01,13865
98,2024-01-01,14781
98,2025-01-01,15947
98,2026-01-01,17453
99,2023-01-01,8165
99,2024-01-01,8574
99,2025-01-01,9135
99,2026-01-01,9916
100,2023-01-01,16541
100,2024-01-01,17579
100,2025-01-01,19042
100,2026-01-01,20104
101,2023-01-01,8243
101,2024-01-01,8730
101,2025-01-01,9413
101,2026-01-01,10119
102,2023-01-01,13733
102,2024-01-01,14437
102,2025-01-01,15553
102,2026-01-01,16639
103,2023-01-01,15045
103,2024-01-01,15826
103,2025-01-01,17250
103,2026-01-01,18618
104,2023-01-01,16433
104,2024-01-01,17286
104,2025-01-01,18522
104,2026-01-01,20038
105,2023-01-01,18996
105,2024-01-01,20273
105,2025-01-01,21741
105,2026-01-01,23232
106,2023-01-01,9546
106,2024-01-01,10206
106,2025-01-01,10917
106,2026-01-01,11954
107,2023-01-01,8811
107,2024-01-01,9359
107,2025-01-01,10204
107,2026-01-01,11026
108,2023-01-01,19051
108,2024-01-01,19886
108,2025-01-01,21227
108,2026-01-01,23573
109,2023-01-01,8035
109,2024-01-01,8524
109,2025-01-01,9369
109,2026-01-01,9884
110,2023-01-01,16167
110,2024-01-01,17153
110,2025-01-01,17901
110,2026-01-01,19415
111,2023-01-01,17343
111,2024-01-01,18144
111,2025-01-01,19340
111,2026-01-01,21402
112,2023-01-01,18168
112,2024-01-01,19053
112,2025-01-01,20575
112,2026-01-01,22947
113,2023-01-01,3636
113,2024-01-01,3943
113,2025-01-01,4210
113,2026-01-01,4537
114,2023-01-01,5811
114,2024-01-01,6137
114,2025-01-01,6524
114,2026-01-01,7238
115,2023-01-01,2746
115,2024-01-01,2964
115,2025-01-01,3196
115,2026-01-01,3368
116,2023-01-01,3340
116,2024-01-01,3524
116,2025-01-01,3782
116,2026-01-01,4107
117,2023-01-01,3552
117,2024-01-01,3823
117,2025-01-01,4126
117,2026-01-01,4378
118,2023-01-01,4141
118,2024-01-01,4377
118,2025-01-01,4644
118,2026-01-01,5132
119,2023-01-01,4878
119,2024-01-01,5115
119,2025-01-01,5496
119,2026-01-01,5968
120,2023-01-01,3206
120,2024-01-01,3458
120,2025-01-01,3719
120,2026-01-01,4021
121,2023-01-01,4352
121,2024-01-01,4721
121,2025-01-01,4932
121,2026-01-01,5501
122,2023-01-01,6046
122,2024-01-01,6444
122,2025-01-01,6721
122,2026-01-01,7312
123,2023-01-01,3454
123,2024-01-01,3699
123,2025-01-01,3964
123,2026-01-01,4176
124,2023-01-01,5207
124,2024-01-01,5567
124,2025-01-01,5906
124,2026-01-01,6460
125,2023-01-01,3841
125,2024-01-01,4134
125,2025-01-01,4497
125,2026-01-01,4831
126,2023-01-01,3716
126,2024-01-01,3859
126,2025-01-01,4162
126,2026-01-01,4482
127,2023-01-01,16190
127,2024-01-01,16782
127,2025-01-01,18014
127,2026-01-01,19827
128,2023-01-01,15771
128,2024-01-01,16800
128,2025-01-01,17853
128,2026-01-01,19117
129,2023-01-01,15692
129,2024-01-01,16683
129,2025-01-01,17643
129,2026-01-01,19376
130,2023-01-01,19723
130,2024-01-01,20900
130,2025-01-01,22080
130,2026-01-01,24308
131,2023-01-01,8977
131,2024-01-01,9488
131,2025-01-01,10288
131,2026-01-01,10933
132,2023-01-01,13593
132,2024-01-01,14411
132,2025-01-01,15238
132,2026-01-01,16443
133,2023-01-01,8417
133,2024-01-01,8779
133,2025-01-01,9569
133,2026-01-01,10101
134,2023-01-01,11904
134,2024-01-01,12347
134,2025-01-01,13427
134,2026-01-01,14409
135,2023-01-01,9527
135,2024-01-01,10066
135,2025-01-01,10775
135,2026-01-01,12051
136,2023-01-01,11932
136,2024-01-01,12980
136,2025-01-01,14116
136,2026-01-01,14854
137,2023-01-01,4494
137,2024-01-01,4842
137,2025-01-01,5126
137,2026-01-01,5670
138,2023-01-01,4955
138,2024-01-01,5302
138,2025-01-01,5670
138,2026-01-01,6055
139,2023-01-01,7965
139,2024-01-01,8660
139,2025-01-01,8971
139,2026-01-01,9894
140,2023-01-01,4389
140,2024-01-01,4698
140,2025-01-01,5005
140,2026-01-01,5480
141,2023-01-01,4407
141,2024-01-01,4686
141,2025-01-01,4987
141,2026-01-01,5407
142,2023-01-01,8336
142,2024-01-01,9043
142,2025-01-01,9505
142,2026-01-01,10524
143,2023-01-01,7291
143,2024-01-01,7900
143,2025-01-01,8550
143,2026-01-01,9334
144,2023-01-01,6634
144,2024-01-01,7050
144,2025-01-01,7491
144,2026-01-01,8175
145,2023-01-01,7913
145,2024-01-01,8407
145,2025-01-01,9042
145,2026-01-01,10101
146,2023-01-01,7709
146,2024-01-01,8321
146,2025-01-01,8924
146,2026-01-01,9767
147,2023-01-01,7338
147,2024-01-01,7629
147,2025-01-01,8125
147,2026-01-01,8815
148,2023-01-01,7173
148,2024-01-01,7720
148,2025-01-01,8220
148,2026-01-01,9144
149,2023-01-01,6549
149,2024-01-01,7094
149,2025-01-01,7479
149,2026-01-01,8227
150,2023-01-01,4499
150,2024-01-01,4840
150,2025-01-01,5272
150,2026-01-01,5662
151,2023-01-01,5450
151,2024-01-01,5951
151,2025-01-01,6420
151,2026-01-01,6870
152,2023-01-01,4070
152,2024-01-01,4447
152,2025-01-01,4656
152,2026-01-01,5151
153,2023-01-01,7368
153,2024-01-01,7778
153,2025-01-01,8143
153,2026-01-01,9050
154,2023-01-01,4590
154,2024-01-01,4969
154,2025-01-01,5273
154,2026-01-01,5798
