id_mouvement,id_client,date_effet,nature,valeur_avant,valeur_apres,type_scd
95,14775,2023-05-31,ville,Koudougou,Bobo-Dioulasso,2
96,159,2023-06-01,segment,Standard,Argent,2
97,2477,2023-06-02,segment,Standard,Argent,2
98,13529,2023-06-02,ville,Ouagadougou,Bobo-Dioulasso,2
99,6037,2023-06-05,segment,Argent,Or,2
100,8156,2023-06-05,segment,Standard,Argent,2
101,13345,2023-06-06,ville,Ouagadougou,Ouahigouya,2
102,21866,2023-06-06,ville,Kaya,Ouagadougou,2
103,9547,2023-06-07,ville,Bobo-Dioulasso,Kaya,2
104,23437,2023-06-07,segment,Argent,Or,2
105,2030,2023-06-09,ville,Koudougou,Kaya,2
106,6490,2023-06-09,segment,Standard,Argent,2
107,14977,2023-06-10,ville,Ouagadougou,Koudougou,2
108,21243,2023-06-11,segment,Or,Argent,2
109,18179,2023-06-14,segment,Standard,Or,2
110,5485,2023-06-15,segment,Argent,Or,2
111,17887,2023-06-16,segment,Argent,Or,2
112,8206,2023-06-17,segment,Standard,Or,2
113,13520,2023-06-17,segment,Or,Standard,2
114,1123,2023-06-19,segment,Standard,Argent,2
115,3023,2023-06-20,conditions,60 j ,60 j,1
116,11611,2023-06-21,ville,ouagadougou,Ouagadougou,1
117,8738,2023-06-24,ville,Koudougou,Ouagadougou,2
118,21067,2023-06-26,conditions,Comptant ,Comptant,1
119,9339,2023-06-30,ville,ouagadougou,Ouagadougou,1
120,20061,2023-06-30,ville,Bobo-Dioulasso,Ouagadougou,2
121,9186,2023-07-01,segment,Argent,Or,2
122,14442,2023-07-01,conditions,Comptant ,Comptant,1
123,23401,2023-07-02,segment,Argent,Or,2
124,4083,2023-07-03,ville,Ouagadougou,Koudougou,2
125,7920,2023-07-05,ville,Ouagadougou,Koudougou,2
126,16689,2023-07-06,ville,Ziniaré,Ouahigouya,2
127,18835,2023-07-07,segment,Argent,Or,2
128,23445,2023-07-07,ville,Ouagadougou,Bobo-Dioulasso,2
129,13651,2023-07-08,conditions,30 j ,30 j,1
130,2278,2023-07-09,ville,Bobo-Dioulasso,Kaya,2
131,6753,2023-07-09,segment,Standard,Argent,2
132,11278,2023-07-10,segment,Standard,Argent,2
133,15603,2023-07-10,ville,bobo-dioulasso,Bobo-Dioulasso,1
134,5477,2023-07-11,conditions,30 j ,30 j,1
135,19013,2023-07-12,ville,ouagadougou,Ouagadougou,1
136,15377,2023-07-14,segment,Argent,Or,2
137,9359,2023-07-15,ville,Ouagadougou,Bobo-Dioulasso,2
138,4022,2023-07-17,segment,Argent,Or,2
139,22858,2023-07-19,segment,Or,Argent,2
140,11095,2023-07-22,segment,Standard,Argent,2
141,8043,2023-07-23,segment,Standard,Argent,2
142,9285,2023-07-23,segment,Argent,Or,2
143,1371,2023-07-24,segment,Standard,Argent,2
144,8426,2023-07-24,ville,Koudougou,Ouagadougou,2
145,20467,2023-07-24,ville,koudougou,Koudougou,1
146,2885,2023-07-25,conditions,60 j ,60 j,1
147,5276,2023-07-26,ville,Ouagadougou,Bobo-Dioulasso,2
148,11210,2023-07-26,segment,Standard,Argent,2
149,17969,2023-07-29,segment,Argent,Or,2
150,22340,2023-07-29,segment,Standard,Argent,2
151,23185,2023-07-29,segment,Argent,Or,2
152,7206,2023-07-30,ville,Kaya,Bobo-Dioulasso,2
153,14073,2023-07-31,segment,Standard,Argent,2
154,330,2023-08-01,ville,ziniaré,Ziniaré,1
155,19846,2023-08-01,segment,Standard,Argent,2
156,5814,2023-08-04,segment,Standard,Argent,2
157,6767,2023-08-07,segment,Argent,Or,2
158,15163,2023-08-08,segment,Standard,Argent,2
159,3201,2023-08-09,ville,Kaya,Ouahigouya,2
160,12136,2023-08-09,segment,Argent,Standard,2
161,8862,2023-08-10,segment,Argent,Standard,2
162,17363,2023-08-11,ville,Bobo-Dioulasso,Ouagadougou,2
163,5371,2023-08-12,segment,Standard,Argent,2
164,8257,2023-08-13,segment,Standard,Argent,2
165,20368,2023-08-14,conditions,30 j ,30 j,1
166,23088,2023-08-16,ville,,Kaya,2
167,7026,2023-08-20,conditions,30 j ,30 j,1
168,12798,2023-08-22,conditions,Comptant ,Comptant,1
169,22443,2023-08-22,segment,Standard,Or,2
170,2187,2023-08-25,segment,Standard,Argent,2
171,17814,2023-08-25,ville,Ouagadougou,Ouahigouya,2
172,22948,2023-08-26,segment,Or,Argent,2
173,10197,2023-08-28,segment,Standard,Argent,2
174,18705,2023-08-28,ville,Ouagadougou,Ouahigouya,2
175,4316,2023-08-29,segment,Standard,Argent,2
176,15230,2023-08-29,ville,Ziniaré,Ouahigouya,2
177,18685,2023-08-29,segment,Or,Standard,2
178,5936,2023-08-30,segment,Standard,Argent,2
179,20494,2023-08-30,segment,Standard,Argent,2
180,5598,2023-08-31,segment,Argent,Or,2
181,1392,2023-09-01,segment,Argent,Or,2
182,7363,2023-09-01,ville,kaya,Kaya,1
183,13016,2023-09-03,segment,Standard,Argent,2
184,18255,2023-09-03,segment,Standard,Argent,2
185,6637,2023-09-04,ville,koudougou,Koudougou,1
186,9533,2023-09-06,conditions,Comptant ,Comptant,1
187,23164,2023-09-07,segment,Or,Standard,2
188,21078,2023-09-08,segment,Standard,Argent,2
189,13771,2023-09-09,ville,Kaya,Ouahigouya,2
190,3767,2023-09-12,segment,Argent,Or,2
191,8118,2023-09-13,segment,Argent,Or,2
192,12022,2023-09-16,ville,Koudougou,Bobo-Dioulasso,2
193,22658,2023-09-17,segment,Or,Argent,2
194,11926,2023-09-18,segment,Argent,Or,2
195,9161,2023-09-19,segment,Standard,Argent,2
196,18445,2023-09-19,ville,,Koudougou,2
197,5071,2023-09-20,conditions,Comptant ,Comptant,1
198,5149,2023-09-20,segment,Standard,Or,2
199,6765,2023-09-20,segment,Or,Argent,2
200,20761,2023-09-23,ville,Ouagadougou,Koudougou,2
201,1063,2023-09-24,segment,Standard,Argent,2
202,13542,2023-09-24,ville,Bobo-Dioulasso,Kaya,2
203,19584,2023-09-24,segment,Argent,Or,2
204,22741,2023-09-24,segment,Standard,Argent,2
205,1860,2023-09-25,segment,Standard,Argent,2
206,4613,2023-09-25,segment,Standard,Argent,2
207,9916,2023-09-25,segment,Argent,Standard,2
208,6,2023-09-26,segment,Argent,Or,2
209,4789,2023-09-27,segment,Or,Argent,2
210,9414,2023-09-29,segment,Standard,Argent,2
211,20920,2023-09-29,segment,Argent,Or,2
212,12829,2023-09-30,segment,Argent,Or,2
213,23493,2023-09-30,conditions,60 j ,60 j,1
214,22877,2023-10-01,ville,,Koudougou,2
215,17873,2023-10-02,segment,Standard,Argent,2
216,11746,2023-10-05,conditions,30 j ,30 j,1
217,3990,2023-10-06,segment,Standard,Argent,2
218,12765,2023-10-07,ville,Ouagadougou,Kaya,2
219,6513,2023-10-08,segment,Standard,Argent,2
220,20831,2023-10-08,segment,Standard,Argent,2
221,22296,2023-10-08,segment,Standard,Argent,2
222,15794,2023-10-09,segment,Standard,Argent,2
223,86,2023-10-11,segment,Standard,Argent,2
224,9915,2023-10-12,segment,Argent,Or,2
225,17608,2023-10-13,segment,Or,Argent,2
226,21925,2023-10-14,segment,Or,Argent,2
227,17746,2023-10-19,segment,Argent,Or,2
228,1915,2023-10-20,segment,Argent,Or,2
229,15752,2023-10-20,ville,Bobo-Dioulasso,Kaya,2
230,21867,2023-10-21,segment,Standard,Argent,2
231,23777,2023-10-21,ville,Ouahigouya,Bobo-Dioulasso,2
232,13962,2023-10-25,segment,Standard,Argent,2
233,19356,2023-10-25,segment,Argent,Or,2
234,2352,2023-10-26,ville,Ouagadougou,Kaya,2
235,10339,2023-10-26,segment,Standard,Argent,2
236,11616,2023-10-26,segment,Argent,Or,2
237,8691,2023-10-28,segment,Standard,Argent,2
238,16306,2023-10-29,ville,Ouagadougou,Koudougou,2
239,22742,2023-10-29,segment,Or,Argent,2
240,7014,2023-11-01,segment,Argent,Or,2
241,3366,2023-11-04,segment,Standard,Argent,2
242,7070,2023-11-05,segment,Argent,Or,2
243,20395,2023-11-05,ville,Ouagadougou,Bobo-Dioulasso,2
244,20580,2023-11-06,segment,Standard,Or,2
245,21925,2023-11-06,segment,Argent,Standard,2
246,1158,2023-11-09,segment,Standard,Argent,2
247,10758,2023-11-10,segment,Standard,Argent,2
248,16046,2023-11-12,segment,Standard,Argent,2
249,3951,2023-11-13,segment,Argent,Or,2
250,5623,2023-11-13,segment,Standard,Argent,2
251,8104,2023-11-14,segment,Standard,Argent,2
252,11469,2023-11-15,segment,Standard,Argent,2
253,11928,2023-11-16,segment,Standard,Argent,2
254,17701,2023-11-16,ville,Koudougou,Bobo-Dioulasso,2
255,18187,2023-11-16,segment,Standard,Argent,2
256,17273,2023-11-18,segment,Or,Argent,2
257,4565,2023-11-20,segment,Standard,Argent,2
258,13616,2023-11-20,segment,Standard,Argent,2
259,20593,2023-11-26,ville,Ouagadougou,Bobo-Dioulasso,2
260,15785,2023-12-04,ville,Ouagadougou,Bobo-Dioulasso,2
261,16446,2023-12-04,segment,Standard,Argent,2
262,2133,2023-12-05,ville,Ouagadougou,Kaya,2
263,4795,2023-12-05,ville,bobo-dioulasso,Bobo-Dioulasso,1
264,5411,2023-12-05,conditions,Comptant ,Comptant,1
265,8306,2023-12-08,ville,Koudougou,Bobo-Dioulasso,2
266,9112,2023-12-08,segment,Argent,Or,2
267,3357,2023-12-09,ville,Bobo-Dioulasso,Koudougou,2
268,2162,2023-12-10,segment,Standard,Argent,2
269,9333,2023-12-11,segment,Standard,Argent,2
270,15692,2023-12-12,ville,Ouagadougou,Ouahigouya,2
271,3463,2023-12-13,conditions,30 j ,30 j,1
272,22510,2023-12-15,ville,Ouagadougou,Bobo-Dioulasso,2
273,14848,2023-12-16,segment,Standard,Argent,2
274,3062,2023-12-17,segment,Argent,Or,2
275,17608,2023-12-17,ville,Kaya,Ouagadougou,2
276,18443,2023-12-17,segment,Standard,Argent,2
277,9230,2023-12-18,segment,Or,Standard,2
278,14078,2023-12-18,ville,Ouagadougou,Ouahigouya,2
279,10284,2023-12-19,segment,Standard,Argent,2
280,20195,2023-12-20,segment,Standard,Argent,2
281,22582,2023-12-21,segment,Or,Standard,2
282,22621,2023-12-21,segment,Standard,Argent,2
283,4257,2023-12-22,segment,Standard,Or,2
284,22728,2023-12-23,segment,Standard,Argent,2
285,4845,2023-12-24,segment,Argent,Or,2
286,19209,2023-12-25,segment,Or,Standard,2
287,21875,2023-12-27,segment,Standard,Or,2
288,648,2023-12-28,segment,Standard,Argent,2
289,13520,2023-12-28,segment,Argent,Or,2
290,6167,2023-12-30,segment,Standard,Argent,2
291,9666,2024-01-01,conditions,Comptant ,Comptant,1
292,10461,2024-01-01,segment,Or,Standard,2
293,4592,2024-01-04,conditions,60 j ,60 j,1
294,7856,2024-01-04,ville,Ouagadougou,Koudougou,2
295,17306,2024-01-04,ville,kaya,Kaya,1
296,6006,2024-01-05,ville,Ouagadougou,Kaya,2
297,9015,2024-01-05,segment,Or,Standard,2
298,15393,2024-01-07,ville,Bobo-Dioulasso,Ouagadougou,2
299,5299,2024-01-08,segment,Or,Argent,2
300,12795,2024-01-08,ville,kaya,Kaya,1
301,17425,2024-01-09,segment,Argent,Or,2
302,15655,2024-01-10,ville,Ouagadougou,Ouahigouya,2
303,8460,2024-01-13,segment,Argent,Or,2
304,12654,2024-01-14,segment,Standard,Argent,2
305,20293,2024-01-14,segment,Argent,Standard,2
306,23101,2024-01-15,ville,Ouagadougou,Kaya,2
307,841,2024-01-16,ville,Bobo-Dioulasso,Ouagadougou,2
308,8738,2024-01-18,ville,Ouagadougou,Koudougou,2
309,9203,2024-01-18,segment,Standard,Argent,2
310,495,2024-01-19,ville,Ziniaré,Ouahigouya,2
311,10896,2024-01-19,segment,Standard,Argent,2
312,22620,2024-01-19,ville,Koudougou,Bobo-Dioulasso,2
313,219,2024-01-21,segment,Standard,Argent,2
314,17811,2024-01-21,segment,Standard,Argent,2
315,23049,2024-01-22,segment,Argent,Or,2
316,14735,2024-01-26,segment,Standard,Argent,2
317,20568,2024-01-27,segment,Standard,Argent,2
318,1446,2024-01-31,ville,Bobo-Dioulasso,Ouagadougou,2
319,19669,2024-01-31,segment,Argent,Standard,2
320,21859,2024-01-31,segment,Standard,Argent,2
321,22514,2024-02-02,segment,Argent,Or,2
322,11624,2024-02-03,ville,Ouagadougou,Bobo-Dioulasso,2
323,23414,2024-02-03,segment,Standard,Argent,2
324,2930,2024-02-05,segment,Or,Standard,2
325,5082,2024-02-05,segment,Standard,Argent,2
326,6585,2024-02-05,segment,Standard,Argent,2
327,5741,2024-02-06,segment,Argent,Or,2
328,17580,2024-02-06,ville,bobo-dioulasso,Bobo-Dioulasso,1
329,6989,2024-02-07,segment,Argent,Standard,2
330,22785,2024-02-07,ville,Ouagadougou,Bobo-Dioulasso,2
331,5949,2024-02-12,ville,Kaya,Ouahigouya,2
332,19411,2024-02-12,segment,Standard,Argent,2
333,19628,2024-02-12,ville,Ouagadougou,Koudougou,2
334,16574,2024-02-13,segment,Standard,Argent,2
335,10136,2024-02-17,ville,Ouagadougou,Kaya,2
336,9126,2024-02-18,ville,ouagadougou,Ouagadougou,1
337,112,2024-02-19,segment,Standard,Argent,2
338,274,2024-02-19,segment,Standard,Argent,2
339,7356,2024-02-20,segment,Argent,Or,2
340,21222,2024-02-20,segment,Argent,Or,2
341,3936,2024-02-21,segment,Standard,Argent,2
342,5485,2024-02-21,segment,Standard,Argent,2
343,11643,2024-02-22,segment,Standard,Argent,2
344,20695,2024-02-22,ville,ouagadougou,Ouagadougou,1
345,5389,2024-02-24,segment,Standard,Argent,2
346,5591,2024-02-24,segment,Standard,Argent,2
347,12968,2024-02-24,segment,Argent,Or,2
348,2682,2024-02-25,segment,Standard,Argent,2
349,4598,2024-02-26,ville,ouagadougou,Ouagadougou,1
350,30,2024-03-02,conditions,30 j ,30 j,1
351,313,2024-03-02,ville,Koudougou,Bobo-Dioulasso,2
352,6245,2024-03-02,ville,ouagadougou,Ouagadougou,1
353,21385,2024-03-02,ville,Koudougou,Bobo-Dioulasso,2
354,601,2024-03-03,ville,Koudougou,Ouahigouya,2
355,10541,2024-03-04,ville,Ouagadougou,Ouahigouya,2
356,4272,2024-03-05,ville,Ouagadougou,Ouahigouya,2
357,18729,2024-03-06,segment,Argent,Or,2
358,10184,2024-03-08,segment,Standard,Argent,2
359,1045,2024-03-09,ville,ouagadougou,Ouagadougou,1
360,11396,2024-03-09,segment,Standard,Argent,2
361,19133,2024-03-10,ville,Koudougou,Bobo-Dioulasso,2
362,7887,2024-03-11,conditions,Comptant ,Comptant,1
363,19281,2024-03-11,segment,Argent,Or,2
364,19067,2024-03-12,segment,Or,Argent,2
365,274,2024-03-13,ville,Ziniaré,Ouagadougou,2
366,3385,2024-03-13,segment,Standard,Argent,2
367,14228,2024-03-13,segment,Standard,Argent,2
368,1542,2024-03-15,segment,Argent,Or,2
369,14867,2024-03-15,segment,Standard,Or,2
370,16441,2024-03-15,ville,Bobo-Dioulasso,Ouagadougou,2
371,19081,2024-03-15,segment,Argent,Or,2
372,16135,2024-03-19,ville,Koudougou,Ouagadougou,2
373,10310,2024-03-21,segment,Standard,Argent,2
374,20327,2024-03-21,segment,Or,Argent,2
375,2860,2024-03-22,segment,Standard,Argent,2
376,16400,2024-03-22,segment,Standard,Argent,2
377,2147,2024-03-23,segment,Standard,Or,2
378,21464,2024-03-23,segment,Standard,Argent,2
379,18049,2024-03-27,ville,,Kaya,2
380,7232,2024-03-28,segment,Standard,Argent,2
381,14977,2024-03-28,segment,Standard,Argent,2
382,15237,2024-03-28,ville,Ouagadougou,Kaya,2
383,16095,2024-03-29,ville,Kaya,Ouahigouya,2
384,9593,2024-03-30,segment,Standard,Argent,2
385,20385,2024-03-30,segment,Standard,Argent,2
386,12458,2024-03-31,ville,ouagadougou,Ouagadougou,1
387,15202,2024-03-31,segment,Or,Standard,2
388,4782,2024-04-03,conditions,30 j ,30 j,1
389,9626,2024-04-03,segment,Standard,Argent,2
390,7629,2024-04-04,ville,,Bobo-Dioulasso,2
391,5864,2024-04-05,conditions,30 j ,30 j,1
392,21875,2024-04-07,ville,Ouagadougou,Ouahigouya,2
393,355,2024-04-08,ville,Ouagadougou,Kaya,2
394,5006,2024-04-08,ville,Ouagadougou,Ouahigouya,2
395,45,2024-04-10,segment,Standard,Argent,2
396,9632,2024-04-13,conditions,30 j ,30 j,1
397,15136,2024-04-13,conditions,30 j ,30 j,1
398,5313,2024-04-15,segment,Standard,Argent,2
399,5175,2024-04-16,segment,Standard,Argent,2
400,6366,2024-04-16,segment,Standard,Argent,2
401,7778,2024-04-16,ville,Bobo-Dioulasso,Koudougou,2
402,19936,2024-04-16,segment,Standard,Argent,2
403,11842,2024-04-17,ville,Koudougou,Kaya,2
404,19520,2024-04-17,ville,Koudougou,Ouahigouya,2
405,8469,2024-04-20,ville,Kaya,Koudougou,2
406,22347,2024-04-20,ville,Bobo-Dioulasso,Koudougou,2
407,2239,2024-04-21,ville,Bobo-Dioulasso,Ouagadougou,2
408,15231,2024-04-23,segment,Argent,Or,2
409,5412,2024-04-24,segment,Argent,Or,2
410,23062,2024-04-24,ville,Ouagadougou,Bobo-Dioulasso,2
411,9297,2024-04-25,segment,Argent,Standard,2
412,23590,2024-04-29,segment,Or,Argent,2
413,4513,2024-05-02,ville,Ouagadougou,Koudougou,2
414,2290,2024-05-03,ville,Ouagadougou,Kaya,2
415,3822,2024-05-03,segment,Standard,Argent,2
416,15316,2024-05-03,segment,Or,Argent,2
417,4741,2024-05-05,ville,Ouagadougou,Bobo-Dioulasso,2
418,20796,2024-05-06,segment,Standard,Argent,2
419,17534,2024-05-07,segment,Argent,Or,2
420,23435,2024-05-08,segment,Or,Standard,2
421,5268,2024-05-11,segment,Or,Standard,2
422,10846,2024-05-14,segment,Argent,Or,2
423,5350,2024-05-15,segment,Standard,Argent,2
424,19380,2024-05-16,segment,Argent,Or,2
425,14000,2024-05-18,ville,Ouagadougou,Bobo-Dioulasso,2
426,14027,2024-05-20,ville,Ouagadougou,Bobo-Dioulasso,2
427,23037,2024-05-22,ville,,Ouagadougou,2
428,908,2024-05-23,segment,Or,Argent,2
429,17250,2024-05-25,segment,Standard,Argent,2
430,5484,2024-05-29,segment,Standard,Argent,2
431,11826,2024-05-29,ville,Ouagadougou,Ouahigouya,2
432,17349,2024-05-29,segment,Standard,Argent,2
433,6671,2024-05-30,ville,Bobo-Dioulasso,Ouagadougou,2
434,12461,2024-05-30,segment,Argent,Or,2
435,11152,2024-05-31,ville,bobo-dioulasso,Bobo-Dioulasso,1
436,4656,2024-06-02,ville,ouagadougou,Ouagadougou,1
437,15276,2024-06-02,ville,Ouagadougou,Ouahigouya,2
438,15855,2024-06-02,segment,Standard,Argent,2
439,17569,2024-06-02,segment,Argent,Or,2
440,20568,2024-06-02,ville,Koudougou,Ouagadougou,2
441,20916,2024-06-04,ville,ziniaré,Ziniaré,1
442,9095,2024-06-05,segment,Or,Argent,2
443,1464,2024-06-06,segment,Standard,Argent,2
444,5946,2024-06-06,segment,Standard,Argent,2
445,10656,2024-06-06,ville,Kaya,Ouahigouya,2
446,3545,2024-06-07,ville,Bobo-Dioulasso,Ouahigouya,2
447,2576,2024-06-09,segment,Argent,Or,2
448,14614,2024-06-10,ville,Bobo-Dioulasso,Koudougou,2
449,7657,2024-06-11,segment,Standard,Argent,2
450,7985,2024-06-11,ville,Ziniaré,Ouagadougou,2
451,10854,2024-06-11,segment,Standard,Argent,2
452,541,2024-06-12,conditions,Comptant ,Comptant,1
453,655,2024-06-12,conditions,Comptant ,Comptant,1
454,13159,2024-06-12,ville,Ouagadougou,Ouahigouya,2
455,11168,2024-06-14,ville,Ouagadougou,Bobo-Dioulasso,2
456,23435,2024-06-14,ville,Ouagadougou,Bobo-Dioulasso,2
457,3357,2024-06-15,ville,Ouagadougou,Bobo-Dioulasso,2
458,6127,2024-06-15,ville,Bobo-Dioulasso,Ouahigouya,2
459,15524,2024-06-16,conditions,Comptant ,Comptant,1
460,7007,2024-06-18,ville,Kaya,Ouahigouya,2
461,8277,2024-06-18,segment,Or,Argent,2
462,1281,2024-06-19,ville,Bobo-Dioulasso,Ouagadougou,2
463,3913,2024-06-20,ville,Kaya,Ouagadougou,2
464,3846,2024-06-24,segment,Standard,Argent,2
465,8552,2024-06-25,segment,Argent,Or,2
466,23122,2024-06-26,segment,Standard,Argent,2
467,6476,2024-06-27,segment,Or,Standard,2
468,14637,2024-06-27,segment,Standard,Or,2
469,16369,2024-06-29,ville,koudougou,Koudougou,1
470,1987,2024-07-01,ville,Ouagadougou,Ouahigouya,2
471,13731,2024-07-01,segment,Standard,Argent,2
472,2789,2024-07-02,segment,Argent,Or,2
473,20079,2024-07-02,ville,bobo-dioulasso,Bobo-Dioulasso,1
474,5878,2024-07-04,ville,Ouagadougou,Ouahigouya,2
475,5514,2024-07-05,segment,Standard,Argent,2
476,18649,2024-07-07,segment,Standard,Argent,2
477,5318,2024-07-11,ville,Bobo-Dioulasso,Ouagadougou,2
478,10356,2024-07-11,segment,Argent,Or,2
479,6716,2024-07-12,ville,Bobo-Dioulasso,Ouahigouya,2
480,14,2024-07-13,segment,Standard,Argent,2
481,6739,2024-07-15,ville,kaya,Kaya,1
482,21853,2024-07-15,segment,Standard,Or,2
483,13148,2024-07-16,conditions,Comptant ,Comptant,1
484,22553,2024-07-18,ville,Ouagadougou,Koudougou,2
485,15030,2024-07-20,segment,Standard,Argent,2
486,9826,2024-07-22,conditions,Comptant ,Comptant,1
487,4249,2024-07-24,ville,Bobo-Dioulasso,Ouahigouya,2
488,2277,2024-07-25,conditions,Comptant ,Comptant,1
489,22779,2024-07-25,conditions,30 j ,30 j,1
490,15227,2024-07-26,segment,Standard,Or,2
491,20498,2024-07-26,segment,Standard,Argent,2
492,6898,2024-07-28,ville,Bobo-Dioulasso,Ouahigouya,2
493,18994,2024-07-29,ville,Bobo-Dioulasso,Ouagadougou,2
494,4298,2024-08-01,segment,Argent,Or,2
495,13813,2024-08-03,ville,ouagadougou,Ouagadougou,1
496,17,2024-08-04,segment,Standard,Argent,2
497,15785,2024-08-04,segment,Argent,Or,2
498,2600,2024-08-05,segment,Or,Standard,2
499,22835,2024-08-05,segment,Standard,Argent,2
500,12794,2024-08-09,segment,Standard,Argent,2
501,17542,2024-08-09,segment,Standard,Argent,2
502,22018,2024-08-09,ville,Koudougou,Bobo-Dioulasso,2
503,1837,2024-08-11,segment,Standard,Argent,2
504,18013,2024-08-11,segment,Standard,Or,2
