mois,id_magasin,colis,poids_kg,cout_carburant_fcfa,cout_main_oeuvre_fcfa,cout_vehicule_fcfa,cout_total_fcfa
2024-06,5,149,2241,252969,153645,73414,480028
2024-06,6,149,1965,255902,149068,91257,496227
2024-07,1,147,2166,250162,172788,61671,484620
2024-07,2,147,2144,270806,146819,60805,478430
2024-07,3,147,2242,242067,171847,85812,499726
2024-07,4,147,2004,271143,169666,66510,507319
2024-07,5,147,1718,229368,169338,91368,490074
2024-07,6,147,1677,269813,177519,100554,547886
2024-08,1,163,2446,286448,153318,98332,538098
2024-08,2,163,1958,258704,180807,110696,550207
2024-08,3,163,2194,270520,146826,113380,530726
2024-08,4,163,2169,287868,189257,103306,580431
2024-08,5,163,2408,289252,183501,84149,556902
2024-08,6,163,2506,242464,171689,78078,492231
2024-09,1,193,2806,304307,198439,123523,626268
2024-09,2,193,2703,335578,197158,116349,649084
2024-09,3,193,2545,298716,175432,109553,583701
2024-09,4,193,2580,294732,212919,132588,640240
2024-09,5,193,2494,284975,228938,131977,645889
2024-09,6,193,2129,341807,236000,105490,683297
2024-10,1,243,2933,434791,291396,127938,854125
2024-10,2,243,3260,422296,275846,150316,848458
2024-10,3,243,3030,373437,266938,152866,793240
2024-10,4,243,3160,416876,279609,155109,851594
2024-10,5,243,3175,385323,296474,114585,796382
2024-10,6,243,2860,434970,265493,108647,809110
2024-11,1,232,2852,373564,288111,129996,791671
2024-11,2,232,3204,366374,289578,161719,817671
2024-11,3,232,2800,419800,244975,116368,781143
2024-11,4,232,2672,407212,210017,142599,759828
2024-11,5,232,2720,421732,241519,112148,775399
2024-11,6,232,2829,377722,282966,155099,815788
2024-12,1,230,3365,395124,259187,141298,795609
2024-12,2,230,2901,420519,240651,133897,795068
2024-12,3,230,3501,422151,277378,132566,832095
2024-12,4,230,3415,393198,247916,121572,762687
2024-12,5,230,3108,419565,213626,115945,749136
2024-12,6,230,3198,413407,285823,116619,815849
2025-01,1,205,2256,375301,192219,99584,667104
2025-01,2,205,2533,351556,247570,92298,691424
2025-01,3,205,2369,335856,211220,132863,679938
2025-01,4,205,2276,348541,239399,117769,705709
2025-01,5,205,3052,355873,242961,91227,690062
2025-01,6,205,2288,323913,254273,87737,665924
2025-02,1,194,2508,282186,222799,119821,624806
2025-02,2,194,2811,309677,232348,131886,673912
2025-02,3,194,2749,355868,193324,99986,649178
2025-02,4,194,2651,329935,191206,77759,598900
2025-02,5,194,2168,358698,195971,96949,651617
2025-02,6,194,2387,345875,193348,102230,641453
2025-03,1,249,3188,362892,283289,117815,763995
2025-03,2,249,3154,419259,272232,116311,807802
2025-03,3,249,2779,394418,309432,122776,826626
2025-03,4,249,3494,440883,279897,112678,833458
2025-03,5,249,2937,409271,252231,99661,761163
2025-03,6,249,3336,431344,259052,128144,818540
2025-04,1,240,3472,380422,240622,126797,747840
2025-04,2,240,2805,431858,216541,157839,806237
2025-04,3,240,2956,374880,264942,165795,805618
2025-04,4,240,2892,400077,250918,99740,750736
2025-04,5,240,3203,397502,273365,97032,767898
2025-04,6,240,3602,438052,261066,101070,800188
2025-05,1,199,2222,297103,205682,86730,589515
2025-05,2,199,2628,317626,218242,117581,653450
2025-05,3,199,2575,356213,245791,116055,718060
2025-05,4,199,2716,303872,188462,81229,573563
2025-05,5,199,2528,350400,199684,112850,662935
2025-05,6,199,2807,360040,200161,97616,657818
2025-06,1,159,1833,252029,166877,71496,490402
2025-06,2,159,1773,238102,172268,91553,501923
2025-06,3,159,2381,236277,181722,99242,517241
2025-06,4,159,1952,272098,187924,86114,546136
2025-06,5,159,1813,240495,144226,99487,484208
2025-06,6,159,2157,265637,146115,92615,504367
2025-07,1,150,2285,274354,163847,92215,530416
2025-07,2,150,1711,257028,169378,83382,509788
2025-07,3,150,2050,250467,164930,88960,504358
2025-07,4,150,1818,227554,135595,76424,439572
2025-07,5,150,2173,257716,137532,101893,497140
2025-07,6,150,2232,268967,148196,69671,486834
2025-08,1,171,2576,268878,195660,112309,576846
2025-08,2,171,1984,275993,207302,89211,572505
2025-08,3,171,1984,283223,175743,70486,529453
2025-08,4,171,2051,295172,169441,81026,545639
2025-08,5,171,1950,256888,179814,112241,548943
2025-08,6,171,2219,272444,185180,72286,529909
2025-09,1,212,3046,374059,240883,123227,738170
2025-09,2,212,2812,338370,202505,105162,646037
2025-09,3,212,3193,314734,205983,141436,662153
2025-09,4,212,3009,374203,234054,111781,720038
2025-09,5,212,3119,336258,249801,119203,705262
2025-09,6,212,2430,357364,215501,116888,689753
2025-10,1,263,3636,429379,254521,153284,837184
2025-10,2,263,3462,460353,285825,177195,923372
2025-10,3,263,3736,449550,270196,178051,897797
2025-10,4,263,3415,403166,316215,160205,879586
2025-10,5,263,3037,430999,316003,165251,912253
2025-10,6,263,2962,404888,310744,112064,827696
2025-11,1,243,3079,419575,234384,108506,762465
2025-11,2,243,2945,372682,243081,145279,761041
2025-11,3,243,2947,442109,252865,164228,859202
2025-11,4,243,3487,447941,265946,128664,842552
2025-11,5,243,3306,379589,239586,104083,723258
2025-11,6,243,3711,353884,271930,162370,788184
2025-12,1,251,3193,411376,253060,106448,770884
2025-12,2,251,2892,406665,228130,116529,751325
2025-12,3,251,3448,429375,289167,102684,821226
2025-12,4,251,3468,451161,307982,151775,910918
2025-12,5,251,3633,387476,281245,138243,806964
2025-12,6,251,3350,417308,285916,129587,832810
2026-01,1,221,2881,364132,233680,142944,740757
2026-01,2,221,3254,383525,227730,98045,709300
2026-01,3,221,3288,346661,207096,123431,677188
2026-01,4,221,2812,373849,260367,99685,733901
2026-01,5,221,2824,405189,253055,129601,787845
2026-01,6,221,2564,347264,212264,130824,690353
2026-02,1,212,3049,347133,241951,110331,699415
2026-02,2,212,2753,358546,232000,140622,731169
2026-02,3,212,2339,310334,204144,135287,649765
2026-02,4,212,2539,336754,207679,115323,659756
2026-02,5,212,2574,391206,202409,145747,739362
2026-02,6,212,2946,350852,240030,94265,685147
2026-03,1,270,3463,401879,267975,160616,830470
2026-03,2,270,3921,410074,259438,135013,804525
2026-03,3,270,3475,410067,292130,167460,869658
2026-03,4,270,3668,417893,256422,157692,832007
2026-03,5,270,4007,486430,334705,116338,937473
2026-03,6,270,3248,499402,318813,149060,967274
2026-04,1,253,3818,419763,254997,141745,816505
2026-04,2,253,2888,383630,294471,102129,780230
2026-04,3,253,3392,399462,311378,132813,843653
2026-04,4,253,3848,438315,307612,174850,920778
2026-04,5,253,2987,417262,246560,140061,803883
2026-04,6,253,3439,367563,269689,115773,753025
2026-05,1,210,2468,337233,189968,123802,651004
2026-05,2,210,2472,324278,231309,94460,650048
2026-05,3,210,2619,349344,226941,84866,661152
2026-05,4,210,3081,327986,195011,125965,648962
2026-05,5,210,2998,342333,236702,116300,695335
2026-05,6,210,3120,306957,216287,145067,668311
2026-06,1,178,2068,315180,175476,71204,561861
2026-06,2,178,2219,277042,195014,115325,587381
2026-06,3,178,2031,310829,210288,93600,614716
2026-06,4,178,2164,297350,206907,111379,615636
2026-06,5,178,2318,294591,204627,106354,605573
2026-06,6,178,2676,301914,198560,85454,585928
2026-07,1,165,2023,298740,169908,84843,553491
2026-07,2,165,2382,282058,149149,83526,514733
2026-07,3,165,2382,245246,168511,66077,479834
2026-07,4,165,1831,251175,183501,90828,525504
2026-07,5,165,2165,264044,182666,83118,529829
2026-07,6,165,2398,293006,152508,72039,517554
2026-08,1,186,2791,303004,199847,87808,590659
2026-08,2,186,2248,309818,221342,98730,629890
2026-08,3,186,2380,293297,192758,115482,601537
2026-08,4,186,2220,312895,180029,113201,606124
2026-08,5,186,2503,297667,207920,79434,585021
2026-08,6,186,2188,278603,183230,127203,589035
