id_facture,id_client,date_facture,date_echeance,date_encaissement,montant_ttc,montant_encaisse,conditions_paiement
300155,6660,2023-01-25,2023-03-26,2023-03-26,1095430,1095430,60 j
300156,19327,2023-01-26,2023-02-10,2023-02-09,1241250,1241250,Comptant
300157,20153,2023-01-25,2023-02-09,2023-02-06,324960,324960,Comptant
300158,6065,2023-01-26,2023-03-27,2023-04-01,995060,995060,60 j
300159,20665,2023-01-24,2023-02-08,2023-02-03,939450,939450,Comptant
300160,113,2023-01-26,2023-02-10,2023-02-08,697320,697320,Comptant
300161,4720,2023-01-24,2023-02-08,2023-02-08,1503075,1503075,Comptant
300162,20869,2023-01-27,2023-02-26,2023-02-23,132145,132145,30 j
300163,15992,2023-01-26,2023-02-10,2023-02-09,319930,319930,Comptant
300164,3256,2023-01-25,2023-02-09,2023-02-04,1695390,1695390,Comptant
300165,2591,2023-01-25,2023-02-09,,977545,0,Comptant
300166,19362,2023-01-27,2023-02-26,2023-02-23,1376285,1376285,30 j
300167,17169,2023-01-25,2023-03-26,2023-04-15,464195,464195,60 j
300168,5126,2023-01-25,2023-02-24,,454885,0,30 j
300169,8671,2023-01-28,2023-02-12,2023-02-09,524020,524020,Comptant
300170,3238,2023-01-27,2023-02-26,,1665200,0,30 j
300171,15204,2023-01-26,2023-02-10,2023-02-09,1182225,1182225,Comptant
300172,21776,2023-01-27,2023-02-11,2023-02-06,656980,656980,Comptant
300173,23146,2023-01-27,2023-02-11,,1344795,0,Comptant
300174,21423,2023-01-26,2023-02-10,,559295,0,Comptant
300175,11344,2023-01-29,2023-02-28,2023-03-01,286055,286055,30 j
300176,20819,2023-01-29,2023-02-13,2023-02-13,198555,198555,Comptant
300177,22838,2023-01-29,2023-02-13,2023-02-08,697880,697880,Comptant
300178,15633,2023-01-29,2023-02-13,2023-02-13,546690,546690,Comptant
300179,22407,2023-01-27,2023-02-26,2023-02-21,1621595,1621595,30 j
300180,5789,2023-01-29,2023-02-13,2023-02-10,1266390,1266390,Comptant
300181,11116,2023-01-29,2023-03-30,,1726230,0,60 j
300182,10560,2023-01-28,2023-02-12,2023-02-09,163600,163600,Comptant
300183,23144,2023-01-30,2023-03-01,2023-02-26,493995,493995,30 j
300184,19192,2023-01-29,2023-02-13,2023-02-13,1439035,1439035,Comptant
300185,7684,2023-01-29,2023-03-30,,1261900,0,60 j
300186,3561,2023-01-30,2023-02-14,2023-02-14,1371510,1371510,Comptant
300187,10400,2023-01-29,2023-02-28,2023-02-23,932825,932825,30 j
300188,3545,2023-01-30,2023-02-14,2023-02-13,1749015,1749015,Comptant
300189,12239,2023-01-30,2023-03-01,2023-03-01,1179375,1179375,30 j
300190,302,2023-01-29,2023-02-13,2023-02-10,1235835,1235835,Comptant
300191,2294,2023-01-29,2023-02-13,2023-02-11,1475275,1475275,Comptant
300192,2851,2023-01-29,2023-02-13,,640460,0,Comptant
300193,10900,2023-01-31,2023-02-15,2023-02-10,1134260,1134260,Comptant
300194,22358,2023-01-31,2023-02-15,2023-02-15,1037205,1037205,Comptant
300195,1246,2023-01-30,2023-02-14,2023-02-14,536355,536355,Comptant
300196,7579,2023-01-31,2023-02-15,,509330,0,Comptant
300197,12102,2023-01-31,2023-02-15,2023-02-14,1428075,1428075,Comptant
300198,23341,2023-01-30,2023-03-01,2023-04-15,892850,892850,30 j
300199,7285,2023-01-31,2023-03-02,2023-02-27,227990,227990,30 j
300200,8282,2023-01-30,2023-03-01,2023-02-27,1697175,1697175,30 j
300201,21375,2023-01-31,2023-03-02,2023-03-01,495570,495570,30 j
300202,996,2023-02-02,2023-02-17,2023-02-12,295455,295455,Comptant
300203,6365,2023-01-31,2023-03-02,,1677675,0,30 j
300204,12305,2023-01-31,2023-04-01,2023-03-29,633220,633220,60 j
300205,6848,2023-02-02,2023-02-17,2023-02-15,1761365,1761365,Comptant
300206,22751,2023-02-01,2023-03-03,,636560,0,30 j
300207,4969,2023-01-31,2023-03-02,2023-02-28,849100,849100,30 j
300208,11059,2023-02-02,2023-02-17,2023-02-12,1123330,1123330,Comptant
300209,23824,2023-02-01,2023-02-16,2023-02-15,1038705,1038705,Comptant
300210,23733,2023-02-03,2023-02-18,2023-02-15,825245,825245,Comptant
300211,8655,2023-02-01,2023-02-16,2023-02-16,945120,945120,Comptant
300212,14569,2023-02-03,2023-03-05,2023-03-04,439910,439910,30 j
300213,18720,2023-02-03,2023-02-18,2023-02-28,358010,358010,Comptant
300214,5846,2023-02-03,2023-04-04,2023-03-30,550700,550700,60 j
300215,8603,2023-02-01,2023-02-16,,476635,0,Comptant
300216,16061,2023-02-02,2023-03-04,2023-03-09,892590,892590,30 j
300217,13625,2023-02-02,2023-03-04,2023-03-04,60550,60550,30 j
300218,7654,2023-02-04,2023-02-19,2023-02-21,1544155,1544155,Comptant
300219,7354,2023-02-04,2023-03-06,2023-03-03,874315,874315,30 j
300220,10482,2023-02-02,2023-02-17,2023-02-15,323310,323310,Comptant
300221,12856,2023-02-03,2023-02-18,2023-02-15,752330,752330,Comptant
300222,17317,2023-02-05,2023-03-07,2023-03-05,1401275,1401275,30 j
300223,10788,2023-02-04,2023-03-06,2023-03-04,1550865,1550865,30 j
300224,3565,2023-02-04,2023-03-06,2023-03-08,1580105,1580105,30 j
300225,22513,2023-02-03,2023-02-18,2023-02-13,1776575,1776575,Comptant
300226,2425,2023-02-05,2023-03-07,,671755,0,30 j
300227,19557,2023-02-04,2023-02-19,2023-02-17,1477740,1477740,Comptant
300228,13294,2023-02-05,2023-02-20,2023-02-19,1155910,1155910,Comptant
300229,11599,2023-02-06,2023-02-21,2023-02-21,1273800,1273800,Comptant
300230,3615,2023-02-06,2023-02-21,2023-02-21,1640765,1640765,Comptant
300231,15152,2023-02-04,2023-03-06,2023-03-03,647100,647100,30 j
300232,10986,2023-02-04,2023-02-19,,1249830,0,Comptant
300233,10511,2023-02-04,2023-02-19,2023-02-14,440030,440030,Comptant
300234,14766,2023-02-05,2023-03-07,2023-03-07,736225,736225,30 j
300235,14768,2023-02-06,2023-03-08,2023-03-06,438500,438500,30 j
300236,590,2023-02-05,2023-02-20,2023-04-06,1594955,1594955,Comptant
300237,10007,2023-02-05,2023-02-20,,1343620,0,Comptant
300238,13241,2023-02-06,2023-02-21,2023-02-23,1146585,1146585,Comptant
300239,2284,2023-02-05,2023-02-20,,1279520,0,Comptant
300240,17621,2023-02-07,2023-03-09,2023-03-08,1545300,1545300,30 j
300241,5871,2023-02-07,2023-02-22,2023-02-17,853750,853750,Comptant
300242,15987,2023-02-07,2023-02-22,2023-02-19,798320,798320,Comptant
300243,15979,2023-02-06,2023-02-21,2023-02-20,1610970,1610970,Comptant
300244,20252,2023-02-06,2023-02-21,2023-02-18,440345,440345,Comptant
300245,3610,2023-02-06,2023-03-08,2023-03-03,1501870,1501870,30 j
300246,9757,2023-02-07,2023-03-09,2023-03-09,484520,484520,30 j
300247,14645,2023-02-07,2023-03-09,2023-03-06,1088175,1088175,30 j
300248,12394,2023-02-06,2023-02-21,,739435,0,Comptant
300249,741,2023-02-09,2023-02-24,2023-02-21,616425,616425,Comptant
300250,9005,2023-02-09,2023-02-24,2023-02-22,1459635,1459635,Comptant
300251,9119,2023-02-09,2023-02-24,2023-02-22,1234540,1234540,Comptant
300252,10953,2023-02-09,2023-02-24,2023-03-06,1681640,1681640,Comptant
300253,13155,2023-02-09,2023-02-24,,482535,0,Comptant
300254,3147,2023-02-08,2023-04-09,2023-04-29,825600,825600,60 j
300255,23428,2023-02-08,2023-04-09,2023-04-04,1388775,1388775,60 j
300256,937,2023-02-08,2023-02-23,2023-02-21,619855,619855,Comptant
300257,7142,2023-02-09,2023-04-10,2023-04-08,1462090,1462090,60 j
300258,6846,2023-02-10,2023-02-25,,519265,0,Comptant
300259,20377,2023-02-09,2023-02-24,,449705,0,Comptant
300260,23402,2023-02-09,2023-02-24,2023-02-23,1415590,1415590,Comptant
300261,20628,2023-02-08,2023-03-10,2023-03-10,446270,446270,30 j
300262,8802,2023-02-10,2023-02-25,2023-02-27,878580,878580,Comptant
300263,22983,2023-02-09,2023-02-24,2023-03-06,391775,391775,Comptant
300264,18487,2023-02-09,2023-03-11,2023-03-10,130265,130265,30 j
300265,6263,2023-02-09,2023-02-24,2023-02-23,1017390,1017390,Comptant
300266,9720,2023-02-10,2023-02-25,2023-02-25,1396675,1396675,Comptant
300267,19701,2023-02-11,2023-02-26,2023-02-28,999580,999580,Comptant
300268,818,2023-02-10,2023-02-25,2023-02-25,1746175,1746175,Comptant
300269,10578,2023-02-12,2023-02-27,,453655,0,Comptant
300270,1146,2023-02-10,2023-04-11,,1166565,0,60 j
300271,1914,2023-02-10,2023-02-25,2023-02-27,517015,517015,Comptant
300272,1724,2023-02-11,2023-02-26,2023-02-24,1625070,1625070,Comptant
300273,7162,2023-02-11,2023-02-26,,787645,0,Comptant
300274,9483,2023-02-10,2023-02-25,2023-02-25,72355,72355,Comptant
300275,7396,2023-02-11,2023-02-26,2023-02-25,1235980,1235980,Comptant
300276,10194,2023-02-11,2023-02-26,,681605,0,Comptant
300277,13902,2023-02-11,2023-02-26,2023-02-26,1210425,1210425,Comptant
300278,8621,2023-02-11,2023-02-26,2023-02-25,1345805,1345805,Comptant
300279,10750,2023-02-12,2023-02-27,2023-02-22,1742425,1742425,Comptant
300280,8125,2023-02-11,2023-02-26,2023-02-24,342415,342415,Comptant
300281,18559,2023-02-13,2023-02-28,2023-03-02,965470,965470,Comptant
300282,2535,2023-02-13,2023-03-15,2023-03-15,75480,75480,30 j
300283,10471,2023-02-14,2023-03-01,2023-02-27,502120,502120,Comptant
300284,3641,2023-02-14,2023-03-01,,1147085,0,Comptant
300285,21420,2023-02-14,2023-03-01,2023-03-03,1062235,1062235,Comptant
300286,8005,2023-02-14,2023-03-01,2023-02-24,1160825,1160825,Comptant
300287,17046,2023-02-13,2023-02-28,,1162490,0,Comptant
300288,20395,2023-02-14,2023-03-01,2023-02-28,492145,492145,Comptant
300289,9737,2023-02-13,2023-02-28,,365265,0,Comptant
300290,1280,2023-02-15,2023-03-02,2023-03-02,867980,867980,Comptant
300291,9105,2023-02-15,2023-03-17,2023-03-16,698065,698065,30 j
300292,2446,2023-02-14,2023-03-16,2023-03-13,738905,738905,30 j
300293,4787,2023-02-15,2023-03-02,2023-03-01,841525,841525,Comptant
300294,5037,2023-02-13,2023-04-14,2023-04-16,1712455,1712455,60 j
300295,628,2023-02-15,2023-03-17,2023-03-12,708530,708530,30 j
300296,3116,2023-02-16,2023-03-03,2023-03-02,301400,301400,Comptant
300297,18444,2023-02-16,2023-03-18,2023-03-15,326360,326360,30 j
300298,15735,2023-02-15,2023-03-17,2023-03-15,551715,551715,30 j
300299,2169,2023-02-15,2023-03-02,2023-03-01,1140120,1140120,Comptant
300300,12741,2023-02-15,2023-03-17,2023-03-15,1733025,1733025,30 j
300301,322,2023-02-15,2023-03-02,,79750,0,Comptant
300302,21077,2023-02-15,2023-03-17,2023-03-14,1096775,1096775,30 j
300303,23182,2023-02-16,2023-03-18,2023-03-13,979875,979875,30 j
300304,14642,2023-02-17,2023-03-19,2023-03-19,768185,768185,30 j
300305,10430,2023-02-16,2023-03-03,2023-03-03,986390,986390,Comptant
300306,14008,2023-02-17,2023-03-04,2023-03-03,1582735,1582735,Comptant
300307,20482,2023-02-17,2023-03-04,2023-03-01,407300,407300,Comptant
300308,11652,2023-02-16,2023-03-03,2023-03-05,489350,489350,Comptant
300309,2842,2023-02-15,2023-03-02,2023-03-01,1007715,1007715,Comptant
300310,10415,2023-02-16,2023-03-03,2023-03-13,646320,646320,Comptant
300311,14863,2023-02-18,2023-03-05,2023-03-04,747525,747525,Comptant
300312,10270,2023-02-16,2023-03-18,2023-03-16,1085775,1085775,30 j
300313,19200,2023-02-17,2023-03-04,2023-03-03,922825,922825,Comptant
300314,19626,2023-02-17,2023-03-04,,841775,0,Comptant
300315,15144,2023-02-18,2023-03-05,2023-03-04,746935,746935,Comptant
300316,20593,2023-02-18,2023-04-19,2023-04-18,1676510,1676510,60 j
300317,5928,2023-02-17,2023-03-19,2023-03-17,1749090,1749090,30 j
300318,13561,2023-02-17,2023-03-04,2023-03-03,1518875,1518875,Comptant
300319,12251,2023-02-17,2023-03-04,,1646275,0,Comptant
300320,21243,2023-02-18,2023-04-19,2023-04-14,1522660,1522660,60 j
300321,9249,2023-02-18,2023-03-05,2023-03-05,1714470,1714470,Comptant
300322,15210,2023-02-19,2023-03-06,,1499785,0,Comptant
300323,2057,2023-02-18,2023-03-20,2023-03-17,1688090,1688090,30 j
300324,16399,2023-02-18,2023-03-05,2023-03-03,400990,400990,Comptant
300325,6349,2023-02-20,2023-04-21,,1064960,0,60 j
300326,16028,2023-02-18,2023-03-20,2023-03-18,671170,671170,30 j
300327,20608,2023-02-19,2023-03-21,2023-03-16,1540275,1540275,30 j
300328,23287,2023-02-19,2023-03-06,2023-03-03,767015,767015,Comptant
300329,11034,2023-02-18,2023-03-05,2023-02-28,419025,419025,Comptant
300330,2151,2023-02-20,2023-03-07,2023-03-04,383785,383785,Comptant
300331,16562,2023-02-21,2023-03-23,2023-03-22,614630,614630,30 j
300332,22476,2023-02-19,2023-03-06,2023-03-26,1267335,1267335,Comptant
300333,9154,2023-02-21,2023-03-08,2023-03-08,875120,875120,Comptant
300334,18329,2023-02-20,2023-03-22,2023-03-17,1668675,1668675,30 j
300335,22204,2023-02-20,2023-03-07,2023-03-04,891100,891100,Comptant
300336,21708,2023-02-21,2023-03-08,2023-03-06,1605240,1605240,Comptant
300337,651,2023-02-22,2023-03-09,2023-03-06,447705,447705,Comptant
300338,12797,2023-02-20,2023-03-07,2023-03-07,1447380,1447380,Comptant
300339,9677,2023-02-22,2023-03-09,2023-03-09,1644820,1644820,Comptant
300340,6415,2023-02-20,2023-03-07,2023-03-05,1572375,1572375,Comptant
300341,5434,2023-02-20,2023-03-07,2023-03-05,552025,552025,Comptant
300342,11062,2023-02-20,2023-03-07,2023-03-06,760525,760525,Comptant
300343,14527,2023-02-21,2023-03-08,2023-03-06,499940,499940,Comptant
300344,17938,2023-02-21,2023-04-22,2023-04-17,1138340,1138340,60 j
300345,12332,2023-02-23,2023-03-10,2023-03-08,1009255,1009255,Comptant
300346,14722,2023-02-23,2023-03-25,2023-03-24,649565,649565,30 j
300347,14753,2023-02-22,2023-04-23,2023-04-22,1235840,1235840,60 j
300348,12030,2023-02-22,2023-03-24,2023-03-23,1240235,1240235,30 j
300349,18445,2023-02-22,2023-03-09,2023-03-07,522030,522030,Comptant
300350,4820,2023-02-24,2023-03-11,2023-03-06,729585,729585,Comptant
300351,2008,2023-02-22,2023-03-09,,60840,0,Comptant
300352,17052,2023-02-24,2023-03-11,2023-03-11,1027730,1027730,Comptant
300353,16266,2023-02-23,2023-03-25,2023-03-20,271480,271480,30 j
300354,7959,2023-02-23,2023-03-10,2023-03-08,555365,555365,Comptant
300355,1316,2023-02-24,2023-03-26,2023-03-26,938175,938175,30 j
300356,5395,2023-02-22,2023-03-09,2023-03-04,1632090,1632090,Comptant
300357,13470,2023-02-24,2023-03-11,2023-03-10,1086145,1086145,Comptant
300358,22366,2023-02-23,2023-04-24,,438895,0,60 j
300359,11293,2023-02-25,2023-03-27,2023-03-27,697240,697240,30 j
300360,20419,2023-02-23,2023-04-24,2023-04-22,954480,954480,60 j
300361,81,2023-02-25,2023-03-12,2023-03-09,1653130,1653130,Comptant
300362,22846,2023-02-23,2023-03-10,2023-03-05,952650,952650,Comptant
300363,8622,2023-02-26,2023-03-28,2023-03-25,1772100,1772100,30 j
300364,11888,2023-02-25,2023-03-12,2023-03-10,564350,564350,Comptant
300365,8001,2023-02-24,2023-03-26,2023-03-24,1619890,1619890,30 j
300366,22839,2023-02-26,2023-03-13,2023-03-13,289360,289360,Comptant
300367,9769,2023-02-26,2023-03-28,2023-03-26,1739450,1739450,30 j
300368,11497,2023-02-26,2023-03-13,2023-03-14,76050,76050,Comptant
300369,10925,2023-02-25,2023-03-12,2023-03-13,1675750,1675750,Comptant
300370,19735,2023-02-26,2023-04-27,2023-04-26,1548190,1548190,60 j
300371,17700,2023-02-26,2023-03-28,2023-03-26,1333845,1333845,30 j
300372,15533,2023-02-26,2023-03-28,2023-03-27,1085695,1085695,30 j
300373,14975,2023-02-25,2023-03-12,2023-03-09,825325,825325,Comptant
