id_produit,mois,entrees_unites,stock_moyen_unites,couverture_mois
3,2025-07,296,357,1.23
3,2025-08,393,542,1.45
3,2025-09,519,804,1.37
3,2025-10,759,897,1.30
3,2025-11,625,838,1.23
3,2025-12,604,994,1.45
3,2026-01,448,592,1.37
3,2026-02,560,688,1.30
3,2026-03,771,905,1.23
3,2026-04,589,948,1.45
3,2026-05,438,641,1.37
3,2026-06,371,477,1.30
3,2026-07,482,580,1.23
3,2026-08,473,648,1.45
4,2023-01,411,573,1.23
4,2023-02,416,469,1.17
4,2023-03,503,600,1.11
4,2023-04,295,400,1.30
4,2023-05,394,530,1.23
4,2023-06,299,349,1.17
4,2023-07,231,272,1.11
4,2023-08,378,479,1.30
4,2023-09,504,655,1.23
4,2023-10,476,612,1.17
4,2023-11,549,636,1.11
4,2023-12,420,575,1.30
4,2024-01,316,409,1.23
4,2024-02,587,614,1.17
4,2024-03,642,698,1.11
4,2024-04,769,922,1.30
4,2024-05,586,699,1.23
4,2024-06,539,565,1.17
4,2024-07,243,271,1.11
4,2024-08,311,408,1.30
4,2024-09,509,665,1.23
4,2024-10,614,766,1.17
4,2024-11,731,740,1.11
4,2024-12,558,732,1.30
4,2025-01,461,549,1.23
4,2025-02,449,476,1.17
4,2025-03,576,636,1.11
4,2025-04,513,725,1.30
4,2025-05,492,578,1.23
4,2025-06,436,476,1.17
4,2025-07,344,346,1.11
4,2025-08,292,387,1.30
4,2025-09,513,695,1.23
4,2025-10,620,694,1.17
4,2025-11,628,652,1.11
4,2025-12,515,754,1.30
4,2026-01,714,819,1.23
4,2026-02,642,694,1.17
4,2026-03,416,516,1.11
4,2026-04,711,901,1.30
4,2026-05,355,483,1.23
4,2026-06,352,409,1.17
4,2026-07,285,348,1.11
4,2026-08,494,633,1.30
5,2023-01,441,410,0.88
5,2023-02,360,301,0.83
5,2023-03,647,499,0.79
5,2023-04,643,561,0.93
5,2023-05,444,395,0.88
5,2023-06,441,402,0.83
5,2023-07,374,310,0.79
5,2023-08,379,361,0.93
5,2023-09,298,273,0.88
5,2023-10,526,473,0.83
5,2023-11,511,363,0.79
5,2023-12,558,539,0.93
5,2024-01,357,357,0.88
5,2024-02,360,320,0.83
5,2024-03,797,594,0.79
5,2024-04,603,534,0.93
5,2024-05,279,247,0.88
5,2024-06,411,385,0.83
5,2024-07,305,252,0.79
5,2024-08,535,454,0.93
5,2024-09,366,353,0.88
5,2024-10,625,579,0.83
5,2024-11,566,455,0.79
5,2024-12,451,474,0.93
5,2025-01,504,404,0.88
5,2025-02,661,512,0.83
5,2025-03,582,503,0.79
5,2025-04,527,451,0.93
5,2025-05,435,343,0.88
5,2025-06,398,312,0.83
5,2025-07,184,137,0.79
5,2025-08,301,308,0.93
5,2025-09,421,395,0.88
5,2025-10,731,614,0.83
5,2025-11,551,473,0.79
5,2025-12,632,545,0.93
5,2026-01,591,535,0.88
5,2026-02,446,360,0.83
5,2026-03,600,488,0.79
5,2026-04,673,564,0.93
5,2026-05,378,348,0.88
5,2026-06,493,379,0.83
5,2026-07,301,219,0.79
5,2026-08,442,399,0.93
6,2023-01,346,793,2.05
6,2023-02,484,853,1.95
6,2023-03,490,985,1.85
6,2023-04,516,1248,2.17
6,2023-05,436,826,2.05
6,2023-06,260,547,1.95
6,2023-07,289,602,1.85
6,2023-08,393,785,2.17
6,2023-09,703,1311,2.05
6,2023-10,491,994,1.95
6,2023-11,584,1120,1.85
6,2023-12,549,1130,2.17
6,2024-01,466,908,2.05
6,2024-02,524,1077,1.95
6,2024-03,509,1054,1.85
6,2024-04,633,1511,2.17
6,2024-05,454,986,2.05
6,2024-06,287,631,1.95
6,2024-07,482,846,1.85
6,2024-08,478,1070,2.17
6,2024-09,399,814,2.05
6,2024-10,540,1118,1.95
6,2024-11,504,961,1.85
6,2024-12,548,1137,2.17
6,2025-01,487,916,2.05
6,2025-02,548,990,1.95
6,2025-03,695,1283,1.85
6,2025-04,893,1793,2.17
6,2025-05,548,1184,2.05
6,2025-06,378,715,1.95
6,2025-07,327,639,1.85
6,2025-08,521,1035,2.17
6,2025-09,471,995,2.05
6,2025-10,572,1255,1.95
6,2025-11,599,1041,1.85
6,2025-12,444,1054,2.17
6,2026-01,663,1255,2.05
6,2026-02,674,1218,1.95
6,2026-03,614,1043,1.85
6,2026-04,525,1278,2.17
6,2026-05,489,1052,2.05
6,2026-06,352,769,1.95
6,2026-07,306,639,1.85
6,2026-08,439,970,2.17
7,2023-01,463,508,1.12
7,2023-02,346,413,1.06
7,2023-03,542,525,1.01
7,2023-04,483,592,1.19
7,2023-05,333,408,1.12
7,2023-06,307,317,1.06
7,2023-07,277,285,1.01
7,2023-08,282,346,1.19
7,2023-09,631,638,1.12
7,2023-10,667,696,1.06
7,2023-11,484,504,1.01
7,2023-12,755,886,1.19
7,2024-01,498,505,1.12
7,2024-02,479,554,1.06
7,2024-03,715,691,1.01
7,2024-04,606,649,1.19
7,2024-05,365,393,1.12
7,2024-06,249,292,1.06
7,2024-07,469,442,1.01
7,2024-08,420,496,1.19
7,2024-09,523,634,1.12
7,2024-10,639,647,1.06
7,2024-11,661,612,1.01
7,2024-12,732,823,1.19
7,2025-01,560,566,1.12
7,2025-02,562,651,1.06
7,2025-03,564,509,1.01
7,2025-04,682,743,1.19
7,2025-05,596,692,1.12
7,2025-06,292,307,1.06
7,2025-07,376,352,1.01
7,2025-08,473,529,1.19
7,2025-09,711,795,1.12
7,2025-10,536,614,1.06
7,2025-11,575,581,1.01
7,2025-12,710,764,1.19
7,2026-01,757,779,1.12
7,2026-02,565,640,1.06
7,2026-03,626,709,1.01
7,2026-04,622,751,1.19
7,2026-05,511,558,1.12
7,2026-06,392,377,1.06
7,2026-07,420,386,1.01
7,2026-08,517,605,1.19
8,2023-01,439,477,1.03
8,2023-02,439,399,0.97
8,2023-03,426,389,0.93
8,2023-04,452,545,1.09
8,2023-05,524,545,1.03
8,2023-06,329,313,0.97
8,2023-07,371,350,0.93
8,2023-08,362,387,1.09
8,2023-09,487,470,1.03
8,2023-10,626,555,0.97
8,2023-11,521,475,0.93
8,2023-12,439,522,1.09
8,2024-01,566,522,1.03
8,2024-02,447,406,0.97
8,2024-03,597,556,0.93
8,2024-04,647,702,1.09
8,2024-05,369,341,1.03
8,2024-06,222,242,0.97
8,2024-07,270,242,0.93
8,2024-08,288,313,1.09
8,2024-09,583,536,1.03
8,2024-10,448,473,0.97
8,2024-11,692,581,0.93
8,2024-12,451,530,1.09
8,2025-01,476,505,1.03
8,2025-02,496,445,0.97
8,2025-03,638,606,0.93
8,2025-04,404,473,1.09
8,2025-05,470,509,1.03
8,2025-06,343,338,0.97
8,2025-07,281,287,0.93
8,2025-08,309,302,1.09
8,2025-09,556,572,1.03
8,2025-10,509,516,0.97
8,2025-11,695,611,0.93
8,2025-12,773,826,1.09
8,2026-01,709,770,1.03
8,2026-02,495,431,0.97
8,2026-03,871,775,0.93
8,2026-04,597,676,1.09
8,2026-05,653,601,1.03
8,2026-06,398,369,0.97
8,2026-07,320,318,0.93
8,2026-08,508,509,1.09
9,2023-01,543,955,1.76
9,2023-02,318,566,1.67
9,2023-03,524,911,1.59
9,2023-04,505,868,1.86
9,2023-05,382,734,1.76
9,2023-06,336,534,1.67
9,2023-07,395,629,1.59
9,2023-08,228,458,1.86
9,2023-09,426,750,1.76
9,2023-10,541,1019,1.67
9,2023-11,554,886,1.59
9,2023-12,406,853,1.86
9,2024-01,589,1059,1.76
9,2024-02,384,723,1.67
9,2024-03,604,889,1.59
9,2024-04,382,669,1.86
9,2024-05,424,819,1.76
9,2024-06,333,501,1.67
9,2024-07,356,525,1.59
9,2024-08,327,661,1.86
9,2024-09,570,1011,1.76
9,2024-10,514,840,1.67
9,2024-11,514,746,1.59
9,2024-12,397,805,1.86
9,2025-01,705,1161,1.76
9,2025-02,451,768,1.67
9,2025-03,463,817,1.59
9,2025-04,638,1248,1.86
9,2025-05,404,771,1.76
9,2025-06,535,817,1.67
9,2025-07,350,511,1.59
9,2025-08,291,598,1.86
9,2025-09,624,990,1.76
9,2025-10,858,1351,1.67
9,2025-11,570,848,1.59
9,2025-12,573,995,1.86
9,2026-01,696,1138,1.76
9,2026-02,442,671,1.67
9,2026-03,880,1390,1.59
9,2026-04,695,1168,1.86
9,2026-05,483,766,1.76
9,2026-06,608,930,1.67
9,2026-07,371,619,1.59
9,2026-08,479,818,1.86
10,2023-01,531,811,1.54
10,2023-02,325,485,1.46
10,2023-03,477,606,1.39
10,2023-04,387,693,1.63
10,2023-05,345,536,1.54
10,2023-06,311,487,1.46
10,2023-07,230,293,1.39
10,2023-08,338,492,1.63
10,2023-09,594,865,1.54
10,2023-10,444,618,1.46
10,2023-11,552,746,1.39
10,2023-12,359,598,1.63
10,2024-01,447,687,1.54
10,2024-02,430,605,1.46
10,2024-03,541,685,1.39
10,2024-04,375,673,1.63
10,2024-05,437,672,1.54
10,2024-06,432,694,1.46
10,2024-07,339,503,1.39
10,2024-08,551,832,1.63
10,2024-09,352,518,1.54
10,2024-10,564,909,1.46
10,2024-11,610,815,1.39
10,2024-12,559,1014,1.63
10,2025-01,310,538,1.54
10,2025-02,728,979,1.46
10,2025-03,591,792,1.39
10,2025-04,609,990,1.63
10,2025-05,519,718,1.54
10,2025-06,556,792,1.46
10,2025-07,494,664,1.39
10,2025-08,371,616,1.63
10,2025-09,575,858,1.54
10,2025-10,812,1072,1.46
10,2025-11,723,949,1.39
10,2025-12,603,920,1.63
10,2026-01,816,1125,1.54
10,2026-02,560,736,1.46
10,2026-03,606,900,1.39
10,2026-04,768,1161,1.63
10,2026-05,588,811,1.54
10,2026-06,456,643,1.46
10,2026-07,297,458,1.39
10,2026-08,469,696,1.63
11,2023-01,409,538,1.23
11,2023-02,427,466,1.17
11,2023-03,603,743,1.11
11,2023-04,399,517,1.30
11,2023-05,477,536,1.23
11,2023-06,221,251,1.17
11,2023-07,287,344,1.11
11,2023-08,399,494,1.30
11,2023-09,383,448,1.23
11,2023-10,592,636,1.17
11,2023-11,575,687,1.11
11,2023-12,504,593,1.30
11,2024-01,392,452,1.23
11,2024-02,417,535,1.17
11,2024-03,506,623,1.11
11,2024-04,442,655,1.30
11,2024-05,688,808,1.23
11,2024-06,482,593,1.17
11,2024-07,270,306,1.11
11,2024-08,397,489,1.30
11,2024-09,457,579,1.23
11,2024-10,471,584,1.17
11,2024-11,565,654,1.11
11,2024-12,724,965,1.30
11,2025-01,527,616,1.23
11,2025-02,478,560,1.17
11,2025-03,656,751,1.11
11,2025-04,424,500,1.30
11,2025-05,629,793,1.23
11,2025-06,625,757,1.17
11,2025-07,247,261,1.11
11,2025-08,524,702,1.30
11,2025-09,446,530,1.23
11,2025-10,927,970,1.17
11,2025-11,503,601,1.11
11,2025-12,640,768,1.30
11,2026-01,552,663,1.23
11,2026-02,463,553,1.17
11,2026-03,678,819,1.11
11,2026-04,602,723,1.30
11,2026-05,622,783,1.23
11,2026-06,521,554,1.17
11,2026-07,366,373,1.11
11,2026-08,320,464,1.30
12,2023-01,428,461,1.12
12,2023-02,283,307,1.06
12,2023-03,579,577,1.01
12,2023-04,428,569,1.19
12,2023-05,409,494,1.12
12,2023-06,416,502,1.06
12,2023-07,230,258,1.01
12,2023-08,338,376,1.19
12,2023-09,389,455,1.12
12,2023-10,459,506,1.06
12,2023-11,377,353,1.01
12,2023-12,385,491,1.19
12,2024-01,433,436,1.12
12,2024-02,454,540,1.06
12,2024-03,637,724,1.01
12,2024-04,528,596,1.19
12,2024-05,463,522,1.12
12,2024-06,480,509,1.06
12,2024-07,258,273,1.01
12,2024-08,450,483,1.19
12,2024-09,600,662,1.12
12,2024-10,523,623,1.06
12,2024-11,516,503,1.01
12,2024-12,517,567,1.19
12,2025-01,538,542,1.12
12,2025-02,516,495,1.06
12,2025-03,759,696,1.01
12,2025-04,496,549,1.19
12,2025-05,472,596,1.12
12,2025-06,361,359,1.06
12,2025-07,316,328,1.01
12,2025-08,502,620,1.19
12,2025-09,437,540,1.12
12,2025-10,554,599,1.06
12,2025-11,479,506,1.01
12,2025-12,578,729,1.19
12,2026-01,497,517,1.12
12,2026-02,463,495,1.06
12,2026-03,730,708,1.01
12,2026-04,543,708,1.19
12,2026-05,352,382,1.12
12,2026-06,607,609,1.06
12,2026-07,321,338,1.01
12,2026-08,480,626,1.19
13,2023-01,235,363,1.37
13,2023-02,252,329,1.30
13,2023-03,282,364,1.23
13,2023-04,277,449,1.45
13,2023-05,335,440,1.37
13,2023-06,261,319,1.30
13,2023-07,183,221,1.23
13,2023-08,308,483,1.45
13,2023-09,389,566,1.37
13,2023-10,337,449,1.30
13,2023-11,292,396,1.23
13,2023-12,511,725,1.45
13,2024-01,373,508,1.37
13,2024-02,351,413,1.30
13,2024-03,351,409,1.23
13,2024-04,448,671,1.45
13,2024-05,236,299,1.37
13,2024-06,184,255,1.30
13,2024-07,292,354,1.23
13,2024-08,219,336,1.45
13,2024-09,406,526,1.37
13,2024-10,503,591,1.30
13,2024-11,511,599,1.23
13,2024-12,476,736,1.45
13,2025-01,265,393,1.37
13,2025-02,326,388,1.30
13,2025-03,429,574,1.23
13,2025-04,483,738,1.45
13,2025-05,359,504,1.37
13,2025-06,192,273,1.30
13,2025-07,215,262,1.23
13,2025-08,208,342,1.45
13,2025-09,361,529,1.37
13,2025-10,432,526,1.30
13,2025-11,403,483,1.23
13,2025-12,349,464,1.45
13,2026-01,267,386,1.37
13,2026-02,355,516,1.30
13,2026-03,403,494,1.23
13,2026-04,507,784,1.45
13,2026-05,372,564,1.37
13,2026-06,268,356,1.30
13,2026-07,409,559,1.23
13,2026-08,321,487,1.45
14,2023-01,347,473,1.23
14,2023-02,249,305,1.17
14,2023-03,365,418,1.11
14,2023-04,556,659,1.30
14,2023-05,247,302,1.23
14,2023-06,245,275,1.17
14,2023-07,228,271,1.11
14,2023-08,227,265,1.30
14,2023-09,387,446,1.23
14,2023-10,340,428,1.17
14,2023-11,366,460,1.11
14,2023-12,286,407,1.30
14,2024-01,380,482,1.23
14,2024-02,292,325,1.17
14,2024-03,372,440,1.11
14,2024-04,287,420,1.30
14,2024-05,369,497,1.23
14,2024-06,269,319,1.17
14,2024-07,202,209,1.11
14,2024-08,261,329,1.30
14,2024-09,346,414,1.23
14,2024-10,349,368,1.17
14,2024-11,241,267,1.11
14,2024-12,512,704,1.30
14,2025-01,441,538,1.23
14,2025-02,293,382,1.17
14,2025-03,358,449,1.11
14,2025-04,566,686,1.30
14,2025-05,365,411,1.23
14,2025-06,213,229,1.17
14,2025-07,286,321,1.11
14,2025-08,267,363,1.30
14,2025-09,345,451,1.23
14,2025-10,382,421,1.17
14,2025-11,437,530,1.11
14,2025-12,462,680,1.30
14,2026-01,298,408,1.23
14,2026-02,335,383,1.17
14,2026-03,561,592,1.11
14,2026-04,360,484,1.30
14,2026-05,416,545,1.23
14,2026-06,365,397,1.17
14,2026-07,439,457,1.11
14,2026-08,366,500,1.30
15,2023-01,317,430,1.37
15,2023-02,275,342,1.30
15,2023-03,529,675,1.23
15,2023-04,352,577,1.45
15,2023-05,179,267,1.37
15,2023-06,244,351,1.30
15,2023-07,226,301,1.23
15,2023-08,275,372,1.45
15,2023-09,256,314,1.37
15,2023-10,581,713,1.30
15,2023-11,433,502,1.23
15,2023-12,462,678,1.45
15,2024-01,295,426,1.37
15,2024-02,281,336,1.30
15,2024-03,531,617,1.23
15,2024-04,378,491,1.45
15,2024-05,377,497,1.37
15,2024-06,284,391,1.30
15,2024-07,178,248,1.23
15,2024-08,374,522,1.45
15,2024-09,398,530,1.37
15,2024-10,390,505,1.30
15,2024-11,369,427,1.23
15,2024-12,373,557,1.45
15,2025-01,388,536,1.37
15,2025-02,409,504,1.30
15,2025-03,359,428,1.23
15,2025-04,497,726,1.45
15,2025-05,243,363,1.37
15,2025-06,136,187,1.30
15,2025-07,334,419,1.23
15,2025-08,408,661,1.45
15,2025-09,469,648,1.37
15,2025-10,570,717,1.30
15,2025-11,417,520,1.23
15,2025-12,382,555,1.45
15,2026-01,347,438,1.37
15,2026-02,470,609,1.30
15,2026-03,454,547,1.23
15,2026-04,246,333,1.45
15,2026-05,438,567,1.37
15,2026-06,382,474,1.30
15,2026-07,383,457,1.23
15,2026-08,293,446,1.45
16,2023-01,393,450,1.23
16,2023-02,338,420,1.17
16,2023-03,374,427,1.11
16,2023-04,575,678,1.30
16,2023-05,246,298,1.23
16,2023-06,264,284,1.17
16,2023-07,189,212,1.11
16,2023-08,153,214,1.30
16,2023-09,279,324,1.23
16,2023-10,329,392,1.17
16,2023-11,302,320,1.11
16,2023-12,382,552,1.30
16,2024-01,457,529,1.23
16,2024-02,403,438,1.17
16,2024-03,220,267,1.11
16,2024-04,334,447,1.30
16,2024-05,403,480,1.23
16,2024-06,247,295,1.17
16,2024-07,187,226,1.11
16,2024-08,231,335,1.30
16,2024-09,269,354,1.23
16,2024-10,352,454,1.17
16,2024-11,327,377,1.11
16,2024-12,501,586,1.30
16,2025-01,373,423,1.23
16,2025-02,318,378,1.17
16,2025-03,334,346,1.11
16,2025-04,445,566,1.30
16,2025-05,439,518,1.23
16,2025-06,328,408,1.17
16,2025-07,280,336,1.11
16,2025-08,312,374,1.30
16,2025-09,659,793,1.23
16,2025-10,396,500,1.17
16,2025-11,273,290,1.11
16,2025-12,418,601,1.30
16,2026-01,437,499,1.23
16,2026-02,290,369,1.17
16,2026-03,518,632,1.11
16,2026-04,349,473,1.30
16,2026-05,534,678,1.23
16,2026-06,354,388,1.17
16,2026-07,202,240,1.11
16,2026-08,292,374,1.30
17,2023-01,332,336,1.12
17,2023-02,265,310,1.06
17,2023-03,515,510,1.01
17,2023-04,332,420,1.19
17,2023-05,155,185,1.12
17,2023-06,291,290,1.06
17,2023-07,302,283,1.01
17,2023-08,193,260,1.19
17,2023-09,353,448,1.12
17,2023-10,425,470,1.06
17,2023-11,368,352,1.01
17,2023-12,425,490,1.19
17,2024-01,444,491,1.12
17,2024-02,307,296,1.06
17,2024-03,462,422,1.01
17,2024-04,333,377,1.19
17,2024-05,348,442,1.12
17,2024-06,279,298,1.06
17,2024-07,330,301,1.01
17,2024-08,208,238,1.19
17,2024-09,288,303,1.12
17,2024-10,356,410,1.06
17,2024-11,346,320,1.01
17,2024-12,305,360,1.19
17,2025-01,542,634,1.12
17,2025-02,417,400,1.06
17,2025-03,500,468,1.01
17,2025-04,262,343,1.19
17,2025-05,442,509,1.12
17,2025-06,451,466,1.06
17,2025-07,215,224,1.01
17,2025-08,330,353,1.19
17,2025-09,284,344,1.12
17,2025-10,600,579,1.06
17,2025-11,542,588,1.01
17,2025-12,442,470,1.19
17,2026-01,414,511,1.12
17,2026-02,453,470,1.06
17,2026-03,470,485,1.01
17,2026-04,407,483,1.19
17,2026-05,417,424,1.12
17,2026-06,304,354,1.06
17,2026-07,263,297,1.01
17,2026-08,254,339,1.19
18,2023-01,309,317,1.03
18,2023-02,242,228,0.97
18,2023-03,382,344,0.93
18,2023-04,487,558,1.09
18,2023-05,344,382,1.03
18,2023-06,337,293,0.97
18,2023-07,220,187,0.93
18,2023-08,177,187,1.09
18,2023-09,351,384,1.03
18,2023-10,360,384,0.97
18,2023-11,267,246,0.93
18,2023-12,405,464,1.09
18,2024-01,242,266,1.03
18,2024-02,266,233,0.97
18,2024-03,426,372,0.93
18,2024-04,545,592,1.09
18,2024-05,264,304,1.03
18,2024-06,186,185,0.97
18,2024-07,307,293,0.93
18,2024-08,255,264,1.09
18,2024-09,281,290,1.03
18,2024-10,479,529,0.97
18,2024-11,349,344,0.93
18,2024-12,305,332,1.09
18,2025-01,324,373,1.03
18,2025-02,246,248,0.97
18,2025-03,550,514,0.93
18,2025-04,276,308,1.09
18,2025-05,451,492,1.03
18,2025-06,352,344,0.97
18,2025-07,217,201,0.93
18,2025-08,379,438,1.09
18,2025-09,250,277,1.03
18,2025-10,365,378,0.97
18,2025-11,444,369,0.93
18,2025-12,318,327,1.09
18,2026-01,265,255,1.03
18,2026-02,315,337,0.97
18,2026-03,372,319,0.93
18,2026-04,432,513,1.09
18,2026-05,391,443,1.03
18,2026-06,311,323,0.97
18,2026-07,345,301,0.93
18,2026-08,292,285,1.09
19,2023-01,320,441,1.37
19,2023-02,342,423,1.30
19,2023-03,330,437,1.23
19,2023-04,383,509,1.45
19,2023-05,337,432,1.37
19,2023-06,259,312,1.30
19,2023-07,194,248,1.23
19,2023-08,220,355,1.45
19,2023-09,374,552,1.37
19,2023-10,445,601,1.30
19,2023-11,370,491,1.23
19,2023-12,418,643,1.45
19,2024-01,421,553,1.37
19,2024-02,302,388,1.30
19,2024-03,362,433,1.23
19,2024-04,402,557,1.45
19,2024-05,344,495,1.37
19,2024-06,304,392,1.30
19,2024-07,276,341,1.23
19,2024-08,302,420,1.45
19,2024-09,241,340,1.37
19,2024-10,397,494,1.30
19,2024-11,386,502,1.23
19,2024-12,466,654,1.45
19,2025-01,431,593,1.37
19,2025-02,343,490,1.30
19,2025-03,294,411,1.23
19,2025-04,336,509,1.45
19,2025-05,411,592,1.37
19,2025-06,271,325,1.30
19,2025-07,315,411,1.23
19,2025-08,342,445,1.45
19,2025-09,361,448,1.37
19,2025-10,472,619,1.30
19,2025-11,511,601,1.23
19,2025-12,350,475,1.45
19,2026-01,581,714,1.37
19,2026-02,275,383,1.30
19,2026-03,327,388,1.23
19,2026-04,374,594,1.45
19,2026-05,346,433,1.37
19,2026-06,249,332,1.30
19,2026-07,256,358,1.23
19,2026-08,368,545,1.45
20,2023-01,272,324,1.23
20,2023-02,520,556,1.17
20,2023-03,277,286,1.11
20,2023-04,285,390,1.30
20,2023-05,287,360,1.23
20,2023-06,145,171,1.17
20,2023-07,191,191,1.11
20,2023-08,402,475,1.30
20,2023-09,389,434,1.23
20,2023-10,384,442,1.17
20,2023-11,375,373,1.11
20,2023-12,314,464,1.30
20,2024-01,287,369,1.23
20,2024-02,443,505,1.17
20,2024-03,514,511,1.11
20,2024-04,258,374,1.30
20,2024-05,281,311,1.23
20,2024-06,299,333,1.17
20,2024-07,307,340,1.11
20,2024-08,218,304,1.30
20,2024-09,241,284,1.23
20,2024-10,532,650,1.17
20,2024-11,496,544,1.11
20,2024-12,353,437,1.30
20,2025-01,269,349,1.23
20,2025-02,322,360,1.17
20,2025-03,572,642,1.11
20,2025-04,412,513,1.30
20,2025-05,288,339,1.23
20,2025-06,286,360,1.17
20,2025-07,241,252,1.11
20,2025-08,298,425,1.30
20,2025-09,400,471,1.23
20,2025-10,392,515,1.17
20,2025-11,366,436,1.11
20,2025-12,501,600,1.30
20,2026-01,295,359,1.23
20,2026-02,392,441,1.17
20,2026-03,499,597,1.11
20,2026-04,427,565,1.30
20,2026-05,429,545,1.23
20,2026-06,347,395,1.17
20,2026-07,274,279,1.11
20,2026-08,205,287,1.30
21,2023-01,273,351,1.37
21,2023-02,316,429,1.30
21,2023-03,390,542,1.23
21,2023-04,168,255,1.45
21,2023-05,211,321,1.37
21,2023-06,179,214,1.30
21,2023-07,330,372,1.23
21,2023-08,337,458,1.45
21,2023-09,318,403,1.37
21,2023-10,374,544,1.30
21,2023-11,265,360,1.23
21,2023-12,406,658,1.45
21,2024-01,314,462,1.37
21,2024-02,259,366,1.30
21,2024-03,411,475,1.23
21,2024-04,376,609,1.45
21,2024-05,289,408,1.37
21,2024-06,286,345,1.30
21,2024-07,257,330,1.23
21,2024-08,238,309,1.45
21,2024-09,353,530,1.37
21,2024-10,335,429,1.30
21,2024-11,384,475,1.23
21,2024-12,500,784,1.45
21,2025-01,228,323,1.37
21,2025-02,479,600,1.30
21,2025-03,239,315,1.23
21,2025-04,377,577,1.45
21,2025-05,313,397,1.37
21,2025-06,251,296,1.30
21,2025-07,234,269,1.23
21,2025-08,308,478,1.45
21,2025-09,369,533,1.37
21,2025-10,417,583,1.30
21,2025-11,429,523,1.23
21,2025-12,385,562,1.45
21,2026-01,304,440,1.37
21,2026-02,432,526,1.30
21,2026-03,591,694,1.23
21,2026-04,582,836,1.45
21,2026-05,309,407,1.37
21,2026-06,217,264,1.30
21,2026-07,229,285,1.23
21,2026-08,363,551,1.45
22,2023-01,289,393,1.23
22,2023-02,228,297,1.17
