id_produit,id_magasin,mois,jours_rupture,unites_perdues_estimees,ca_perdu_estime_fcfa
4,5,2025-08,2,4,16025
4,5,2025-10,1,4,16105
4,5,2026-07,15,31,137379
4,6,2025-12,7,27,111058
5,1,2024-11,7,27,125086
5,1,2025-03,15,63,319800
5,1,2025-05,4,10,52675
5,1,2026-06,4,12,65261
5,2,2024-11,4,15,71478
5,2,2025-03,7,30,149240
5,2,2025-12,10,39,198066
5,3,2023-03,5,21,90647
5,3,2023-05,2,6,25726
5,3,2024-05,15,28,132838
5,3,2024-12,10,34,158039
5,4,2025-02,5,20,103566
5,5,2023-09,4,8,35592
5,5,2024-09,2,5,25313
5,5,2025-07,1,1,7254
5,6,2023-05,2,6,25726
5,6,2024-06,7,22,101813
5,6,2024-09,5,13,63283
5,6,2025-02,7,29,144992
5,6,2025-03,2,8,42640
5,6,2025-08,10,22,112467
5,6,2025-09,2,6,30404
6,1,2023-01,2,5,35102
6,1,2023-07,5,11,74171
6,1,2025-10,2,9,68629
6,2,2023-03,5,18,119778
6,2,2023-11,2,8,54772
6,2,2025-05,2,8,61111
6,2,2026-08,4,12,101426
6,3,2025-07,3,7,55292
6,4,2024-02,15,55,407348
6,4,2025-09,7,23,179091
6,4,2025-12,10,32,257481
6,5,2023-05,15,40,274956
6,5,2024-01,2,6,43561
6,6,2023-09,7,30,201227
6,6,2024-02,3,11,81470
7,1,2023-05,2,5,17843
7,1,2024-09,1,4,14829
7,1,2026-02,10,40,185257
7,2,2024-10,15,61,242566
7,2,2025-07,5,12,50528
7,2,2026-06,10,24,109365
7,3,2024-01,2,6,23905
7,3,2025-08,7,21,90226
7,3,2025-10,4,15,66466
7,3,2026-05,7,23,107070
7,4,2023-06,10,20,73358
7,4,2024-07,10,29,116715
7,4,2026-03,5,23,107843
7,5,2024-03,4,18,72822
7,5,2025-11,10,38,165783
7,5,2026-06,15,36,164048
7,6,2023-01,5,15,55695
7,6,2023-11,2,7,24709
7,6,2026-07,2,5,23649
8,1,2023-05,15,53,265920
8,1,2025-04,3,9,51146
8,2,2024-09,15,52,287336
8,2,2024-10,10,32,177831
8,3,2024-05,5,11,61141
8,3,2024-12,3,10,53210
8,4,2024-03,2,8,44255
8,4,2024-09,2,7,38311
8,4,2025-06,3,7,40848
8,4,2025-12,2,10,60012
8,4,2026-03,2,11,70419
8,5,2025-03,4,17,103946
8,5,2026-02,2,6,37554
8,6,2024-09,7,24,134090
8,6,2026-02,3,9,56330
8,6,2026-05,7,27,173603
9,1,2025-11,15,53,308621
9,1,2025-12,1,4,20849
9,2,2023-05,2,6,27744
9,2,2024-02,4,12,62216
9,2,2024-09,2,8,41322
9,2,2026-01,4,17,107762
9,3,2025-12,7,25,145944
9,4,2023-06,15,32,158624
9,5,2024-01,15,60,323176
9,5,2024-12,10,29,156112
9,6,2023-04,3,9,46532
9,6,2024-04,10,24,130153
9,6,2025-10,3,16,94318
10,1,2023-04,3,8,31382
10,1,2025-04,10,40,175921
10,2,2025-06,2,7,31462
10,3,2023-08,10,20,74085
10,3,2025-02,2,9,38554
10,4,2025-07,10,32,138655
10,4,2025-09,3,11,48487
10,5,2026-04,7,33,155322
10,6,2023-08,3,6,22225
10,6,2025-04,3,12,52776
11,1,2026-04,3,11,86025
11,2,2023-07,7,14,89118
11,2,2025-05,7,30,217192
11,3,2023-04,1,3,16384
11,3,2026-01,2,7,56091
11,4,2023-04,15,40,245756
11,4,2023-10,5,18,111252
11,4,2024-05,2,9,58593
11,4,2026-04,10,37,286751
11,5,2024-04,5,17,112820
11,5,2025-05,4,17,124109
11,5,2026-02,5,16,122747
11,5,2026-04,15,55,430126
11,6,2023-09,5,12,74188
12,1,2023-08,7,15,78319
12,1,2024-06,7,22,130397
12,1,2024-12,3,10,56097
12,1,2025-07,15,32,204722
12,2,2025-05,2,7,45370
12,3,2023-05,2,6,31670
12,3,2025-03,3,14,87145
12,3,2026-08,10,35,239222
12,4,2023-10,7,22,119248
12,5,2024-05,2,6,36444
12,6,2023-07,5,8,45856
12,6,2024-06,7,22,130397
12,6,2024-09,10,39,230355
12,6,2024-11,5,17,96978
12,6,2026-01,7,22,146625
12,6,2026-08,15,53,358832
13,1,2024-03,10,22,29010
13,1,2025-02,10,20,28622
13,1,2025-04,1,3,4878
13,2,2025-05,15,37,53080
13,3,2024-06,7,9,12205
13,4,2023-01,10,18,21672
13,4,2023-10,5,12,14275
13,4,2024-09,15,38,51454
13,4,2025-05,10,25,35387
13,5,2023-09,1,3,3346
13,5,2024-09,10,26,34303
13,5,2026-05,15,41,63203
13,6,2024-07,5,10,12619
14,1,2024-05,3,8,10230
14,1,2026-03,2,7,10544
14,2,2024-03,4,11,13628
14,2,2024-09,5,11,14426
14,3,2025-09,4,10,13354
14,4,2023-03,7,18,20486
14,4,2023-12,2,4,4880
14,4,2025-01,4,12,16018
14,4,2025-04,15,53,72841
14,4,2026-03,1,4,5272
14,5,2023-11,5,14,16026
14,5,2025-06,5,7,9066
14,5,2026-04,4,10,14644
14,6,2024-02,15,28,35548
14,6,2025-09,2,5,6677
15,1,2024-09,15,39,37375
15,1,2025-09,4,13,13011
15,2,2024-06,15,30,28855
15,2,2025-09,5,16,16264
15,3,2024-02,2,3,3306
15,3,2024-10,5,13,12434
15,3,2024-11,2,5,4464
15,3,2025-12,4,10,10531
15,4,2024-11,2,5,4464
15,5,2023-02,5,9,7688
15,5,2024-03,5,17,15961
15,5,2024-10,10,26,24869
15,5,2024-11,5,12,11160
15,5,2025-04,7,23,24026
15,5,2026-04,15,23,25429
15,6,2023-10,2,7,6365
15,6,2026-01,3,6,6969
16,1,2024-01,15,43,27492
16,1,2025-01,2,5,3114
16,1,2025-09,2,9,5928
16,2,2023-11,2,4,2262
16,2,2025-08,4,8,5359
16,3,2024-11,7,16,10154
16,3,2025-06,2,5,3188
16,4,2024-06,2,3,2113
16,4,2024-08,1,2,1099
16,4,2024-12,3,9,5770
16,5,2023-06,4,6,3757
16,6,2023-05,15,24,14222
16,6,2023-09,3,5,3130
16,6,2023-10,4,9,5245
16,6,2024-01,10,29,18328
16,6,2025-07,15,30,21014
16,6,2026-06,10,22,16298
17,1,2024-04,2,4,4083
17,1,2025-03,7,22,22191
17,2,2023-08,10,15,12930
17,2,2024-08,7,9,9012
17,2,2026-02,5,15,16382
17,2,2026-03,15,48,53416
17,3,2023-06,1,2,1599
17,3,2026-01,15,46,50609
17,4,2023-09,10,27,23759
17,4,2026-08,1,2,2110
17,5,2025-01,4,15,15734
17,6,2023-11,1,2,2043
17,6,2024-09,3,5,5139
17,6,2025-05,2,6,6274
17,6,2025-10,7,25,26593
18,1,2024-03,15,40,39150
18,2,2023-10,10,26,23804
18,2,2024-06,2,3,2498
18,2,2025-04,3,6,6036
18,2,2025-10,3,8,8273
18,3,2024-12,2,4,4011
18,3,2025-05,2,6,6732
18,3,2025-11,10,27,28308
18,3,2026-01,7,12,13358
18,4,2023-11,4,7,6402
18,4,2023-12,3,9,7725
18,4,2024-01,1,2,1693
18,4,2024-08,5,8,7955
18,4,2025-09,1,2,1938
18,5,2023-03,7,17,15596
18,5,2023-04,1,3,3088
18,6,2024-10,2,7,7155
18,6,2025-07,7,10,10743
18,6,2025-08,5,13,14220
19,1,2024-05,1,2,2315
19,2,2023-03,4,9,8369
19,2,2024-05,1,2,2315
19,2,2024-12,2,6,5706
19,2,2025-09,7,15,15743
19,2,2026-01,5,17,19134
19,3,2023-07,2,3,2386
19,3,2023-12,1,3,2611
19,5,2025-03,10,22,22896
19,5,2025-11,2,6,6706
19,6,2023-04,10,23,20564
19,6,2023-05,7,15,12925
19,6,2023-06,1,2,1406
19,6,2024-07,10,18,17415
20,1,2024-05,4,7,9473
20,1,2025-07,1,2,2291
20,1,2025-08,4,9,13240
20,1,2026-01,2,4,6324
20,2,2023-03,4,7,8943
20,2,2023-12,3,7,9246
20,2,2024-04,10,19,26661
20,2,2024-07,7,14,20206
20,3,2023-05,3,6,7639
20,3,2023-11,4,9,11647
20,3,2025-01,15,28,42557
20,3,2025-09,2,5,7777
20,4,2024-11,4,13,18187
20,4,2025-12,1,3,4734
20,5,2023-01,1,2,2273
20,5,2023-06,3,3,3828
20,5,2023-07,2,2,2947
20,5,2023-12,15,36,46228
20,5,2024-01,1,2,2813
20,5,2024-02,10,29,40890
20,5,2025-02,3,6,9420
20,5,2025-03,1,4,5843
20,5,2026-03,3,11,17530
20,6,2023-04,5,10,13041
20,6,2025-01,10,19,28371
21,2,2026-01,5,11,12825
21,2,2026-07,1,2,1855
21,3,2026-02,4,11,13119
21,4,2023-08,4,8,8081
21,4,2025-07,7,10,11403
21,5,2026-05,3,6,7123
21,6,2025-07,15,22,24435
22,1,2024-02,10,27,17485
22,1,2024-04,1,3,1760
22,2,2025-04,1,3,1936
22,4,2026-02,2,6,4754
22,5,2023-03,3,7,4194
22,5,2023-11,1,3,1801
22,5,2025-05,5,15,10116
22,6,2026-07,10,17,12378
23,1,2024-11,5,9,215286
23,1,2025-08,1,1,26360
23,1,2026-04,1,2,64606
23,2,2023-12,3,4,93728
23,2,2025-06,7,12,298775
23,2,2026-06,15,26,700304
23,3,2023-02,2,3,63730
23,3,2023-09,2,3,55327
23,3,2023-10,2,4,80974
23,3,2024-02,2,3,74075
23,3,2024-05,15,15,363593
23,3,2025-10,3,6,155701
23,3,2026-08,1,1,30906
23,4,2023-05,7,11,232247
23,4,2023-08,15,18,379194
23,4,2025-06,5,8,213410
23,4,2026-01,2,4,105971
23,4,2026-04,4,9,258422
23,5,2023-01,15,22,468396
23,5,2025-05,4,6,158002
23,5,2026-03,5,8,226806
23,6,2023-04,15,24,530884
23,6,2023-11,5,7,157490
23,6,2026-05,1,2,51792
24,1,2025-05,1,2,46806
24,1,2025-07,1,1,17406
24,2,2025-07,5,3,87028
24,4,2023-03,2,3,73055
24,4,2023-09,1,2,33660
24,4,2024-03,10,17,400879
24,4,2024-12,7,15,363438
24,5,2023-03,5,8,182637
24,5,2023-09,5,8,168298
24,5,2023-11,3,5,107599
24,5,2023-12,5,8,175222
24,5,2025-04,5,7,193185
24,5,2025-11,5,6,166686
24,5,2026-01,15,28,768952
24,6,2025-04,4,6,154548
25,1,2024-11,10,15,433440
25,1,2025-04,2,3,107240
25,2,2026-05,3,4,148406
25,3,2023-08,1,1,31258
25,3,2026-04,2,3,108017
25,4,2023-11,1,2,44124
25,4,2024-04,2,3,88743
25,4,2024-07,4,4,118188
25,4,2024-11,2,3,86688
25,5,2024-03,2,3,98392
25,5,2024-09,4,4,122337
25,5,2026-03,5,11,355457
25,6,2024-03,4,7,196784
25,6,2025-07,4,5,144420
25,6,2026-02,2,3,88663
26,1,2023-10,2,4,73033
26,1,2024-02,2,3,60366
26,1,2025-11,2,4,79901
26,2,2023-08,1,1,20734
26,2,2024-01,15,19,364561
26,2,2026-01,4,8,172512
26,3,2024-05,10,13,246545
26,3,2024-12,4,7,131658
26,3,2025-05,7,15,328995
26,3,2026-05,10,17,378597
26,4,2023-02,3,3,56625
26,4,2023-03,1,1,25222
26,5,2024-09,1,2,39914
26,5,2025-06,2,3,54525
27,2,2023-10,2,3,36971
27,2,2024-07,7,10,141766
27,2,2024-08,2,2,33267
27,2,2025-05,1,2,24660
27,3,2023-11,2,4,52639
27,3,2024-08,2,2,33267
27,3,2024-11,5,11,159478
27,3,2025-03,1,2,27283
27,3,2026-07,1,1,24580
27,3,2026-08,5,7,119187
27,4,2023-10,10,14,184855
27,4,2025-09,15,22,355396
27,4,2026-05,5,11,183360
27,5,2024-03,10,18,269895
27,5,2026-08,1,1,23837
27,6,2023-06,3,2,29670
27,6,2024-04,2,3,50057
27,6,2026-02,2,3,59698
28,1,2023-01,2,3,57483
28,1,2023-11,10,19,369136
28,2,2023-02,3,4,72869
28,2,2024-01,10,12,253168
28,2,2024-08,5,6,119578
28,2,2024-10,2,4,88420
28,2,2024-11,3,4,92722
28,2,2025-01,2,3,73995
28,2,2025-09,3,5,107119
28,3,2023-03,3,4,77172
28,3,2023-06,3,3,52630
28,3,2025-10,10,16,367920
28,3,2025-12,2,4,104023
28,4,2023-10,1,1,28569
28,4,2026-01,2,3,71196
28,4,2026-02,2,3,74978
28,5,2023-06,2,2,35087
28,5,2025-06,15,14,328990
28,5,2025-09,4,6,142825
28,6,2023-02,7,9,170027
28,6,2025-03,10,13,303532
29,1,2023-08,10,14,21202
29,1,2026-04,15,33,61247
29,2,2023-07,1,1,1160
29,5,2023-11,5,8,11418
29,5,2024-02,4,6,8939
29,5,2025-08,7,6,10725
29,5,2026-03,7,19,35003
29,5,2026-07,2,4,8445
29,6,2024-12,5,12,20183
29,6,2025-03,5,7,12508
29,6,2026-04,7,15,28582
30,1,2023-04,2,3,3596
30,1,2024-08,2,2,2830
30,1,2025-10,7,9,14422
30,2,2023-04,5,7,8990
30,2,2023-06,1,1,861
30,2,2023-07,15,19,25736
30,2,2024-06,15,16,24718
30,2,2025-11,15,26,41568
30,2,2026-02,10,10,17081
30,3,2024-11,3,5,7813
30,4,2024-05,1,1,1955
30,4,2025-09,1,2,3349
30,4,2025-10,1,1,2060
30,4,2026-05,7,16,28453
30,4,2026-07,2,3,4982
30,6,2023-01,15,23,31257
31,1,2023-07,15,8,17553
31,1,2025-06,2,4,8720
31,2,2024-06,7,9,19951
31,2,2025-02,10,13,32886
31,2,2025-08,2,3,7433
31,3,2025-10,7,12,29446
31,4,2024-10,2,5,11571
31,4,2025-09,2,3,6288
31,4,2026-06,5,3,8944
31,4,2026-08,2,3,7199
31,5,2025-04,4,7,17035
31,5,2026-03,2,3,7676
31,6,2023-03,15,24,49108
31,6,2025-10,7,12,29446
32,1,2024-06,7,6,12261
32,2,2026-01,15,31,69235
32,3,2023-07,1,1,2081
32,3,2026-04,7,12,26945
32,3,2026-05,2,2,4392
32,5,2024-03,10,16,31391
32,6,2024-05,2,3,5858
32,6,2025-03,2,4,7388
33,1,2023-01,5,7,13748
33,1,2024-05,5,7,15930
33,1,2026-04,10,22,57292
33,2,2025-10,10,20,49507
33,2,2026-07,3,4,10998
33,3,2025-02,10,14,34782
33,3,2025-10,15,30,74261
33,3,2026-01,15,26,67410
33,4,2023-03,7,14,29899
33,4,2024-01,7,12,26349
33,4,2025-06,5,10,24080
33,4,2025-08,2,3,7032
33,5,2023-09,1,2,3724
33,5,2023-10,4,5,11247
33,5,2024-06,1,1,3338
33,5,2025-08,2,3,7032
33,6,2023-11,2,3,5888
33,6,2024-11,5,8,17820
33,6,2026-07,15,21,54988
34,1,2024-04,5,7,9011
34,1,2024-09,10,11,14014
34,1,2024-11,7,11,14601
34,1,2026-08,3,6,8633
34,2,2023-01,2,2,2974
34,2,2023-02,7,10,11827
34,2,2024-11,2,3,4172
34,2,2025-01,1,2,2499
34,3,2023-09,2,3,3086
34,3,2025-04,1,2,2994
34,3,2025-10,3,6,7685
34,4,2023-02,4,6,6758
34,4,2023-04,4,9,10309
34,4,2023-05,2,3,3313
34,4,2024-12,5,6,7821
34,4,2025-08,10,16,23324
34,5,2024-01,15,25,32853
34,6,2023-03,10,18,21527
34,6,2023-04,3,6,7732
34,6,2024-02,5,6,7257
34,6,2026-01,15,18,27111
35,1,2024-05,2,3,6008
35,1,2025-06,15,20,37406
35,2,2024-03,3,6,11004
35,2,2024-07,3,4,6895
35,2,2025-02,15,22,42443
35,3,2024-10,5,8,14018
35,3,2025-03,15,26,51559
35,3,2025-12,10,19,36938
35,3,2026-05,4,8,17174
35,4,2024-01,1,1,2345
35,4,2025-01,3,3,6588
35,4,2025-10,2,5,9567
35,4,2026-02,2,5,9801
35,5,2023-07,15,12,19271
35,5,2023-12,5,8,13118
35,5,2024-06,7,12,22130
35,6,2025-01,2,2,4392
35,6,2025-11,1,1,2787
36,1,2023-10,2,2,5449
36,1,2025-09,7,14,37315
36,1,2026-08,1,1,2719
36,2,2024-10,15,29,68142
36,3,2023-12,7,7,15066
36,3,2025-04,1,3,7205
36,3,2025-05,15,25,64273
36,3,2025-08,10,15,38910
36,4,2023-10,7,9,19071
36,4,2024-03,15,22,52080
36,4,2024-09,3,4,9727
36,4,2024-11,4,7,16982
36,5,2024-04,3,5,11718
36,5,2025-08,1,1,3891
36,5,2026-02,2,3,7593
37,1,2025-04,2,3,4223
37,1,2026-04,4,9,13640
37,2,2023-12,1,1,1592
37,2,2024-11,10,11,14248
37,2,2025-08,7,11,15351
37,2,2025-10,4,6,9207
37,2,2025-12,1,2,2184
37,3,2023-03,7,16,19257
37,3,2023-06,3,5,6286
37,3,2023-07,4,5,5932
37,3,2024-05,5,10,13438
37,3,2024-07,10,13,17035
37,3,2025-12,15,23,32756
37,3,2026-03,5,10,15866
37,4,2023-02,2,2,2934
37,4,2023-11,2,3,3625
37,4,2025-12,1,2,2184
37,5,2023-02,7,8,10269
37,5,2023-11,7,10,12686
37,5,2024-07,3,4,5111
37,5,2025-04,10,15,21115
37,5,2025-10,4,6,9207
37,5,2026-06,2,2,3047
37,5,2026-07,7,7,10669
37,6,2024-09,5,12,15666
37,6,2025-08,10,15,21930
38,1,2024-02,3,4,7315
38,1,2024-05,2,2,4713
38,1,2024-06,2,2,3122
38,1,2024-07,5,6,12330
38,1,2025-12,3,4,9271
38,1,2026-02,5,7,14652
38,2,2023-08,10,8,13680
38,2,2025-03,10,22,46281
38,2,2025-12,2,3,6181
38,3,2023-03,2,2,3918
38,3,2024-04,1,2,3367
38,3,2024-11,2,4,7539
38,3,2026-03,15,22,51011
38,5,2026-07,2,2,3950
38,6,2026-07,2,2,3950
39,1,2024-08,15,20,28811
39,1,2025-04,2,3,4470
39,1,2026-08,4,7,10886
39,2,2024-01,4,5,6952
39,2,2025-02,2,3,4224
39,2,2026-08,15,25,40822
39,3,2023-01,4,5,6689
39,3,2023-10,5,6,8184
39,3,2024-11,2,4,6272
39,3,2026-03,10,29,46742
39,4,2023-01,3,4,5017
39,4,2024-08,4,5,7683
39,4,2025-04,4,6,8940
39,5,2023-04,5,5,6112
39,5,2025-07,2,2,3293
39,5,2026-06,10,11,17521
39,5,2026-08,2,3,5443
39,6,2023-01,4,5,6689
39,6,2023-09,10,11,14930
39,6,2024-02,7,8,11765
39,6,2025-10,3,6,9254
40,1,2023-03,3,9,16473
40,1,2023-04,7,9,16361
40,1,2023-09,1,1,2751
40,1,2024-05,3,4,8852
40,1,2024-11,15,27,56892
40,1,2025-10,1,2,3594
40,1,2026-03,1,2,5617
40,1,2026-07,7,10,22914
40,2,2023-03,4,12,21964
40,2,2023-05,4,6,12331
40,2,2023-07,2,2,3010
40,2,2023-09,1,1,2751
40,2,2023-10,2,3,5378
40,3,2025-12,2,4,8370
40,4,2026-06,2,2,5712
40,5,2023-07,5,4,7526
40,6,2023-02,10,12,23182
40,6,2025-01,1,1,3345
40,6,2025-05,4,6,12847
40,6,2025-12,15,28,62775
41,1,2023-07,3,3,4442
41,1,2025-04,10,16,25641
41,1,2026-03,1,3,4887
41,2,2023-12,4,5,6185
41,2,2024-11,3,5,7899
41,2,2025-03,15,30,47106
41,2,2026-01,2,3,5060
41,3,2023-07,7,8,10364
41,3,2023-08,15,15,19662
41,3,2026-02,2,2,3869
41,4,2024-01,7,7,10919
41,4,2024-05,7,10,14600
41,4,2024-08,10,10,14956
41,4,2025-03,5,10,15702
41,4,2025-04,10,16,25641
41,5,2023-02,2,3,3597
41,5,2023-09,7,10,14127
41,5,2025-01,2,3,5541
41,5,2025-07,3,3,5474
41,5,2026-05,5,10,16263
41,6,2024-05,15,21,31286
41,6,2025-03,2,4,6281
41,6,2025-06,1,1,1349
41,6,2025-08,3,4,7144
41,6,2026-03,7,20,34212
42,1,2023-03,3,6,10694
42,2,2024-10,5,10,18217
42,2,2026-02,5,9,19490
42,4,2026-06,5,6,12699
42,5,2025-01,15,22,41343
42,5,2026-02,1,2,3898
42,6,2024-09,5,6,11250
42,6,2025-01,2,3,5512
42,6,2025-05,4,7,13304
43,2,2023-06,7,6,48280
43,2,2025-06,5,3,29573
43,2,2026-04,15,27,266936
43,3,2023-04,10,12,95424
43,4,2025-09,2,2,22213
43,5,2023-03,3,5,41224
43,5,2025-05,10,15,136324
43,5,2025-06,10,6,59146
43,5,2026-02,3,6,56135
43,6,2023-10,10,25,197649
43,6,2024-10,5,9,72214
44,1,2026-07,15,18,166806
44,3,2023-03,15,25,181009
44,3,2025-03,4,8,65352
44,4,2023-06,10,8,59979
44,4,2024-03,4,6,46096
44,4,2024-07,2,2,17960
44,4,2026-03,4,9,83087
44,5,2024-01,2,4,30578
44,5,2025-01,2,2,17320
44,5,2025-05,15,21,175763
44,5,2025-08,10,15,129465
44,6,2023-01,1,1,8426
44,6,2023-04,2,3,21810
44,6,2023-10,2,4,32226
44,6,2025-08,5,8,64733
45,1,2023-09,2,3,31143
45,1,2024-03,7,10,98707
45,1,2024-08,2,3,26967
45,1,2024-11,4,7,71918
45,1,2026-06,7,9,105151
45,2,2023-11,2,4,36060
45,2,2024-09,2,4,39389
45,3,2023-04,2,3,28572
45,3,2024-02,4,5,48943
45,4,2023-03,7,9,80775
45,4,2025-07,5,5,59536
45,5,2023-07,10,7,69516
45,5,2024-02,5,6,61178
45,5,2024-03,3,4,42303
45,6,2023-04,7,11,100000
45,6,2024-04,4,8,77762
45,6,2025-07,10,11,119073
45,6,2026-06,4,5,60086
46,1,2023-10,5,5,41207
46,1,2024-05,2,2,20547
46,1,2026-01,5,5,49612
46,2,2024-12,2,3,23680
46,3,2023-05,7,8,69770
46,3,2024-11,7,12,112326
46,3,2025-01,2,3,29928
46,3,2025-05,3,5,49168
46,3,2025-08,2,2,22021
46,3,2026-07,10,10,110126
46,4,2026-03,4,16,165616
46,5,2026-02,3,6,59481
46,5,2026-08,4,5,58096
46,6,2023-12,3,4,37272
47,1,2024-08,3,3,30875
47,4,2023-02,2,2,19117
47,4,2023-04,5,6,50281
47,4,2024-12,3,5,46185
47,4,2025-02,15,23,222610
47,5,2023-01,7,10,81574
47,5,2024-01,15,19,165596
47,5,2025-01,2,3,26595
48,1,2023-11,4,10,88544
48,3,2025-03,3,7,77172
48,4,2023-10,15,29,251305
48,4,2026-06,2,3,29544
48,5,2024-04,10,20,191055
48,5,2024-09,2,3,30072
48,5,2026-07,7,6,65402
48,6,2023-01,2,3,25689
48,6,2023-02,2,1,11526
48,6,2023-03,2,3,29112
48,6,2025-03,4,10,102895
48,6,2025-07,3,3,32049
48,6,2026-02,3,5,50329
49,1,2023-09,2,3,19029
49,1,2025-09,3,4,31997
49,1,2026-04,10,14,119857
49,2,2023-09,3,4,28543
49,2,2024-09,1,1,10509
49,2,2024-12,4,4,30709
49,3,2023-02,3,3,22100
49,3,2023-07,2,2,15519
49,3,2025-08,1,1,11427
49,3,2026-05,7,10,85845
49,4,2023-01,4,6,39047
49,4,2023-05,1,1,7114
49,4,2024-06,2,4,28944
49,4,2024-12,3,3,23032
49,4,2025-03,1,1,10316
49,4,2025-04,15,31,244162
49,5,2023-04,5,7,45975
49,5,2023-12,7,11,70724
49,5,2025-10,3,7,53256
49,6,2023-10,15,25,172875
49,6,2025-05,10,19,148231
49,6,2025-10,7,16,124263
49,6,2026-04,2,3,23971
50,1,2023-06,2,2,12114
50,1,2024-10,7,12,71012
50,1,2025-07,1,2,10200
50,1,2025-12,2,5,29237
50,2,2023-01,2,2,11935
50,2,2023-11,3,5,28233
50,3,2025-04,4,7,43258
50,4,2024-06,2,3,18938
50,4,2025-05,7,11,67314
50,6,2023-07,5,4,20762
50,6,2024-07,3,3,17695
50,6,2024-10,15,26,152169
50,6,2024-12,5,12,68518
51,1,2023-06,2,2,13951
51,1,2025-01,2,2,17298
51,1,2026-01,4,7,58730
51,2,2023-02,10,19,120248
51,2,2025-02,2,3,18570
51,2,2025-07,1,1,9396
51,3,2024-02,4,5,30868
51,4,2024-08,1,1,6259
51,4,2025-02,2,3,18570
51,5,2023-03,4,5,28494
51,5,2024-07,5,4,30060
51,5,2025-09,4,12,86694
51,6,2024-11,5,9,62362
52,1,2023-02,1,2,8425
52,1,2023-04,2,3,14273
52,1,2023-08,15,18,98061
52,1,2025-09,2,4,24974
52,2,2023-04,5,7,35681
52,2,2024-08,10,15,90365
52,2,2024-12,4,9,51861
52,3,2025-06,10,12,79986
52,3,2025-09,2,4,24974
52,4,2024-01,10,20,114564
52,4,2025-02,15,20,130227
52,4,2026-02,2,5,32296
52,4,2026-04,15,31,214316
52,5,2023-04,2,3,14273
52,5,2023-10,4,7,35717
52,5,2024-05,3,3,17748
52,5,2024-06,1,1,5858
52,5,2024-08,7,11,63255
52,5,2024-09,1,1,8151
52,5,2026-02,3,7,48444
52,6,2024-06,2,2,11715
52,6,2024-11,15,26,155809
52,6,2026-03,7,16,107106
53,1,2023-10,10,20,87179
53,1,2025-01,2,4,19168
53,1,2025-05,2,3,17308
53,1,2026-03,15,37,206986
53,2,2023-03,5,6,28216
53,2,2023-09,3,4,17963
53,2,2023-12,1,2,8184
53,2,2025-04,3,5,24055
53,2,2026-04,5,10,57660
53,3,2023-06,7,8,35243
53,3,2025-07,5,6,32083
53,3,2025-08,5,5,27597
53,3,2026-05,10,13,75228
53,4,2023-08,5,7,31320
53,5,2023-09,3,4,17963
53,5,2024-03,10,18,86465
53,6,2026-02,1,2,12786
54,1,2024-11,4,7,64702
54,1,2025-11,2,3,33659
54,1,2026-06,3,4,39991
54,2,2025-07,1,1,9354
54,2,2026-02,10,17,183881
54,3,2025-04,7,14,141473
