id_produit,date_debut,date_fin,pu_achat_ht,fournisseur
8,2023-09-03,2024-01-03,1875,CIMAF Sahel
8,2024-01-04,2024-05-04,1900,CIMAF Sahel
8,2024-05-05,2024-09-05,1975,CIMAF Sahel
8,2024-09-06,2025-01-06,1900,CIMAF Sahel
8,2025-01-07,2025-05-07,2100,CIMAF Sahel
8,2025-05-08,2025-09-08,1950,CIMAF Sahel
8,2025-09-09,2026-01-09,1800,CIMAF Sahel
8,2026-01-10,2026-05-10,1900,CIMAF Sahel
8,2026-05-11,2026-08-31,2000,CIMAF Sahel
9,2023-01-01,2023-05-01,1800,CIMAF Sahel
9,2023-05-02,2023-09-02,1725,CIMAF Sahel
9,2023-09-03,2024-01-03,1775,CIMAF Sahel
9,2024-01-04,2024-05-04,2000,CIMAF Sahel
9,2024-05-05,2024-09-05,2150,CIMAF Sahel
9,2024-09-06,2025-01-06,2450,CIMAF Sahel
9,2025-01-07,2025-05-07,2400,CIMAF Sahel
9,2025-05-08,2025-09-08,2550,CIMAF Sahel
9,2025-09-09,2026-01-09,2425,CIMAF Sahel
9,2026-01-10,2026-05-10,2100,CIMAF Sahel
9,2026-05-11,2026-08-31,2150,CIMAF Sahel
10,2023-01-01,2023-05-01,1300,CIMAF Sahel
10,2023-05-02,2023-09-02,1350,CIMAF Sahel
10,2023-09-03,2024-01-03,1525,CIMAF Sahel
10,2024-01-04,2024-05-04,1575,CIMAF Sahel
10,2024-05-05,2024-09-05,1625,CIMAF Sahel
10,2024-09-06,2025-01-06,1625,CIMAF Sahel
10,2025-01-07,2025-05-07,1525,CIMAF Sahel
10,2025-05-08,2025-09-08,1525,CIMAF Sahel
10,2025-09-09,2026-01-09,1750,CIMAF Sahel
10,2026-01-10,2026-05-10,1675,CIMAF Sahel
10,2026-05-11,2026-08-31,1575,CIMAF Sahel
11,2023-01-01,2023-05-01,1750,CIMAF Sahel
11,2023-05-02,2023-09-02,1600,CIMAF Sahel
11,2023-09-03,2024-01-03,1775,CIMAF Sahel
11,2024-01-04,2024-05-04,1775,CIMAF Sahel
11,2024-05-05,2024-09-05,1925,CIMAF Sahel
11,2024-09-06,2025-01-06,1725,CIMAF Sahel
11,2025-01-07,2025-05-07,1825,CIMAF Sahel
11,2025-05-08,2025-09-08,1575,CIMAF Sahel
11,2025-09-09,2026-01-09,1750,CIMAF Sahel
11,2026-01-10,2026-05-10,1850,CIMAF Sahel
11,2026-05-11,2026-08-31,2100,CIMAF Sahel
12,2023-01-01,2023-05-01,1575,CIMAF Sahel
12,2023-05-02,2023-09-02,1400,CIMAF Sahel
12,2023-09-03,2024-01-03,1175,CIMAF Sahel
12,2024-01-04,2024-05-04,1300,CIMAF Sahel
12,2024-05-05,2024-09-05,1300,CIMAF Sahel
12,2024-09-06,2025-01-06,1400,CIMAF Sahel
12,2025-01-07,2025-05-07,1450,CIMAF Sahel
12,2025-05-08,2025-09-08,1650,CIMAF Sahel
12,2025-09-09,2026-01-09,1425,CIMAF Sahel
12,2026-01-10,2026-05-10,1475,CIMAF Sahel
12,2026-05-11,2026-08-31,1450,CIMAF Sahel
13,2023-01-01,2023-05-01,400,Matériaux Kaboré
13,2023-05-02,2023-09-02,450,Matériaux Kaboré
13,2023-09-03,2024-01-03,475,Matériaux Kaboré
13,2024-01-04,2024-05-04,525,Matériaux Kaboré
13,2024-05-05,2024-09-05,550,Matériaux Kaboré
13,2024-09-06,2025-01-06,550,Matériaux Kaboré
13,2025-01-07,2025-05-07,575,Matériaux Kaboré
13,2025-05-08,2025-09-08,625,Matériaux Kaboré
13,2025-09-09,2026-01-09,600,Matériaux Kaboré
13,2026-01-10,2026-05-10,600,Matériaux Kaboré
13,2026-05-11,2026-08-31,600,Matériaux Kaboré
14,2023-01-01,2023-05-01,325,Matériaux Kaboré
14,2023-05-02,2023-09-02,325,Matériaux Kaboré
14,2023-09-03,2024-01-03,325,Matériaux Kaboré
14,2024-01-04,2024-05-04,350,Matériaux Kaboré
14,2024-05-05,2024-09-05,350,Matériaux Kaboré
14,2024-09-06,2025-01-06,300,Matériaux Kaboré
14,2025-01-07,2025-05-07,250,Matériaux Kaboré
14,2025-05-08,2025-09-08,300,Matériaux Kaboré
14,2025-09-09,2026-01-09,300,Matériaux Kaboré
14,2026-01-10,2026-05-10,275,Matériaux Kaboré
14,2026-05-11,2026-08-31,325,Matériaux Kaboré
15,2023-01-01,2023-05-01,275,Matériaux Kaboré
15,2023-05-02,2023-09-02,275,Matériaux Kaboré
15,2023-09-03,2024-01-03,300,Matériaux Kaboré
15,2024-01-04,2024-05-04,300,Matériaux Kaboré
15,2024-05-05,2024-09-05,350,Matériaux Kaboré
15,2024-09-06,2025-01-06,325,Matériaux Kaboré
15,2025-01-07,2025-05-07,325,Matériaux Kaboré
15,2025-05-08,2025-09-08,325,Matériaux Kaboré
15,2025-09-09,2026-01-09,300,Matériaux Kaboré
15,2026-01-10,2026-05-10,275,Matériaux Kaboré
15,2026-05-11,2026-08-31,225,Matériaux Kaboré
16,2023-01-01,2023-05-01,175,Matériaux Kaboré
16,2023-05-02,2023-09-02,175,Matériaux Kaboré
16,2023-09-03,2024-01-03,175,Matériaux Kaboré
16,2024-01-04,2024-05-04,175,Matériaux Kaboré
16,2024-05-05,2024-09-05,175,Matériaux Kaboré
16,2024-09-06,2025-01-06,200,Matériaux Kaboré
16,2025-01-07,2025-05-07,200,Matériaux Kaboré
16,2025-05-08,2025-09-08,200,Matériaux Kaboré
16,2025-09-09,2026-01-09,175,Matériaux Kaboré
16,2026-01-10,2026-05-10,175,Matériaux Kaboré
16,2026-05-11,2026-08-31,150,Matériaux Kaboré
17,2023-01-01,2023-05-01,275,Matériaux Kaboré
17,2023-05-02,2023-09-02,275,Matériaux Kaboré
17,2023-09-03,2024-01-03,225,Matériaux Kaboré
17,2024-01-04,2024-05-04,200,Matériaux Kaboré
17,2024-05-05,2024-09-05,200,Matériaux Kaboré
17,2024-09-06,2025-01-06,225,Matériaux Kaboré
17,2025-01-07,2025-05-07,200,Matériaux Kaboré
17,2025-05-08,2025-09-08,200,Matériaux Kaboré
17,2025-09-09,2026-01-09,225,Matériaux Kaboré
17,2026-01-10,2026-05-10,150,Matériaux Kaboré
17,2026-05-11,2026-08-31,175,Matériaux Kaboré
18,2023-01-01,2023-05-01,350,Matériaux Kaboré
18,2023-05-02,2023-09-02,325,Matériaux Kaboré
18,2023-09-03,2024-01-03,325,Matériaux Kaboré
18,2024-01-04,2024-05-04,325,Matériaux Kaboré
18,2024-05-05,2024-09-05,325,Matériaux Kaboré
18,2024-09-06,2025-01-06,275,Matériaux Kaboré
18,2025-01-07,2025-05-07,300,Matériaux Kaboré
18,2025-05-08,2025-09-08,325,Matériaux Kaboré
18,2025-09-09,2026-01-09,325,Matériaux Kaboré
18,2026-01-10,2026-05-10,375,Matériaux Kaboré
18,2026-05-11,2026-08-31,400,Matériaux Kaboré
19,2023-01-01,2023-05-01,275,Matériaux Kaboré
19,2023-05-02,2023-09-02,275,Matériaux Kaboré
19,2023-09-03,2024-01-03,250,Matériaux Kaboré
19,2024-01-04,2024-05-04,300,Matériaux Kaboré
19,2024-05-05,2024-09-05,325,Matériaux Kaboré
19,2024-09-06,2025-01-06,350,Matériaux Kaboré
19,2025-01-07,2025-05-07,375,Matériaux Kaboré
19,2025-05-08,2025-09-08,350,Matériaux Kaboré
19,2025-09-09,2026-01-09,350,Matériaux Kaboré
19,2026-01-10,2026-05-10,350,Matériaux Kaboré
19,2026-05-11,2026-08-31,375,Matériaux Kaboré
20,2023-01-01,2023-05-01,500,Matériaux Kaboré
20,2023-05-02,2023-09-02,600,Matériaux Kaboré
20,2023-09-03,2024-01-03,575,Matériaux Kaboré
20,2024-01-04,2024-05-04,525,Matériaux Kaboré
20,2024-05-05,2024-09-05,500,Matériaux Kaboré
20,2024-09-06,2025-01-06,475,Matériaux Kaboré
20,2025-01-07,2025-05-07,500,Matériaux Kaboré
20,2025-05-08,2025-09-08,475,Matériaux Kaboré
20,2025-09-09,2026-01-09,450,Matériaux Kaboré
20,2026-01-10,2026-05-10,525,Matériaux Kaboré
20,2026-05-11,2026-08-31,525,Matériaux Kaboré
21,2023-01-01,2023-05-01,275,Matériaux Kaboré
21,2023-05-02,2023-09-02,300,Matériaux Kaboré
21,2023-09-03,2024-01-03,325,Matériaux Kaboré
21,2024-01-04,2024-05-04,300,Matériaux Kaboré
21,2024-05-05,2024-09-05,300,Matériaux Kaboré
21,2024-09-06,2025-01-06,275,Matériaux Kaboré
21,2025-01-07,2025-05-07,300,Matériaux Kaboré
21,2025-05-08,2025-09-08,325,Matériaux Kaboré
21,2025-09-09,2026-01-09,300,Matériaux Kaboré
21,2026-01-10,2026-05-10,350,Matériaux Kaboré
21,2026-05-11,2026-08-31,325,Matériaux Kaboré
22,2023-01-01,2023-05-01,200,Matériaux Kaboré
22,2023-05-02,2023-09-02,225,Matériaux Kaboré
22,2023-09-03,2024-01-03,250,Matériaux Kaboré
22,2024-01-04,2024-05-04,250,Matériaux Kaboré
22,2024-05-05,2024-09-05,225,Matériaux Kaboré
22,2024-09-06,2025-01-06,225,Matériaux Kaboré
22,2025-01-07,2025-05-07,200,Matériaux Kaboré
22,2025-05-08,2025-09-08,200,Matériaux Kaboré
22,2025-09-09,2026-01-09,200,Matériaux Kaboré
22,2026-01-10,2026-05-10,200,Matériaux Kaboré
22,2026-05-11,2026-08-31,175,Matériaux Kaboré
23,2023-01-01,2023-05-01,6100,Carrière Nakosin
23,2023-05-02,2023-09-02,5450,Carrière Nakosin
23,2023-09-03,2024-01-03,5075,Carrière Nakosin
23,2024-01-04,2024-05-04,5350,Carrière Nakosin
23,2024-05-05,2024-09-05,4000,Carrière Nakosin
23,2024-09-06,2025-01-06,4000,Carrière Nakosin
23,2025-01-07,2025-05-07,4000,Carrière Nakosin
23,2025-05-08,2025-09-08,4850,Carrière Nakosin
23,2025-09-09,2026-01-09,4550,Carrière Nakosin
23,2026-01-10,2026-05-10,4500,Carrière Nakosin
23,2026-05-11,2026-08-31,4000,Carrière Nakosin
24,2023-01-01,2023-05-01,8375,Carrière Nakosin
24,2023-05-02,2023-09-02,8425,Carrière Nakosin
24,2023-09-03,2024-01-03,9425,Carrière Nakosin
24,2024-01-04,2024-05-04,9550,Carrière Nakosin
24,2024-05-05,2024-09-05,10575,Carrière Nakosin
24,2024-09-06,2025-01-06,10975,Carrière Nakosin
24,2025-01-07,2025-05-07,11250,Carrière Nakosin
24,2025-05-08,2025-09-08,11250,Carrière Nakosin
24,2025-09-09,2026-01-09,11250,Carrière Nakosin
24,2026-01-10,2026-05-10,11250,Carrière Nakosin
24,2026-05-11,2026-08-31,11250,Carrière Nakosin
25,2023-01-01,2023-05-01,8075,Carrière Nakosin
25,2023-05-02,2023-09-02,8175,Carrière Nakosin
25,2023-09-03,2024-01-03,9850,Carrière Nakosin
25,2024-01-04,2024-05-04,10100,Carrière Nakosin
25,2024-05-05,2024-09-05,9825,Carrière Nakosin
25,2024-09-06,2025-01-06,10625,Carrière Nakosin
25,2025-01-07,2025-05-07,11675,Carrière Nakosin
25,2025-05-08,2025-09-08,9925,Carrière Nakosin
25,2025-09-09,2026-01-09,11425,Carrière Nakosin
25,2026-01-10,2026-05-10,10775,Carrière Nakosin
25,2026-05-11,2026-08-31,11100,Carrière Nakosin
26,2023-01-01,2023-05-01,6100,Carrière Nakosin
26,2023-05-02,2023-09-02,6300,Carrière Nakosin
26,2023-09-03,2024-01-03,6000,Carrière Nakosin
26,2024-01-04,2024-05-04,5375,Carrière Nakosin
26,2024-05-05,2024-09-05,5225,Carrière Nakosin
26,2024-09-06,2025-01-06,4950,Carrière Nakosin
26,2025-01-07,2025-05-07,4775,Carrière Nakosin
26,2025-05-08,2025-09-08,5200,Carrière Nakosin
26,2025-09-09,2026-01-09,5200,Carrière Nakosin
26,2026-01-10,2026-05-10,5875,Carrière Nakosin
26,2026-05-11,2026-08-31,5125,Carrière Nakosin
27,2023-01-01,2023-05-01,4175,Carrière Nakosin
27,2023-05-02,2023-09-02,3975,Carrière Nakosin
27,2023-09-03,2024-01-03,4450,Carrière Nakosin
27,2024-01-04,2024-05-04,4525,Carrière Nakosin
27,2024-05-05,2024-09-05,5125,Carrière Nakosin
27,2024-09-06,2025-01-06,5650,Carrière Nakosin
27,2025-01-07,2025-05-07,5950,Carrière Nakosin
27,2025-05-08,2025-09-08,6175,Carrière Nakosin
27,2025-09-09,2026-01-09,6125,Carrière Nakosin
27,2026-01-10,2026-05-10,6400,Carrière Nakosin
27,2026-05-11,2026-08-31,6150,Carrière Nakosin
28,2023-01-01,2023-05-01,5825,Carrière Nakosin
28,2023-05-02,2023-09-02,6025,Carrière Nakosin
28,2023-09-03,2024-01-03,4500,Carrière Nakosin
28,2024-01-04,2024-05-04,4725,Carrière Nakosin
28,2024-05-05,2024-09-05,5300,Carrière Nakosin
28,2024-09-06,2025-01-06,5025,Carrière Nakosin
28,2025-01-07,2025-05-07,5950,Carrière Nakosin
28,2025-05-08,2025-09-08,6725,Carrière Nakosin
28,2025-09-09,2026-01-09,6200,Carrière Nakosin
28,2026-01-10,2026-05-10,5500,Carrière Nakosin
28,2026-05-11,2026-08-31,6175,Carrière Nakosin
29,2023-01-01,2023-05-01,425,Sahel Quincaillerie
29,2023-05-02,2023-09-02,375,Sahel Quincaillerie
29,2023-09-03,2024-01-03,375,Sahel Quincaillerie
29,2024-01-04,2024-05-04,400,Sahel Quincaillerie
29,2024-05-05,2024-09-05,350,Sahel Quincaillerie
29,2024-09-06,2025-01-06,350,Sahel Quincaillerie
29,2025-01-07,2025-05-07,325,Sahel Quincaillerie
29,2025-05-08,2025-09-08,275,Sahel Quincaillerie
29,2025-09-09,2026-01-09,275,Sahel Quincaillerie
29,2026-01-10,2026-05-10,275,Sahel Quincaillerie
29,2026-05-11,2026-08-31,275,Sahel Quincaillerie
30,2023-01-01,2023-05-01,500,Sahel Quincaillerie
30,2023-05-02,2023-09-02,450,Sahel Quincaillerie
30,2023-09-03,2024-01-03,450,Sahel Quincaillerie
30,2024-01-04,2024-05-04,325,Sahel Quincaillerie
30,2024-05-05,2024-09-05,250,Sahel Quincaillerie
30,2024-09-06,2025-01-06,275,Sahel Quincaillerie
30,2025-01-07,2025-05-07,250,Sahel Quincaillerie
30,2025-05-08,2025-09-08,300,Sahel Quincaillerie
30,2025-09-09,2026-01-09,300,Sahel Quincaillerie
30,2026-01-10,2026-05-10,275,Sahel Quincaillerie
30,2026-05-11,2026-08-31,300,Sahel Quincaillerie
31,2023-01-01,2023-05-01,650,Sahel Quincaillerie
31,2023-05-02,2023-09-02,625,Sahel Quincaillerie
31,2023-09-03,2024-01-03,650,Sahel Quincaillerie
31,2024-01-04,2024-05-04,675,Sahel Quincaillerie
31,2024-05-05,2024-09-05,650,Sahel Quincaillerie
31,2024-09-06,2025-01-06,700,Sahel Quincaillerie
31,2025-01-07,2025-05-07,725,Sahel Quincaillerie
31,2025-05-08,2025-09-08,725,Sahel Quincaillerie
31,2025-09-09,2026-01-09,750,Sahel Quincaillerie
31,2026-01-10,2026-05-10,675,Sahel Quincaillerie
31,2026-05-11,2026-08-31,725,Sahel Quincaillerie
32,2023-01-01,2023-05-01,500,Sahel Quincaillerie
32,2023-05-02,2023-09-02,500,Sahel Quincaillerie
32,2023-09-03,2024-01-03,500,Sahel Quincaillerie
32,2024-01-04,2024-05-04,425,Sahel Quincaillerie
32,2024-05-05,2024-09-05,400,Sahel Quincaillerie
32,2024-09-06,2025-01-06,375,Sahel Quincaillerie
32,2025-01-07,2025-05-07,325,Sahel Quincaillerie
32,2025-05-08,2025-09-08,400,Sahel Quincaillerie
32,2025-09-09,2026-01-09,400,Sahel Quincaillerie
32,2026-01-10,2026-05-10,375,Sahel Quincaillerie
32,2026-05-11,2026-08-31,400,Sahel Quincaillerie
33,2023-01-01,2023-05-01,725,Sahel Quincaillerie
33,2023-05-02,2023-09-02,800,Sahel Quincaillerie
33,2023-09-03,2024-01-03,775,Sahel Quincaillerie
33,2024-01-04,2024-05-04,725,Sahel Quincaillerie
33,2024-05-05,2024-09-05,750,Sahel Quincaillerie
33,2024-09-06,2025-01-06,800,Sahel Quincaillerie
33,2025-01-07,2025-05-07,750,Sahel Quincaillerie
33,2025-05-08,2025-09-08,825,Sahel Quincaillerie
33,2025-09-09,2026-01-09,825,Sahel Quincaillerie
33,2026-01-10,2026-05-10,675,Sahel Quincaillerie
33,2026-05-11,2026-08-31,575,Sahel Quincaillerie
34,2023-01-01,2023-05-01,375,Sahel Quincaillerie
34,2023-05-02,2023-09-02,425,Sahel Quincaillerie
34,2023-09-03,2024-01-03,400,Sahel Quincaillerie
34,2024-01-04,2024-05-04,400,Sahel Quincaillerie
34,2024-05-05,2024-09-05,400,Sahel Quincaillerie
34,2024-09-06,2025-01-06,375,Sahel Quincaillerie
34,2025-01-07,2025-05-07,400,Sahel Quincaillerie
34,2025-05-08,2025-09-08,400,Sahel Quincaillerie
34,2025-09-09,2026-01-09,375,Sahel Quincaillerie
34,2026-01-10,2026-05-10,350,Sahel Quincaillerie
34,2026-05-11,2026-08-31,300,Sahel Quincaillerie
35,2023-01-01,2023-05-01,475,Sahel Quincaillerie
35,2023-05-02,2023-09-02,500,Sahel Quincaillerie
35,2023-09-03,2024-01-03,550,Sahel Quincaillerie
35,2024-01-04,2024-05-04,500,Sahel Quincaillerie
35,2024-05-05,2024-09-05,550,Sahel Quincaillerie
35,2024-09-06,2025-01-06,525,Sahel Quincaillerie
35,2025-01-07,2025-05-07,525,Sahel Quincaillerie
35,2025-05-08,2025-09-08,475,Sahel Quincaillerie
35,2025-09-09,2026-01-09,400,Sahel Quincaillerie
35,2026-01-10,2026-05-10,425,Sahel Quincaillerie
35,2026-05-11,2026-08-31,425,Sahel Quincaillerie
36,2023-01-01,2023-05-01,700,Sahel Quincaillerie
36,2023-05-02,2023-09-02,675,Sahel Quincaillerie
36,2023-09-03,2024-01-03,775,Sahel Quincaillerie
36,2024-01-04,2024-05-04,775,Sahel Quincaillerie
36,2024-05-05,2024-09-05,875,Sahel Quincaillerie
36,2024-09-06,2025-01-06,975,Sahel Quincaillerie
36,2025-01-07,2025-05-07,950,Sahel Quincaillerie
36,2025-05-08,2025-09-08,1025,Sahel Quincaillerie
36,2025-09-09,2026-01-09,1050,Sahel Quincaillerie
36,2026-01-10,2026-05-10,975,Sahel Quincaillerie
36,2026-05-11,2026-08-31,975,Sahel Quincaillerie
37,2023-01-01,2023-05-01,375,Sahel Quincaillerie
37,2023-05-02,2023-09-02,350,Sahel Quincaillerie
37,2023-09-03,2024-01-03,350,Sahel Quincaillerie
37,2024-01-04,2024-05-04,325,Sahel Quincaillerie
37,2024-05-05,2024-09-05,350,Sahel Quincaillerie
37,2024-09-06,2025-01-06,375,Sahel Quincaillerie
37,2025-01-07,2025-05-07,400,Sahel Quincaillerie
37,2025-05-08,2025-09-08,350,Sahel Quincaillerie
37,2025-09-09,2026-01-09,375,Sahel Quincaillerie
37,2026-01-10,2026-05-10,400,Sahel Quincaillerie
37,2026-05-11,2026-08-31,425,Sahel Quincaillerie
38,2023-01-01,2023-05-01,625,Sahel Quincaillerie
38,2023-05-02,2023-09-02,650,Sahel Quincaillerie
38,2023-09-03,2024-01-03,650,Sahel Quincaillerie
38,2024-01-04,2024-05-04,600,Sahel Quincaillerie
38,2024-05-05,2024-09-05,575,Sahel Quincaillerie
38,2024-09-06,2025-01-06,575,Sahel Quincaillerie
38,2025-01-07,2025-05-07,525,Sahel Quincaillerie
38,2025-05-08,2025-09-08,575,Sahel Quincaillerie
38,2025-09-09,2026-01-09,475,Sahel Quincaillerie
38,2026-01-10,2026-05-10,425,Sahel Quincaillerie
38,2026-05-11,2026-08-31,525,Sahel Quincaillerie
39,2023-01-01,2023-05-01,425,Sahel Quincaillerie
39,2023-05-02,2023-09-02,350,Sahel Quincaillerie
39,2023-09-03,2024-01-03,300,Sahel Quincaillerie
39,2024-01-04,2024-05-04,250,Sahel Quincaillerie
39,2024-05-05,2024-09-05,250,Sahel Quincaillerie
39,2024-09-06,2025-01-06,250,Sahel Quincaillerie
39,2025-01-07,2025-05-07,250,Sahel Quincaillerie
39,2025-05-08,2025-09-08,275,Sahel Quincaillerie
39,2025-09-09,2026-01-09,300,Sahel Quincaillerie
39,2026-01-10,2026-05-10,250,Sahel Quincaillerie
39,2026-05-11,2026-08-31,275,Sahel Quincaillerie
40,2023-01-01,2023-05-01,625,Sahel Quincaillerie
40,2023-05-02,2023-09-02,625,Sahel Quincaillerie
40,2023-09-03,2024-01-03,750,Sahel Quincaillerie
40,2024-01-04,2024-05-04,750,Sahel Quincaillerie
40,2024-05-05,2024-09-05,675,Sahel Quincaillerie
40,2024-09-06,2025-01-06,625,Sahel Quincaillerie
40,2025-01-07,2025-05-07,625,Sahel Quincaillerie
40,2025-05-08,2025-09-08,600,Sahel Quincaillerie
40,2025-09-09,2026-01-09,625,Sahel Quincaillerie
40,2026-01-10,2026-05-10,700,Sahel Quincaillerie
40,2026-05-11,2026-08-31,800,Sahel Quincaillerie
41,2023-01-01,2023-05-01,450,Sahel Quincaillerie
41,2023-05-02,2023-09-02,425,Sahel Quincaillerie
41,2023-09-03,2024-01-03,375,Sahel Quincaillerie
41,2024-01-04,2024-05-04,425,Sahel Quincaillerie
41,2024-05-05,2024-09-05,450,Sahel Quincaillerie
41,2024-09-06,2025-01-06,375,Sahel Quincaillerie
41,2025-01-07,2025-05-07,300,Sahel Quincaillerie
41,2025-05-08,2025-09-08,300,Sahel Quincaillerie
41,2025-09-09,2026-01-09,300,Sahel Quincaillerie
41,2026-01-10,2026-05-10,300,Sahel Quincaillerie
41,2026-05-11,2026-08-31,375,Sahel Quincaillerie
42,2023-01-01,2023-05-01,600,Sahel Quincaillerie
42,2023-05-02,2023-09-02,575,Sahel Quincaillerie
42,2023-09-03,2024-01-03,500,Sahel Quincaillerie
42,2024-01-04,2024-05-04,525,Sahel Quincaillerie
42,2024-05-05,2024-09-05,500,Sahel Quincaillerie
42,2024-09-06,2025-01-06,475,Sahel Quincaillerie
42,2025-01-07,2025-05-07,425,Sahel Quincaillerie
42,2025-05-08,2025-09-08,375,Sahel Quincaillerie
42,2025-09-09,2026-01-09,300,Sahel Quincaillerie
42,2026-01-10,2026-05-10,325,Sahel Quincaillerie
42,2026-05-11,2026-08-31,450,Sahel Quincaillerie
43,2023-01-01,2023-05-01,2900,Outil Pro SA
43,2023-05-02,2023-09-02,2825,Outil Pro SA
43,2023-09-03,2024-01-03,2625,Outil Pro SA
43,2024-01-04,2024-05-04,2175,Outil Pro SA
43,2024-05-05,2024-09-05,2075,Outil Pro SA
43,2024-09-06,2025-01-06,1975,Outil Pro SA
43,2025-01-07,2025-05-07,1975,Outil Pro SA
43,2025-05-08,2025-09-08,2325,Outil Pro SA
43,2025-09-09,2026-01-09,2325,Outil Pro SA
43,2026-01-10,2026-05-10,1950,Outil Pro SA
43,2026-05-11,2026-08-31,1825,Outil Pro SA
44,2023-01-01,2023-05-01,2175,Outil Pro SA
44,2023-05-02,2023-09-02,2200,Outil Pro SA
44,2023-09-03,2024-01-03,2025,Outil Pro SA
