date,id_produit,id_magasin,qte_theorique,qte_physique,seuil_alerte,valeur_stock_ht
2024-11-24,50,5,56,53,14,286200
2023-02-14,29,1,34,33,8,50325
2024-10-08,13,3,13,13,3,16250
2024-09-18,59,3,2,2,0,13750
2026-02-09,84,4,36,32,9,868000
2026-01-24,21,4,73,85,18,82875
2024-07-08,110,2,13,14,3,223650
2026-07-07,96,4,25,25,6,397500
2025-07-29,74,6,32,35,8,1060500
2026-06-23,2,2,13,14,3,78050
2024-10-30,138,5,7,7,1,34300
2023-12-14,92,4,32,-1,8,359700
2024-01-21,136,4,17,17,4,206550
2023-02-19,78,2,26,25,6,670000
2025-08-25,33,2,9,10,2,21250
2026-02-23,149,5,14,14,3,105350
2023-06-09,7,4,7,8,1,30000
2023-02-22,151,2,46,43,11,238650
2025-02-19,35,5,53,52,13,88400
2024-11-17,43,5,29,28,7,225400
2026-05-14,121,5,54,53,13,233200
2023-05-10,84,1,44,41,11,1112125
2024-03-02,2,3,12,11,3,61325
2023-11-16,117,6,10,10,2,35500
2023-02-03,39,2,29,26,7,34450
2023-05-14,16,2,51,54,12,32400
2026-06-30,117,1,22,20,5,71000
2025-10-31,15,5,49,48,12,43200
2026-06-29,64,6,13,15,3,43125
2023-09-30,144,4,17,15,4,99375
2023-11-30,69,6,121,113,30,307925
2025-12-25,99,2,5,5,1,40250
2024-09-26,97,1,31,31,7,447175
2025-03-19,136,6,10,10,2,121500
2023-02-10,136,3,147,150,36,1822500
2023-01-29,11,6,46,45,11,283500
2026-08-29,142,6,18,18,4,151200
2023-02-06,59,4,31,27,7,185625
2023-07-05,135,6,34,35,8,336875
2024-09-03,42,2,3,3,0,5025
2023-02-02,128,2,22,22,5,344850
2024-04-24,149,6,36,40,9,301000
2025-12-08,29,1,4,4,1,6100
2025-05-14,125,1,16,13,4,50375
2024-10-03,16,2,6,6,1,3600
2024-06-07,67,4,9,8,2,27400
2025-11-09,110,3,16,18,4,287550
2023-07-04,88,4,21,22,5,316250
2026-01-17,69,4,29,30,7,81750
2024-12-30,14,1,39,40,9,48000
2024-10-18,40,1,8,8,2,15600
2024-03-26,38,1,49,50,12,91250
2024-05-05,24,6,64,57,16,1281075
2023-07-10,131,6,4,4,1,36000
2026-02-10,43,3,20,19,5,152950
2023-10-17,56,1,7,7,1,30100
2026-03-13,65,1,12,12,3,48300
2025-02-25,102,3,5,5,1,67500
2026-04-06,60,5,42,43,10,210700
2025-10-30,131,3,13,13,3,117000
2023-06-28,49,1,23,24,5,165600
2023-07-09,130,2,15,16,3,314400
2023-08-11,3,4,19,21,4,110775
2023-10-30,132,2,51,51,12,683400
2026-07-05,45,5,47,49,11,460600
2025-02-09,147,6,74,71,18,514750
2026-01-29,8,5,6,-1,1,25750
2024-06-28,114,6,49,44,12,253000
2024-05-04,77,5,27,28,6,735700
2024-06-23,60,3,13,13,3,63700
2025-12-19,129,6,14,15,3,231750
2024-07-22,39,5,11,11,2,14575
2023-09-07,58,1,10,10,2,50750
2026-01-17,124,3,22,23,5,120175
2026-08-21,129,1,14,15,3,231750
2025-03-23,2,3,19,21,4,117075
2023-02-10,140,1,132,115,33,508875
2025-08-12,127,1,5,5,1,79875
2025-07-24,28,2,40,45,10,913500
2024-12-21,39,5,21,22,5,29150
2026-03-23,10,5,6,6,1,22650
2024-03-01,120,1,64,65,16,211250
2026-01-04,120,4,37,38,9,123500
2025-07-06,64,2,46,42,11,120750
2025-12-04,12,5,16,16,4,88000
2026-01-17,65,5,39,38,9,152950
2025-02-22,90,4,7,7,1,67200
2023-08-25,103,3,47,52,11,777400
2025-07-21,85,4,27,26,6,282100
2024-12-16,120,2,13,13,3,42250
2025-12-01,111,4,4,4,1,68900
2024-12-09,45,6,7,8,1,75200
2023-05-31,73,5,24,24,6,675000
2024-12-25,104,1,38,41,9,667275
2024-12-12,140,4,10,10,2,44250
2023-07-15,84,1,33,35,8,949375
2026-08-02,34,4,8,8,2,9800
2024-10-10,23,2,6,6,1,133650
2024-05-12,108,6,58,59,14,1110675
2025-05-01,94,2,12,11,3,83325
2023-12-06,125,3,67,62,16,240250
2026-07-11,96,2,76,79,19,1256100
2024-08-30,65,3,23,23,5,92575
2023-09-17,48,2,53,52,13,466700
2025-07-01,26,2,44,42,11,774900
2025-10-20,11,1,15,15,3,94500
2023-07-12,44,3,23,-1,5,155400
2023-09-06,101,2,33,33,8,267300
2025-06-17,126,6,2,2,0,7350
2024-11-24,116,1,27,29,6,94975
2024-05-25,38,2,30,30,7,54750
2024-10-10,118,6,25,25,6,103750
2025-03-23,19,4,23,23,5,20700
2023-05-29,33,5,27,27,6,57375
2026-01-04,39,2,16,17,4,22525
2023-08-20,151,3,37,35,9,194250
2025-10-23,54,6,25,-1,6,230750
2025-10-02,83,4,15,15,3,339000
2024-02-21,35,5,6,5,1,8500
2024-08-29,151,2,6,6,1,33300
2024-07-15,131,4,4,4,1,36000
2024-05-06,121,1,35,32,8,140800
2024-02-05,22,6,26,24,6,14400
2024-07-30,1,2,9,9,2,46800
2025-07-15,15,5,12,13,3,11700
2024-12-15,68,3,36,34,9,79900
2026-02-12,55,6,42,43,10,336475
2023-04-20,37,1,50,52,12,65000
2026-08-21,153,4,25,25,6,180625
2026-03-13,64,6,40,38,10,109250
2024-09-20,77,3,339,327,84,8591925
2024-07-02,135,1,9,9,2,86625
2025-10-03,102,5,70,70,17,945000
2023-09-15,111,4,14,17,3,292825
2024-05-10,22,2,29,28,7,16800
2026-05-13,105,1,89,93,22,1741425
2024-10-09,141,1,19,17,4,74375
2024-08-22,102,6,7,7,1,94500
2023-04-24,112,6,7,7,1,127400
2025-01-28,80,4,34,36,8,1140300
2025-12-10,75,2,7,8,1,179600
2025-07-30,1,1,6,6,1,31200
2025-08-01,26,2,75,79,18,1457550
2025-10-02,58,1,16,17,4,86275
2023-09-10,7,4,42,42,10,157500
2025-12-23,82,4,53,49,13,1706425
2024-09-10,87,4,18,18,4,166500
2025-10-24,99,5,8,8,2,64400
2024-05-18,133,1,49,50,12,413750
2026-07-21,36,3,6,6,1,13500
2023-02-15,139,4,12,11,3,88000
2024-07-04,70,2,82,81,20,303750
2024-11-01,1,5,17,17,4,88400
2024-02-19,126,2,31,34,7,124950
2024-01-15,88,3,27,26,6,373750
2024-11-04,105,2,24,23,6,430675
2023-12-10,68,1,15,16,3,37600
2023-09-23,130,1,7,6,1,117900
2024-09-12,127,4,66,66,16,1054350
2026-07-27,55,6,139,141,34,1103325
2024-09-17,86,3,13,14,3,116200
2024-05-23,12,3,54,51,13,280500
2025-03-19,38,2,68,70,17,127750
2026-06-12,120,6,45,42,11,136500
2023-03-13,134,2,207,210,51,2467500
2024-08-15,129,1,15,15,3,231750
2025-01-10,62,1,10,10,2,32750
2023-09-10,130,5,64,69,16,1355850
2023-05-31,57,6,20,18,5,114750
2023-03-18,49,4,24,-1,6,158700
2024-11-22,151,4,12,14,3,77700
2025-02-21,105,1,37,39,9,730275
2023-09-01,81,4,105,108,26,3329100
2024-07-29,103,4,9,10,2,149500
2023-08-18,66,4,37,33,9,132000
2026-01-11,123,3,8,8,2,27400
2023-10-17,93,2,7,6,1,44700
2023-06-14,113,1,9,9,2,33075
2026-05-27,132,6,32,29,8,388600
2026-03-27,118,6,19,21,4,87150
2025-09-22,7,5,6,6,1,22500
2025-01-16,54,1,36,35,9,310625
2025-09-11,141,5,9,10,2,43750
2023-05-18,127,6,10,10,2,159750
2023-04-30,105,5,40,38,10,711550
2025-03-06,87,5,15,15,3,138750
2023-02-15,134,2,17,17,4,199750
2024-06-13,57,4,42,43,10,274125
2024-04-09,19,2,14,15,3,13500
2025-10-17,149,6,8,8,2,60200
2024-09-05,73,4,8,7,2,196875
2024-07-11,76,6,12,13,3,222950
2024-06-29,15,6,8,9,2,8100
2026-08-26,87,5,22,22,5,203500
2026-05-27,110,4,31,30,7,479250
2025-06-29,29,6,17,17,4,25925
2023-11-29,127,4,4,4,1,63900
2024-05-15,40,1,20,20,5,39000
2025-12-28,134,5,73,66,18,775500
2026-04-10,8,5,30,29,7,149350
2024-08-18,139,2,53,57,13,456000
2024-06-17,146,3,11,11,2,85800
2024-08-26,26,1,79,75,19,1383750
2026-04-01,152,5,20,21,5,86100
2023-03-05,149,4,4,4,1,30100
2023-12-01,119,6,18,20,4,96500
2025-08-19,154,6,17,18,4,84150
2025-12-26,94,2,94,81,23,613575
2023-04-27,52,5,32,33,8,183975
2025-08-12,25,6,11,11,2,294800
2025-01-28,54,2,5,5,1,44375
2023-02-11,60,6,33,29,8,142100
2023-07-27,46,2,77,82,19,707250
2024-10-06,122,3,24,24,6,143400
2024-05-22,78,5,6,6,1,160800
2025-04-21,11,5,16,15,4,94500
2025-07-27,91,3,19,18,4,172800
2024-09-13,78,6,170,160,42,4288000
2025-07-09,80,5,31,30,7,950250
2024-07-27,58,5,7,8,1,40600
2026-01-12,82,1,21,22,5,766150
2023-12-13,58,1,13,13,3,65975
2025-12-28,88,4,7,7,1,100625
2023-04-05,80,5,39,42,9,1330350
2026-03-15,106,4,83,86,20,829900
2026-03-12,147,2,7,7,1,50750
2025-06-24,5,1,4,4,1,17600
2025-01-07,87,2,12,13,3,120250
2025-02-26,11,5,4,4,1,25200
2024-10-06,23,4,6,7,1,155925
2025-12-10,36,3,27,26,6,58500
2023-05-18,11,4,16,16,4,100800
2024-09-26,76,5,100,89,25,1526350
2023-12-31,54,6,32,33,8,292875
2023-06-04,4,4,89,81,22,287550
2025-04-25,100,2,105,106,26,1738400
2023-10-18,8,1,16,17,4,87550
2024-01-28,55,5,16,16,4,125200
2023-10-25,59,5,28,31,7,213125
2023-06-03,98,6,20,22,5,307450
2026-03-09,98,1,13,13,3,181675
2023-04-19,92,4,14,-1,3,152600
2024-12-28,134,4,6,6,1,70500
2025-04-29,17,1,18,17,4,15300
2023-04-28,138,5,104,99,26,485100
2026-07-01,46,4,32,31,8,267375
2023-02-06,49,2,68,66,17,455400
2023-11-08,121,2,13,14,3,61600
2026-08-09,14,1,3,3,0,3600
2023-11-07,138,4,33,34,8,166600
2023-02-15,137,3,87,102,21,461550
2023-06-11,106,6,24,25,6,241250
2024-11-20,118,4,13,13,3,53950
2025-07-14,62,5,9,9,2,29475
2025-06-17,57,6,12,13,3,82875
2026-02-06,74,6,3,3,0,90900
2025-11-17,73,6,194,203,48,5709375
2025-02-10,31,3,59,56,14,119000
2026-06-22,47,2,22,23,5,190900
2024-02-21,117,1,14,14,3,49700
2024-09-16,139,6,22,18,5,144000
2026-04-12,128,6,32,34,8,532950
2024-01-04,149,6,49,50,12,376250
2023-11-15,139,4,23,23,5,184000
2024-11-23,8,2,16,16,4,82400
2024-12-28,153,5,16,17,4,122825
2023-12-02,116,1,23,24,5,78600
2023-08-14,62,2,78,78,19,255450
2024-09-17,41,2,6,6,1,8250
2023-10-23,17,5,18,19,4,17100
2023-01-09,37,1,44,40,11,50000
2026-01-30,39,4,89,86,22,113950
2024-04-28,59,1,41,39,10,268125
2023-07-30,56,4,2,2,0,8600
2026-06-27,56,1,100,99,25,425700
2023-05-12,24,6,15,-1,3,337125
2024-02-01,92,1,19,20,4,218000
2026-07-01,129,5,11,11,2,169950
2024-01-17,27,4,163,160,40,2204000
2023-07-27,139,1,13,13,3,104000
2025-06-29,140,3,50,48,12,212400
2025-09-30,140,4,2,2,0,8850
2024-04-22,145,4,33,34,8,272850
2025-04-27,110,2,32,29,8,463275
2023-10-25,48,5,19,21,4,188475
2025-05-17,127,1,13,12,3,191700
2026-04-03,68,4,41,38,10,89300
2023-10-27,129,3,8,8,2,123600
2025-11-01,30,1,93,85,23,119000
2024-12-12,108,1,28,26,7,489450
2023-10-08,81,6,13,15,3,462375
2025-10-10,142,4,5,5,1,42000
2023-08-01,110,6,7,7,1,111825
2023-02-01,5,5,26,25,6,110000
2024-10-23,5,5,86,84,21,369600
2024-01-22,110,1,32,35,8,559125
2024-01-05,77,4,5,6,1,157650
2024-05-16,125,3,41,42,10,162750
2023-01-27,59,4,68,68,17,467500
2026-01-30,46,1,33,31,8,267375
2025-06-01,70,1,17,17,4,63750
2023-01-12,130,2,10,10,2,196500
2026-05-04,47,1,86,85,21,705500
2024-09-10,88,2,19,18,4,258750
2026-04-12,32,6,217,-1,54,383400
2024-04-12,59,3,21,21,5,144375
2025-07-18,85,5,14,16,3,173600
2024-08-05,97,3,41,38,10,548150
2026-04-01,66,6,50,48,12,192000
2024-10-01,50,2,38,37,9,199800
2026-07-23,31,3,11,11,2,23375
2023-11-11,147,1,62,58,15,420500
2023-05-01,4,6,22,20,5,71000
2026-05-04,23,6,39,42,9,935550
2025-01-15,63,5,9,7,2,21350
2025-04-28,139,4,30,31,7,248000
2024-05-12,45,1,11,10,2,94000
2026-04-17,93,4,3,3,0,22350
2025-01-01,37,5,63,66,15,82500
2024-03-19,18,2,57,55,14,50875
2024-05-15,27,6,18,18,4,247950
2025-03-09,133,3,11,10,2,82750
2023-08-25,59,2,38,37,9,254375
2024-02-07,13,3,69,70,17,87500
2024-10-27,38,6,7,7,1,12775
2025-11-24,133,1,12,12,3,99300
2024-09-10,113,5,29,30,7,110250
2023-09-28,56,2,65,69,16,296700
2024-06-09,125,3,24,25,6,96875
2024-12-04,105,5,16,17,4,318325
2023-02-13,39,4,91,-1,22,116600
2025-01-01,50,3,56,56,14,302400
2024-10-23,98,1,193,194,48,2711150
2024-06-08,110,6,50,52,12,830700
2023-06-13,73,1,22,24,5,675000
2023-07-06,28,1,62,58,15,1177400
2024-08-29,134,2,61,58,15,681500
2025-05-21,91,3,114,117,28,1123200
2024-08-15,62,2,192,199,48,651725
2025-04-09,142,1,59,57,14,478800
2026-01-31,5,5,14,13,3,57200
2023-03-15,131,1,67,69,16,621000
2023-04-06,62,1,19,17,4,55675
2023-08-19,51,5,66,67,16,427125
2025-09-13,101,2,59,58,14,469800
2025-08-01,20,5,5,5,1,6625
2026-07-26,154,6,9,9,2,42075
2026-08-28,17,1,4,4,1,3600
2024-08-24,7,2,16,14,4,52500
2024-09-10,128,6,41,42,10,658350
2024-07-28,38,1,7,7,1,12775
2023-09-08,145,2,31,34,7,272850
2023-04-07,8,4,17,16,4,82400
2025-04-28,19,2,14,15,3,13500
2025-04-11,123,2,6,6,1,20550
2025-05-18,85,5,10,9,2,97650
2024-08-05,135,1,20,18,5,173250
2024-06-22,64,6,73,70,18,201250
2024-03-29,61,1,7,7,1,20300
2024-12-20,150,5,3,3,0,13650
2024-11-17,144,2,82,73,20,483625
2023-07-08,127,5,50,47,12,750825
2025-02-23,149,6,41,41,10,308525
2025-05-14,135,4,17,17,4,163625
2024-07-13,5,4,71,74,17,325600
2024-10-20,30,1,7,7,1,9800
2025-10-12,36,3,22,22,5,49500
2023-02-10,138,2,44,42,11,205800
2024-02-12,109,3,151,142,37,1150200
2023-06-08,56,6,30,28,7,120400
2024-02-16,6,3,13,13,3,90025
2025-05-07,28,6,84,91,21,1847300
2024-05-22,71,4,85,85,21,246500
2026-08-11,38,5,30,30,7,54750
2023-03-17,105,3,16,16,4,299600
2023-11-22,37,6,25,26,6,32500
2025-07-21,37,2,60,63,15,78750
2025-04-04,29,3,291,262,72,399550
2025-09-16,88,2,22,24,5,345000
2023-09-07,76,5,9,9,2,154350
2025-11-11,103,1,77,78,19,1166100
2023-04-11,6,5,21,21,5,145425
2025-03-16,77,6,20,19,5,499225
2025-10-17,77,6,59,61,14,1602775
2023-01-30,76,5,74,77,18,1320550
2026-03-31,94,5,79,78,19,590850
2026-05-18,100,6,27,31,6,508400
2025-06-09,116,4,17,17,4,55675
2024-11-01,4,6,13,13,3,46150
2025-08-26,147,2,9,8,2,58000
2025-02-04,14,2,29,28,7,33600
2026-03-26,152,3,33,33,8,135300
2025-09-19,97,4,10,10,2,144250
2025-09-28,49,6,9,10,2,69000
2026-08-13,72,3,11,11,2,42075
2025-04-09,119,3,35,37,8,178525
2025-07-21,55,2,15,16,3,125200
2025-06-30,131,2,27,26,6,234000
2023-11-22,94,5,27,26,6,196950
2025-03-31,62,5,35,39,8,127725
2024-07-13,128,6,1,1,0,15675
2025-02-15,135,6,9,9,2,86625
2023-01-30,3,3,29,31,7,163525
2025-03-29,80,5,21,20,5,633500
2026-03-21,132,3,161,152,40,2036800
2025-11-03,141,4,28,29,7,126875
2024-12-09,125,2,35,37,8,143375
2024-07-18,99,5,126,123,31,990150
2024-09-20,58,1,28,29,7,147175
2024-07-30,69,2,17,15,4,40875
2023-05-08,53,5,21,20,5,91000
2024-04-16,69,2,20,21,5,57225
2024-09-05,53,6,152,169,38,768950
2024-03-12,88,1,37,35,9,503125
2023-08-15,57,6,117,114,29,726750
2024-08-09,133,5,11,11,2,91025
2026-08-15,88,6,34,34,8,488750
2024-06-13,12,1,14,13,3,71500
2023-04-07,94,5,22,22,5,166650
2024-07-28,91,2,75,66,18,633600
2023-10-12,68,1,147,153,36,359550
2024-10-22,52,1,146,146,36,813950
2024-06-17,129,3,38,36,9,556200
2026-08-25,126,5,160,159,40,584325
2024-03-14,20,6,34,-1,8,49025
2026-05-11,135,6,19,20,4,192500
2024-09-23,5,4,15,15,3,66000
2023-07-27,65,6,14,14,3,56350
2024-08-07,150,1,61,63,15,286650
2024-03-01,47,3,37,37,9,307100
2025-03-18,98,6,17,18,4,251550
2025-11-20,96,3,11,12,2,190800
2024-02-18,122,1,10,9,2,53775
2023-09-07,49,4,78,78,19,538200
2023-09-30,22,6,16,17,4,10200
2024-08-12,131,3,35,31,8,279000
2023-10-31,56,2,11,10,2,43000
2023-03-19,42,4,45,46,11,77050
2023-07-23,108,5,25,25,6,470625
2024-12-16,79,6,44,46,11,1324800
2026-06-19,127,2,4,4,1,63900
2025-06-12,92,1,16,17,4,185300
2025-04-05,63,4,22,23,5,70150
2024-09-22,41,3,26,26,6,35750
2023-09-06,66,6,83,79,20,316000
2023-05-04,148,1,10,9,2,65250
2024-09-12,95,1,17,18,4,189000
2025-12-04,87,5,31,28,7,259000
2023-02-02,45,1,54,-1,13,517000
2023-03-16,38,4,73,70,18,127750
2023-11-22,11,2,27,26,6,163800
2023-07-05,110,3,10,-1,2,143775
2025-12-01,87,5,25,24,6,222000
2023-04-10,154,2,19,19,4,88825
2023-11-07,137,4,6,6,1,27150
2026-02-23,78,3,25,24,6,643200
2025-05-12,63,2,20,21,5,64050
2024-11-13,25,6,47,45,11,1206000
2025-11-22,1,6,13,14,3,72800
2025-06-24,66,6,39,38,9,152000
2023-06-16,98,2,4,-1,1,55900
2024-04-28,129,6,21,22,5,339900
2023-05-16,133,6,11,12,2,99300
2023-09-06,8,2,4,4,1,20600
2023-12-23,85,3,12,11,3,119350
2023-01-08,118,3,13,12,3,49800
2025-05-03,106,1,32,33,8,318450
2023-11-23,147,3,16,17,4,123250
2026-06-25,47,3,6,6,1,49800
2023-12-29,125,3,45,48,11,186000
2026-05-27,88,1,37,36,9,517500
2025-02-19,97,6,27,26,6,375050
2025-11-05,145,2,64,64,16,513600
2024-02-07,16,4,113,120,28,72000
2023-03-18,24,3,6,5,1,112375
2024-02-12,27,6,9,9,2,123975
2026-05-14,127,6,45,44,11,702900
2025-02-17,137,4,13,14,3,63350
2026-03-10,51,2,28,29,7,184875
2025-02-22,2,3,37,42,9,234150
2026-07-17,86,4,20,20,5,166000
2024-04-14,79,3,17,14,4,403200
2026-08-24,33,1,4,4,1,8500
2023-03-31,7,5,16,16,4,60000
2025-03-26,82,6,16,16,4,557200
2024-02-10,124,3,15,15,3,78375
2024-12-10,121,5,77,71,19,312400
2023-06-27,137,4,45,40,11,181000
2025-06-04,150,4,13,13,3,59150
2025-02-14,108,2,40,42,10,790650
2025-09-29,74,5,51,50,12,1515000
2024-04-27,143,6,11,10,2,74250
2026-01-24,124,3,9,8,2,41800
2025-01-26,4,5,2,2,0,7100
2025-10-30,35,5,36,31,9,52700
2024-04-23,43,6,13,13,3,104650
2024-10-27,127,2,6,6,1,95850
2025-09-02,128,5,15,16,3,250800
2024-10-16,77,4,10,10,2,262750
2025-07-07,59,3,16,15,4,103125
2023-05-05,54,4,156,157,39,1393375
