id_magasin;annee;mois;annee_mois;ca_objectif_ttc;marge_objectif_pct
3;2025;1;2025-01;30010000;0.188
3;2025;2;2025-02;31590000;0.203
3;2025;3;2025-03;37280000;0.201
3;2025;4;2025-04;36010000;0.202
3;2025;5;2025-05;29060000;0.202
3;2025;6;2025-06;24640000;0.203
3;2025;7;2025-07;22740000;0.202
3;2025;8;2025-08;25270000;0.187
3;2025;9;2025-09;32220000;0.193
3;2025;10;2025-10;38540000;0.194
3;2025;11;2025-11;37910000;0.194
3;2025;12;2025-12;36640000;0.189
3;2026;1;2026-01;32190000;0.192
3;2026;2;2026-02;33880000;0.189
3;2026;3;2026-03;39980000;0.19
3;2026;4;2026-04;38630000;0.185
3;2026;5;2026-05;31170000;0.187
3;2026;6;2026-06;26430000;0.187
3;2026;7;2026-07;24400000;0.193
3;2026;8;2026-08;27110000;0.188
4;2023;1;2023-01;17100000;0.2
4;2023;2;2023-02;18000000;0.193
4;2023;3;2023-03;21240000;0.189
4;2023;4;2023-04;20520000;0.192
4;2023;5;2023-05;16560000;0.187
4;2023;6;2023-06;14040000;0.189
4;2023;7;2023-07;12960000;0.189
4;2023;8;2023-08;14400000;0.187
4;2023;9;2023-09;18360000;0.187
4;2023;10;2023-10;21960000;0.2
4;2023;11;2023-11;21600000;0.203
4;2023;12;2023-12;20880000;0.199
4;2024;1;2024-01;18550000;0.203
4;2024;4;2024-04;22260000;0.194
4;2024;5;2024-05;17970000;0.193
4;2024;6;2024-06;15230000;0.187
4;2024;7;2024-07;14060000;0.187
4;2024;8;2024-08;15620000;0.203
4;2024;9;2024-09;19920000;0.188
4;2024;10;2024-10;23830000;0.197
4;2024;11;2024-11;23440000;0.187
4;2024;12;2024-12;22650000;0.196
4;2025;1;2025-01;20010000;0.2
4;2025;2;2025-02;21060000;0.195
4;2025;3;2025-03;24850000;0.192
4;2025;4;2025-04;24010000;0.203
4;2025;5;2025-05;19380000;0.196
4;2025;6;2025-06;16430000;0.203
4;2025;7;2025-07;15160000;0.2
4;2025;8;2025-08;16850000;0.189
4;2025;9;2025-09;21480000;0.201
4;2025;10;2025-10;25690000;0.2
4;2025;11;2025-11;25270000;0.192
4;2025;12;2025-12;24430000;0.19
4;2026;1;2026-01;21460000;0.187
4;2026;2;2026-02;22590000;0.201
4;2026;3;2026-03;26660000;0.191
4;2026;4;2026-04;25750000;0.199
4;2026;5;2026-05;20780000;0.186
4;2026;6;2026-06;17620000;0.199
4;2026;7;2026-07;16260000;0.19
4;2026;8;2026-08;18070000;0.199
5;2023;1;2023-01;13300000;0.199
5;2023;2;2023-02;14000000;0.188
5;2023;3;2023-03;16520000;0.19
5;2023;4;2023-04;15960000;0.186
5;2023;5;2023-05;12880000;0.199
5;2023;6;2023-06;10920000;0.204
5;2023;7;2023-07;10080000;0.188
5;2023;8;2023-08;11200000;0.203
5;2023;9;2023-09;14280000;0.185
5;2023;10;2023-10;17080000;0.189
5;2023;11;2023-11;16800000;0.193
5;2023;12;2023-12;16240000;0.201
5;2024;1;2024-01;14430000;0.186
5;2024;2;2024-02;15190000;0.19
5;2024;3;2024-03;17920000;0.2
5;2024;4;2024-04;17320000;0.188
5;2024;5;2024-05;13970000;0.201
5;2024;6;2024-06;11850000;0.197
5;2024;7;2024-07;10940000;0.202
5;2024;8;2024-08;12150000;0.2
5;2024;9;2024-09;15490000;0.195
5;2024;10;2024-10;18530000;0.197
5;2024;11;2024-11;18230000;0.193
5;2024;12;2024-12;17620000;0.19
5;2025;1;2025-01;15560000;0.201
5;2025;2;2025-02;16380000;0.193
5;2025;3;2025-03;19330000;0.199
5;2025;4;2025-04;18670000;0.193
5;2025;5;2025-05;15070000;0.204
5;2025;6;2025-06;12780000;0.199
5;2025;7;2025-07;11790000;0.187
5;2025;8;2025-08;13100000;0.193
5;2025;9;2025-09;16710000;0.195
5;2025;10;2025-10;19980000;0.201
5;2025;11;2025-11;19660000;0.201
5;2025;12;2025-12;19000000;0.196
5;2026;1;2026-01;16690000;0.2
5;2026;2;2026-02;17570000;0.193
5;2026;3;2026-03;20730000;0.187
5;2026;4;2026-04;20030000;0.19
5;2026;5;2026-05;16160000;0.189
5;2026;6;2026-06;13700000;0.189
5;2026;7;2026-07;12650000;0.187
5;2026;8;2026-08;14060000;0.194
