id_note,id_eleve,matiere,note,trimestre
N000732,E0008,sciences,12.91,3
N000733,E0008,anglais,14.73,3
N000734,E0008,histoire_geographie,13.41,3
N000810,E0009,maths,16.09,1
N000811,E0009,francais,13.74,1
N000812,E0009,sciences,13.49,1
N000813,E0009,anglais,16.66,1
N000814,E0009,histoire_geographie,13.72,1
N000820,E0009,maths,14.3,2
N000821,E0009,francais,14.1,2
N000822,E0009,sciences,12.98,2
N000823,E0009,anglais,13.39,2
N000824,E0009,histoire_geographie,14.85,2
N000830,E0009,maths,12.56,3
N000831,E0009,francais,13.78,3
N000832,E0009,sciences,12.83,3
N000833,E0009,anglais,13.12,3
N000834,E0009,histoire_geographie,13.2,3
N000910,E0010,maths,9.98,1
N000911,E0010,francais,10.87,1
N000912,E0010,sciences,10.37,1
N000913,E0010,anglais,9.79,1
N000914,E0010,histoire_geographie,8.77,1
N000920,E0010,maths,9.72,2
N000921,E0010,francais,7.98,2
N000922,E0010,sciences,10.89,2
N000923,E0010,anglais,9.98,2
N000924,E0010,histoire_geographie,11.29,2
N000930,E0010,maths,10.48,3
N000931,E0010,francais,11.4,3
N000932,E0010,sciences,10.17,3
N000933,E0010,anglais,8.99,3
N000934,E0010,histoire_geographie,11.77,3
N001010,E0011,maths,4.52,1
N001011,E0011,francais,6.03,1
N001012,E0011,sciences,3.8,1
N001013,E0011,anglais,3.72,1
N001014,E0011,histoire_geographie,6.18,1
N001020,E0011,maths,4.9,2
N001021,E0011,francais,5.07,2
N001022,E0011,sciences,6.84,2
N001023,E0011,anglais,5.36,2
N001024,E0011,histoire_geographie,7.33,2
N001030,E0011,maths,5.65,3
N001031,E0011,francais,5.7,3
N001032,E0011,sciences,6.85,3
N001033,E0011,anglais,6.21,3
N001034,E0011,histoire_geographie,7.37,3
N001110,E0012,maths,5.28,1
N001111,E0012,francais,6.42,1
N001112,E0012,sciences,5.63,1
N001113,E0012,anglais,5.79,1
N001114,E0012,histoire_geographie,7.15,1
N001120,E0012,maths,7.47,2
N001121,E0012,francais,7.26,2
N001122,E0012,sciences,6.46,2
N001123,E0012,anglais,4.72,2
N001124,E0012,histoire_geographie,6.48,2
N001130,E0012,maths,6.88,3
N001131,E0012,francais,6.3,3
N001132,E0012,sciences,5.7,3
N001133,E0012,anglais,8.21,3
N001134,E0012,histoire_geographie,7.72,3
N001210,E0013,maths,8.18,1
N001211,E0013,francais,11.96,1
N001212,E0013,sciences,11.79,1
N001213,E0013,anglais,10.16,1
N001214,E0013,histoire_geographie,13.0,1
N001220,E0013,maths,9.9,2
N001221,E0013,francais,11.13,2
N001222,E0013,sciences,9.16,2
N001223,E0013,anglais,12.67,2
N001224,E0013,histoire_geographie,12.0,2
N001230,E0013,maths,10.57,3
N001231,E0013,francais,14.37,3
N001232,E0013,sciences,12.09,3
N001233,E0013,anglais,11.31,3
N001234,E0013,histoire_geographie,12.43,3
N001310,E0014,maths,10.13,1
N001311,E0014,francais,11.06,1
N001312,E0014,sciences,8.62,1
N001313,E0014,anglais,10.73,1
N001314,E0014,histoire_geographie,12.07,1
N001320,E0014,maths,11.24,2
N001321,E0014,francais,11.26,2
N001322,E0014,sciences,9.69,2
N001323,E0014,anglais,10.04,2
N001324,E0014,histoire_geographie,9.62,2
N001330,E0014,maths,8.27,3
N001331,E0014,francais,9.01,3
N001332,E0014,sciences,10.7,3
N001333,E0014,anglais,11.43,3
N001334,E0014,histoire_geographie,11.63,3
N001410,E0015,maths,6.0,1
N001411,E0015,francais,7.48,1
N001412,E0015,sciences,6.29,1
N001413,E0015,anglais,7.16,1
N001414,E0015,histoire_geographie,8.65,1
N001420,E0015,maths,5.88,2
N001421,E0015,francais,6.63,2
N001422,E0015,sciences,6.85,2
N001423,E0015,anglais,4.4,2
N001424,E0015,histoire_geographie,4.68,2
N001430,E0015,maths,5.88,3
N001431,E0015,francais,7.98,3
N001432,E0015,sciences,5.04,3
N001433,E0015,anglais,7.62,3
N001434,E0015,histoire_geographie,8.04,3
N001510,E0016,maths,8.73,1
N001511,E0016,francais,9.71,1
N001512,E0016,sciences,10.12,1
N001513,E0016,anglais,9.43,1
N001514,E0016,histoire_geographie,9.34,1
N001520,E0016,maths,8.98,2
N001521,E0016,francais,11.1,2
N001522,E0016,sciences,9.8,2
N001523,E0016,anglais,9.65,2
N001524,E0016,histoire_geographie,9.95,2
N001530,E0016,maths,8.25,3
N001531,E0016,francais,8.68,3
N001532,E0016,sciences,8.64,3
N001533,E0016,anglais,11.2,3
N001534,E0016,histoire_geographie,10.26,3
N001610,E0017,maths,7.96,1
N001611,E0017,francais,7.83,1
N001612,E0017,sciences,11.53,1
N001613,E0017,anglais,7.64,1
N001614,E0017,histoire_geographie,8.17,1
N001620,E0017,maths,8.76,2
N001621,E0017,francais,8.5,2
N001622,E0017,sciences,10.02,2
N001623,E0017,anglais,9.47,2
N001624,E0017,histoire_geographie,9.6,2
N001630,E0017,maths,8.55,3
N001631,E0017,francais,8.88,3
N001632,E0017,sciences,8.38,3
N001633,E0017,anglais,9.29,3
N001634,E0017,histoire_geographie,10.6,3
N001710,E0018,maths,10.82,1
N001711,E0018,francais,10.64,1
N001712,E0018,sciences,9.57,1
N001713,E0018,anglais,8.9,1
N001714,E0018,histoire_geographie,11.58,1
N001720,E0018,maths,8.76,2
N001721,E0018,francais,10.66,2
N001722,E0018,sciences,12.09,2
N001723,E0018,anglais,10.14,2
N001724,E0018,histoire_geographie,10.44,2
N001730,E0018,maths,9.51,3
N001731,E0018,francais,9.94,3
N001732,E0018,sciences,9.79,3
N001733,E0018,anglais,9.58,3
N001734,E0018,histoire_geographie,11.53,3
N001810,E0019,maths,6.75,1
N001811,E0019,francais,9.97,1
N001812,E0019,sciences,9.73,1
N001813,E0019,anglais,8.36,1
N001814,E0019,histoire_geographie,7.97,1
N001820,E0019,maths,7.33,2
N001821,E0019,francais,8.1,2
N001822,E0019,sciences,8.17,2
N001823,E0019,anglais,6.85,2
N001824,E0019,histoire_geographie,10.05,2
N001830,E0019,maths,8.8,3
N001831,E0019,francais,8.96,3
N001832,E0019,sciences,8.08,3
N001833,E0019,anglais,7.89,3
N001834,E0019,histoire_geographie,10.25,3
N001910,E0020,maths,7.62,1
N001911,E0020,francais,8.16,1
N001912,E0020,sciences,9.37,1
N001913,E0020,anglais,10.79,1
N001914,E0020,histoire_geographie,7.67,1
N001920,E0020,maths,6.53,2
N001921,E0020,francais,10.99,2
N001922,E0020,sciences,9.57,2
N001923,E0020,anglais,8.24,2
N001924,E0020,histoire_geographie,9.94,2
N001930,E0020,maths,6.93,3
N001931,E0020,francais,9.34,3
N001932,E0020,sciences,7.97,3
N001933,E0020,anglais,9.04,3
N001934,E0020,histoire_geographie,9.2,3
N002010,E0021,maths,6.73,1
N002011,E0021,francais,7.3,1
N002012,E0021,sciences,8.79,1
N002013,E0021,anglais,9.74,1
N002014,E0021,histoire_geographie,8.35,1
N002020,E0021,maths,6.56,2
N002021,E0021,francais,9.46,2
N002022,E0021,sciences,7.8,2
N002023,E0021,anglais,8.64,2
N002024,E0021,histoire_geographie,10.13,2
N002030,E0021,maths,6.91,3
N002031,E0021,francais,9.14,3
N002032,E0021,sciences,7.92,3
N002033,E0021,anglais,8.95,3
N002034,E0021,histoire_geographie,9.41,3
N002110,E0022,maths,7.82,1
N002111,E0022,francais,10.03,1
N002112,E0022,sciences,10.77,1
N002113,E0022,anglais,7.21,1
N002114,E0022,histoire_geographie,9.84,1
N002120,E0022,maths,10.31,2
N002121,E0022,francais,9.71,2
N002122,E0022,sciences,8.66,2
N002123,E0022,anglais,7.17,2
N002124,E0022,histoire_geographie,10.29,2
N002130,E0022,maths,7.19,3
N002131,E0022,francais,8.95,3
N002132,E0022,sciences,8.26,3
N002133,E0022,anglais,9.0,3
N002134,E0022,histoire_geographie,12.64,3
N002210,E0023,maths,9.6,1
N002211,E0023,francais,10.64,1
N002212,E0023,sciences,9.61,1
N002213,E0023,anglais,6.7,1
N002214,E0023,histoire_geographie,9.56,1
N002220,E0023,maths,9.6,2
N002221,E0023,francais,10.04,2
N002222,E0023,sciences,10.37,2
N002223,E0023,anglais,10.16,2
N002224,E0023,histoire_geographie,11.38,2
N002230,E0023,maths,8.78,3
N002231,E0023,francais,10.33,3
N002232,E0023,sciences,8.94,3
N002233,E0023,anglais,8.28,3
N002234,E0023,histoire_geographie,11.28,3
N002310,E0024,maths,8.08,1
N002311,E0024,francais,7.68,1
N002312,E0024,sciences,6.03,1
N002313,E0024,anglais,7.39,1
N002314,E0024,histoire_geographie,8.74,1
N002320,E0024,maths,6.73,2
N002321,E0024,francais,10.97,2
N002322,E0024,sciences,6.78,2
N002323,E0024,anglais,6.3,2
N002324,E0024,histoire_geographie,9.41,2
N002330,E0024,maths,9.23,3
N002331,E0024,francais,9.12,3
N002332,E0024,sciences,9.23,3
N002333,E0024,anglais,8.71,3
N002334,E0024,histoire_geographie,9.45,3
N002410,E0025,maths,6.72,1
N002411,E0025,francais,6.09,1
N002412,E0025,sciences,6.46,1
N002413,E0025,anglais,4.15,1
N002414,E0025,histoire_geographie,8.39,1
N002420,E0025,maths,5.92,2
N002421,E0025,francais,5.64,2
N002422,E0025,sciences,6.26,2
N002423,E0025,anglais,4.07,2
N002424,E0025,histoire_geographie,9.25,2
N002430,E0025,maths,6.01,3
N002431,E0025,francais,7.16,3
N002432,E0025,sciences,6.23,3
N002433,E0025,anglais,7.92,3
N002434,E0025,histoire_geographie,9.23,3
N002510,E0026,maths,8.24,1
N002511,E0026,francais,6.91,1
N002512,E0026,sciences,7.9,1
N002513,E0026,anglais,7.18,1
N002514,E0026,histoire_geographie,8.8,1
N002520,E0026,maths,6.21,2
N002521,E0026,francais,9.13,2
N002522,E0026,sciences,7.51,2
N002523,E0026,anglais,5.82,2
N002524,E0026,histoire_geographie,9.05,2
N002530,E0026,maths,7.6,3
N002531,E0026,francais,8.71,3
N002532,E0026,sciences,10.32,3
N002533,E0026,anglais,7.06,3
N002534,E0026,histoire_geographie,11.37,3
N002610,E0027,maths,5.97,1
N002611,E0027,francais,6.95,1
N002612,E0027,sciences,6.29,1
N002613,E0027,anglais,7.1,1
N002614,E0027,histoire_geographie,8.42,1
N002620,E0027,maths,7.53,2
N002621,E0027,francais,5.36,2
N002622,E0027,sciences,6.04,2
N002623,E0027,anglais,5.39,2
N002624,E0027,histoire_geographie,8.2,2
N002630,E0027,maths,6.82,3
N002631,E0027,francais,6.08,3
N002632,E0027,sciences,6.24,3
N002633,E0027,anglais,5.67,3
N002634,E0027,histoire_geographie,7.98,3
N002710,E0028,maths,6.93,1
N002711,E0028,francais,5.69,1
N002712,E0028,sciences,8.88,1
N002713,E0028,anglais,5.45,1
N002714,E0028,histoire_geographie,9.52,1
N002720,E0028,maths,7.91,2
N002721,E0028,francais,7.63,2
N002722,E0028,sciences,7.46,2
N002723,E0028,anglais,7.26,2
N002724,E0028,histoire_geographie,7.02,2
N002730,E0028,maths,5.96,3
N002731,E0028,francais,7.81,3
N002732,E0028,sciences,9.44,3
N002733,E0028,anglais,5.46,3
N002734,E0028,histoire_geographie,5.71,3
N002810,E0029,maths,8.67,1
N002811,E0029,francais,7.65,1
N002812,E0029,sciences,8.51,1
N002813,E0029,anglais,8.81,1
N002814,E0029,histoire_geographie,8.93,1
N002820,E0029,maths,10.29,2
N002821,E0029,francais,9.54,2
N002822,E0029,sciences,10.14,2
N002823,E0029,anglais,9.92,2
N002824,E0029,histoire_geographie,9.24,2
N002830,E0029,maths,7.76,3
N002831,E0029,francais,9.28,3
N002832,E0029,sciences,9.25,3
N002833,E0029,anglais,10.63,3
N002834,E0029,histoire_geographie,10.62,3
N002910,E0030,maths,6.32,1
N002911,E0030,francais,6.64,1
N002912,E0030,sciences,5.97,1
N002913,E0030,anglais,4.55,1
N002914,E0030,histoire_geographie,6.62,1
N002920,E0030,maths,7.22,2
N002921,E0030,francais,5.19,2
N002922,E0030,sciences,4.66,2
N002923,E0030,anglais,5.9,2
N002924,E0030,histoire_geographie,7.61,2
N002930,E0030,maths,3.48,3
N002931,E0030,francais,6.82,3
N002932,E0030,sciences,6.25,3
N002933,E0030,anglais,4.01,3
N002934,E0030,histoire_geographie,9.43,3
N003010,E0031,maths,11.14,1
N003011,E0031,francais,12.05,1
N003012,E0031,sciences,12.49,1
N003013,E0031,anglais,10.84,1
N003014,E0031,histoire_geographie,13.77,1
N003020,E0031,maths,10.74,2
N003021,E0031,francais,13.47,2
N003022,E0031,sciences,12.41,2
N003023,E0031,anglais,12.32,2
N003024,E0031,histoire_geographie,12.86,2
N003030,E0031,maths,13.02,3
N003031,E0031,francais,12.0,3
N003032,E0031,sciences,13.67,3
N003033,E0031,anglais,11.43,3
N003034,E0031,histoire_geographie,13.3,3
N003110,E0032,maths,9.16,1
N003111,E0032,francais,9.21,1
N003112,E0032,sciences,9.95,1
N003113,E0032,anglais,9.68,1
N003114,E0032,histoire_geographie,9.62,1
N003120,E0032,maths,9.36,2
N003121,E0032,francais,9.55,2
N003122,E0032,sciences,8.54,2
N003123,E0032,anglais,9.57,2
N003124,E0032,histoire_geographie,6.83,2
N003130,E0032,maths,9.0,3
N003131,E0032,francais,8.19,3
N003132,E0032,sciences,7.87,3
N003133,E0032,anglais,9.18,3
N003134,E0032,histoire_geographie,9.91,3
N003210,E0033,maths,7.85,1
N003211,E0033,francais,9.58,1
N003212,E0033,sciences,7.29,1
N003213,E0033,anglais,8.7,1
N003214,E0033,histoire_geographie,9.31,1
N003220,E0033,maths,7.42,2
N003221,E0033,francais,9.07,2
N003222,E0033,sciences,9.02,2
N003223,E0033,anglais,6.96,2
N003224,E0033,histoire_geographie,8.9,2
N003230,E0033,maths,9.28,3
N003231,E0033,francais,6.63,3
N003232,E0033,sciences,6.76,3
N003233,E0033,anglais,6.63,3
N003234,E0033,histoire_geographie,12.0,3
N003310,E0034,maths,8.33,1
N003311,E0034,francais,10.49,1
N003312,E0034,sciences,10.1,1
N003313,E0034,anglais,6.98,1
N003314,E0034,histoire_geographie,11.69,1
N003320,E0034,maths,8.46,2
N003321,E0034,francais,10.2,2
N003322,E0034,sciences,9.98,2
N003323,E0034,anglais,10.15,2
N003324,E0034,histoire_geographie,7.84,2
N003330,E0034,maths,9.53,3
N003331,E0034,francais,10.37,3
N003332,E0034,sciences,10.83,3
N003333,E0034,anglais,9.65,3
N003334,E0034,histoire_geographie,10.33,3
N003410,E0035,maths,6.58,1
N003411,E0035,francais,6.38,1
N003412,E0035,sciences,5.86,1
N003413,E0035,anglais,5.46,1
N003414,E0035,histoire_geographie,7.73,1
N003420,E0035,maths,6.47,2
N003421,E0035,francais,6.19,2
N003422,E0035,sciences,8.16,2
N003423,E0035,anglais,7.6,2
N003424,E0035,histoire_geographie,8.75,2
N003430,E0035,maths,8.16,3
N003431,E0035,francais,7.29,3
N003432,E0035,sciences,6.67,3
N003433,E0035,anglais,5.72,3
N003434,E0035,histoire_geographie,9.16,3
N003510,E0036,maths,8.12,1
N003511,E0036,francais,9.63,1
N003512,E0036,sciences,9.42,1
N003513,E0036,anglais,7.88,1
N003514,E0036,histoire_geographie,9.87,1
N003520,E0036,maths,7.66,2
N003521,E0036,francais,9.15,2
N003522,E0036,sciences,7.37,2
N003523,E0036,anglais,9.76,2
N003524,E0036,histoire_geographie,9.89,2
N003530,E0036,maths,8.03,3
N003531,E0036,francais,10.06,3
N003532,E0036,sciences,7.16,3
N003533,E0036,anglais,8.41,3
N003534,E0036,histoire_geographie,11.05,3
N003610,E0037,maths,12.18,1
N003611,E0037,francais,11.71,1
N003612,E0037,sciences,13.44,1
N003613,E0037,anglais,12.1,1
N003614,E0037,histoire_geographie,15.56,1
N003620,E0037,maths,9.48,2
N003621,E0037,francais,12.37,2
N003622,E0037,sciences,10.49,2
N003623,E0037,anglais,9.72,2
N003624,E0037,histoire_geographie,13.11,2
N003630,E0037,maths,13.28,3
N003631,E0037,francais,14.1,3
N003632,E0037,sciences,12.51,3
N003633,E0037,anglais,12.03,3
N003634,E0037,histoire_geographie,13.76,3
N003710,E0038,maths,8.46,1
N003711,E0038,francais,10.14,1
N003712,E0038,sciences,9.12,1
N003713,E0038,anglais,8.3,1
N003714,E0038,histoire_geographie,9.42,1
N003720,E0038,maths,9.66,2
N003721,E0038,francais,8.92,2
N003722,E0038,sciences,9.45,2
N003723,E0038,anglais,7.73,2
N003724,E0038,histoire_geographie,10.09,2
N003730,E0038,maths,11.04,3
N003731,E0038,francais,13.14,3
N003732,E0038,sciences,9.62,3
N003733,E0038,anglais,8.78,3
N003734,E0038,histoire_geographie,11.54,3
N003810,E0039,maths,11.98,1
N003811,E0039,francais,10.42,1
N003812,E0039,sciences,11.78,1
N003813,E0039,anglais,11.11,1
N003814,E0039,histoire_geographie,11.94,1
N003820,E0039,maths,13.27,2
N003821,E0039,francais,11.84,2
N003822,E0039,sciences,13.13,2
N003823,E0039,anglais,10.24,2
N003824,E0039,histoire_geographie,12.12,2
N003830,E0039,maths,11.15,3
N003831,E0039,francais,11.6,3
N003832,E0039,sciences,11.42,3
N003833,E0039,anglais,12.17,3
N003834,E0039,histoire_geographie,13.28,3
N003910,E0040,maths,13.7,1
N003911,E0040,francais,14.71,1
N003912,E0040,sciences,15.98,1
N003913,E0040,anglais,14.39,1
N003914,E0040,histoire_geographie,15.06,1
N003920,E0040,maths,13.85,2
N003921,E0040,francais,14.15,2
N003922,E0040,sciences,12.37,2
N003923,E0040,anglais,13.8,2
N003924,E0040,histoire_geographie,15.09,2
N003930,E0040,maths,13.44,3
N003931,E0040,francais,14.08,3
N003932,E0040,sciences,15.79,3
N003933,E0040,anglais,15.16,3
N003934,E0040,histoire_geographie,12.32,3
N004010,E0041,maths,7.04,1
N004011,E0041,francais,8.78,1
N004012,E0041,sciences,10.3,1
N004013,E0041,anglais,8.78,1
N004014,E0041,histoire_geographie,10.48,1
N004020,E0041,maths,10.78,2
N004021,E0041,francais,10.06,2
N004022,E0041,sciences,9.87,2
N004023,E0041,anglais,7.96,2
N004024,E0041,histoire_geographie,10.6,2
N004030,E0041,maths,7.84,3
N004031,E0041,francais,9.12,3
N004032,E0041,sciences,9.69,3
N004033,E0041,anglais,9.38,3
N004034,E0041,histoire_geographie,9.4,3
N004110,E0042,maths,10.62,1
N004111,E0042,francais,10.76,1
N004112,E0042,sciences,14.49,1
N004113,E0042,anglais,8.69,1
N004114,E0042,histoire_geographie,13.62,1
N004120,E0042,maths,12.75,2
N004121,E0042,francais,11.97,2
N004122,E0042,sciences,12.48,2
N004123,E0042,anglais,11.53,2
N004124,E0042,histoire_geographie,11.68,2
N004130,E0042,maths,11.16,3
N004131,E0042,francais,13.19,3
N004132,E0042,sciences,10.85,3
N004133,E0042,anglais,11.25,3
N004134,E0042,histoire_geographie,11.6,3
N004210,E0043,maths,8.67,1
N004211,E0043,francais,9.49,1
N004212,E0043,sciences,10.07,1
N004213,E0043,anglais,7.63,1
N004214,E0043,histoire_geographie,10.25,1
N004220,E0043,maths,9.36,2
N004221,E0043,francais,11.2,2
N004222,E0043,sciences,12.59,2
N004223,E0043,anglais,9.36,2
N004224,E0043,histoire_geographie,9.45,2
N004230,E0043,maths,11.49,3
N004231,E0043,francais,9.78,3
N004232,E0043,sciences,11.84,3
N004233,E0043,anglais,8.73,3
N004234,E0043,histoire_geographie,10.21,3
N004310,E0044,maths,11.79,1
N004311,E0044,francais,13.6,1
N004312,E0044,sciences,13.41,1
N004313,E0044,anglais,11.74,1
N004314,E0044,histoire_geographie,12.89,1
N004320,E0044,maths,11.75,2
N004321,E0044,francais,14.06,2
N004322,E0044,sciences,12.81,2
N004323,E0044,anglais,13.45,2
N004324,E0044,histoire_geographie,13.16,2
N004330,E0044,maths,13.25,3
N004331,E0044,francais,14.09,3
N004332,E0044,sciences,11.78,3
N004333,E0044,anglais,10.75,3
N004334,E0044,histoire_geographie,11.17,3
N004410,E0045,maths,9.83,1
N004411,E0045,francais,10.48,1
N004412,E0045,sciences,11.57,1
N004413,E0045,anglais,10.62,1
N004414,E0045,histoire_geographie,9.3,1
N004420,E0045,maths,9.83,2
N004421,E0045,francais,12.08,2
N004422,E0045,sciences,9.54,2
N004423,E0045,anglais,10.28,2
N004424,E0045,histoire_geographie,9.5,2
N004430,E0045,maths,10.08,3
N004431,E0045,francais,10.77,3
N004432,E0045,sciences,7.98,3
N004433,E0045,anglais,8.77,3
N004434,E0045,histoire_geographie,9.86,3
N004510,E0046,maths,12.58,1
N004511,E0046,francais,9.11,1
N004512,E0046,sciences,10.05,1
N004513,E0046,anglais,9.98,1
N004514,E0046,histoire_geographie,13.32,1
N004520,E0046,maths,9.02,2
N004521,E0046,francais,10.66,2
N004522,E0046,sciences,10.58,2
N004523,E0046,anglais,8.48,2
N004524,E0046,histoire_geographie,10.6,2
N004530,E0046,maths,10.14,3
N004531,E0046,francais,9.19,3
N004532,E0046,sciences,9.89,3
N004533,E0046,anglais,10.83,3
N004534,E0046,histoire_geographie,10.13,3
N004610,E0047,maths,14.35,1
N004611,E0047,francais,13.41,1
N004612,E0047,sciences,13.47,1
N004613,E0047,anglais,11.42,1
N004614,E0047,histoire_geographie,13.43,1
N004620,E0047,maths,11.08,2
N004621,E0047,francais,12.61,2
N004622,E0047,sciences,13.29,2
N004623,E0047,anglais,13.47,2
N004624,E0047,histoire_geographie,11.34,2
N004630,E0047,maths,13.62,3
N004631,E0047,francais,14.0,3
N004632,E0047,sciences,14.89,3
N004633,E0047,anglais,12.44,3
N004634,E0047,histoire_geographie,14.55,3
N004710,E0048,maths,4.46,1
N004711,E0048,francais,4.47,1
N004712,E0048,sciences,5.65,1
N004713,E0048,anglais,6.34,1
N004714,E0048,histoire_geographie,4.56,1
N004720,E0048,maths,7.67,2
N004721,E0048,francais,4.18,2
N004722,E0048,sciences,6.48,2
N004723,E0048,anglais,5.45,2
N004724,E0048,histoire_geographie,6.73,2
N004730,E0048,maths,5.79,3
N004731,E0048,francais,6.77,3
N004732,E0048,sciences,6.91,3
N004733,E0048,anglais,4.45,3
N004734,E0048,histoire_geographie,6.62,3
N004810,E0049,maths,11.51,1
N004811,E0049,francais,11.65,1
N004812,E0049,sciences,12.76,1
N004813,E0049,anglais,10.12,1
N004814,E0049,histoire_geographie,12.43,1
N004820,E0049,maths,11.82,2
N004821,E0049,francais,11.34,2
N004822,E0049,sciences,10.09,2
N004823,E0049,anglais,12.04,2
N004824,E0049,histoire_geographie,10.6,2
N004830,E0049,maths,12.02,3
N004831,E0049,francais,11.91,3
N004832,E0049,sciences,10.59,3
N004833,E0049,anglais,9.3,3
N004834,E0049,histoire_geographie,9.27,3
N004910,E0050,maths,7.69,1
N004911,E0050,francais,10.81,1
N004912,E0050,sciences,6.31,1
N004913,E0050,anglais,6.4,1
N004914,E0050,histoire_geographie,8.55,1
N004920,E0050,maths,6.43,2
N004921,E0050,francais,9.14,2
N004922,E0050,sciences,6.92,2
N004923,E0050,anglais,7.04,2
N004924,E0050,histoire_geographie,8.4,2
N004930,E0050,maths,7.84,3
N004931,E0050,francais,11.47,3
N004932,E0050,sciences,8.62,3
N004933,E0050,anglais,8.37,3
N004934,E0050,histoire_geographie,7.51,3
N005010,E0051,maths,12.27,1
N005011,E0051,francais,12.46,1
N005012,E0051,sciences,11.51,1
N005013,E0051,anglais,10.89,1
N005014,E0051,histoire_geographie,13.43,1
N005020,E0051,maths,9.59,2
N005021,E0051,francais,11.5,2
N005022,E0051,sciences,11.98,2
