id_absence,id_eleve,date,type,duree_jours
A000110,E0025,2025-12-11,absence,1
A000111,E0025,2026-03-23,tardif,0
A000112,E0025,2026-05-15,absence,1
A000113,E0025,2026-02-11,absence,1
A000114,E0025,2025-10-16,absence,1
A000115,E0025,2025-12-16,absence,1
A000116,E0025,2026-01-27,absence,1
A000117,E0025,2026-06-04,absence,1
A000118,E0026,2026-02-03,absence,1
A000119,E0026,2026-01-26,tardif,0
A000120,E0026,2026-01-12,absence,1
A000121,E0027,2025-10-31,absence,1
A000122,E0027,2026-04-07,absence,1
A000123,E0028,2026-05-28,absence,1
A000124,E0028,2026-04-27,absence,1
A000125,E0028,2025-12-12,absence,1
A000126,E0028,2026-06-09,absence,1
A000127,E0028,2026-06-30,absence,1
A000128,E0030,2025-11-03,absence,1
A000129,E0030,2025-10-07,absence,1
A000130,E0030,2025-10-06,absence,1
A000131,E0031,2025-09-16,tardif,0
A000132,E0031,2025-10-23,tardif,0
A000133,E0031,2026-05-07,tardif,0
A000134,E0032,2026-04-03,tardif,0
A000135,E0032,2026-04-24,absence,1
A000136,E0033,2026-05-12,absence,1
A000137,E0033,2026-04-13,tardif,0
A000138,E0033,2025-12-08,absence,1
A000139,E0034,2026-06-10,absence,1
A000140,E0034,2025-09-29,absence,1
A000141,E0034,2026-01-16,tardif,0
A000142,E0035,2025-10-02,absence,1
A000143,E0035,2026-04-02,tardif,0
A000144,E0035,2026-02-19,absence,1
A000145,E0035,2025-10-21,absence,1
A000146,E0036,2026-06-01,tardif,0
A000147,E0037,2026-02-24,tardif,0
A000148,E0037,2025-10-10,absence,1
A000149,E0039,2025-10-17,absence,1
A000150,E0040,2026-02-24,absence,1
A000151,E0041,2025-11-24,absence,1
A000152,E0041,2026-05-06,tardif,0
A000153,E0041,2026-01-12,absence,1
A000154,E0041,2026-04-01,tardif,0
A000155,E0041,2026-01-26,absence,1
A000156,E0041,2026-05-14,tardif,0
A000157,E0041,2026-05-04,tardif,0
A000158,E0041,2026-06-30,tardif,0
A000159,E0041,2025-09-23,absence,1
A000160,E0041,2026-04-08,tardif,0
A000161,E0041,2026-05-04,tardif,0
A000162,E0041,2026-06-26,absence,1
A000163,E0041,2026-03-02,absence,1
A000164,E0042,2026-02-03,absence,1
A000165,E0043,2025-11-13,absence,1
A000166,E0043,2025-10-08,absence,1
A000167,E0043,2025-11-21,tardif,0
A000168,E0043,2025-09-03,absence,1
A000169,E0043,2026-03-27,absence,1
A000170,E0043,2026-06-08,absence,1
A000171,E0043,2025-10-20,absence,1
A000172,E0044,2025-09-15,tardif,0
A000173,E0044,2025-12-24,absence,1
A000174,E0044,2025-09-02,absence,1
A000175,E0044,2026-06-26,absence,1
A000176,E0044,2026-03-13,absence,1
A000177,E0044,2026-02-12,tardif,0
A000178,E0044,2026-03-17,absence,1
A000179,E0044,2026-06-25,absence,1
A000180,E0046,2026-05-14,absence,1
A000181,E0046,2025-12-24,absence,1
A000182,E0046,2025-12-24,tardif,0
A000183,E0047,2026-03-23,tardif,0
A000184,E0047,2026-03-10,absence,1
A000185,E0047,2026-04-29,absence,1
A000186,E0048,2026-05-20,tardif,0
A000187,E0048,2025-11-18,tardif,0
A000188,E0048,2026-04-02,absence,1
A000189,E0048,2026-06-12,absence,1
A000190,E0048,2025-10-20,absence,1
A000191,E0048,2026-02-06,tardif,0
A000192,E0048,2026-03-04,absence,1
A000193,E0048,2026-02-27,absence,1
A000194,E0048,2025-12-15,absence,1
A000195,E0048,2026-02-03,absence,1
A000196,E0048,2026-02-18,absence,1
A000197,E0048,2026-02-04,absence,1
A000198,E0049,2026-04-29,absence,1
A000199,E0049,2025-12-29,absence,1
A000200,E0050,2025-09-26,absence,1
A000201,E0050,2025-12-23,tardif,0
A000202,E0050,2025-11-03,absence,1
A000203,E0050,2026-04-03,absence,1
A000204,E0050,2025-09-09,absence,1
A000205,E0050,2025-12-22,absence,1
A000206,E0050,2026-02-06,absence,1
A000207,E0051,2025-10-27,tardif,0
A000208,E0052,2026-02-03,absence,1
A000209,E0052,2025-12-16,absence,1
A000210,E0053,2025-09-30,absence,1
A000211,E0054,2025-12-05,absence,1
A000212,E0054,2026-05-27,absence,1
A000213,E0054,2025-09-01,absence,1
A000214,E0054,2026-03-11,absence,1
A000215,E0054,2026-06-09,tardif,0
A000216,E0054,2025-11-14,absence,1
A000217,E0054,2025-12-31,tardif,0
A000218,E0054,2026-06-09,absence,1
A000219,E0055,2025-09-12,absence,1
A000220,E0055,2025-09-19,tardif,0
A000221,E0056,2025-09-10,absence,1
A000222,E0056,2025-09-01,absence,1
A000223,E0057,2026-03-25,absence,1
A000224,E0057,2026-05-21,absence,1
A000225,E0057,2026-01-22,absence,1
A000226,E0057,2026-01-29,absence,1
A000227,E0057,2026-04-22,absence,1
A000228,E0058,2026-01-21,tardif,0
A000229,E0058,2025-12-19,absence,1
A000230,E0058,2026-02-27,absence,1
A000231,E0058,2026-03-30,absence,1
A000232,E0059,2026-03-10,absence,1
A000233,E0059,2025-11-04,absence,1
A000234,E0059,2026-02-27,absence,1
A000235,E0060,2026-05-21,tardif,0
A000236,E0060,2026-01-22,absence,1
A000237,E0060,2026-05-19,absence,1
A000238,E0060,2026-03-12,tardif,0
A000239,E0060,2026-03-04,absence,1
A000240,E0060,2026-03-03,tardif,0
A000241,E0060,2026-06-19,absence,1
A000242,E0061,2025-10-28,absence,1
A000243,E0061,2026-01-29,absence,1
A000244,E0061,2025-09-24,tardif,0
A000245,E0061,2026-01-16,absence,1
A000246,E0061,2026-04-13,absence,1
A000247,E0061,2026-02-05,absence,1
A000248,E0061,2026-01-22,absence,1
A000249,E0062,2026-03-26,absence,1
A000250,E0062,2025-09-29,absence,1
A000251,E0062,2026-01-06,absence,1
A000252,E0063,2025-11-18,absence,1
A000253,E0063,2026-04-17,absence,1
A000254,E0063,2025-10-30,absence,1
A000255,E0064,2026-03-10,absence,1
A000256,E0064,2025-12-18,absence,1
A000257,E0064,2025-12-18,tardif,0
A000258,E0064,2026-05-26,absence,1
A000259,E0064,2025-09-12,absence,1
A000260,E0064,2026-06-17,absence,1
A000261,E0064,2026-05-01,absence,1
A000262,E0064,2026-05-29,tardif,0
A000263,E0064,2026-01-15,absence,1
A000264,E0064,2026-04-02,absence,1
A000265,E0065,2026-04-20,tardif,0
A000266,E0065,2025-12-19,absence,1
A000267,E0065,2025-10-01,tardif,0
A000268,E0065,2025-09-11,absence,1
A000269,E0065,2025-09-30,absence,1
A000270,E0065,2025-10-01,tardif,0
A000271,E0066,2026-05-08,absence,1
A000272,E0067,2026-06-09,absence,1
A000273,E0067,2025-11-21,absence,1
A000274,E0067,2026-02-11,absence,1
A000275,E0068,2026-04-21,absence,1
A000276,E0069,2025-09-15,tardif,0
A000277,E0069,2026-06-16,absence,1
A000278,E0070,2026-05-04,absence,1
A000279,E0070,2026-01-02,absence,1
A000280,E0070,2025-10-15,absence,1
A000281,E0070,2026-02-04,absence,1
A000282,E0070,2025-09-03,absence,1
A000283,E0070,2026-02-05,absence,1
A000284,E0070,2026-01-12,absence,1
A000285,E0070,2025-12-05,absence,1
A000286,E0070,2025-12-01,absence,1
A000287,E0070,2026-06-05,absence,1
A000288,E0071,2026-04-20,tardif,0
A000289,E0072,2025-10-30,tardif,0
A000290,E0072,2025-09-04,absence,1
A000291,E0073,2025-10-03,absence,1
A000292,E0073,2026-04-23,absence,1
A000293,E0073,2025-12-19,tardif,0
A000294,E0073,2025-12-29,absence,1
A000295,E0074,2025-09-09,absence,1
A000296,E0074,2026-05-11,absence,1
A000297,E0075,2026-04-06,absence,1
A000298,E0075,2025-09-09,tardif,0
A000299,E0075,2026-04-29,absence,1
A000300,E0075,2026-04-28,tardif,0
A000301,E0075,2026-06-22,absence,1
A000302,E0076,2025-12-12,absence,1
A000303,E0076,2025-10-07,tardif,0
A000304,E0076,2026-01-12,absence,1
A000305,E0076,2026-01-05,tardif,0
A000306,E0076,2026-03-18,absence,1
A000307,E0076,2025-11-11,absence,1
A000308,E0076,2026-06-02,absence,1
A000309,E0076,2026-06-15,tardif,0
A000310,E0076,2025-10-24,absence,1
A000311,E0076,2026-01-27,absence,1
A000312,E0076,2026-02-19,tardif,0
A000313,E0077,2026-04-13,absence,1
A000314,E0077,2026-05-14,tardif,0
A000315,E0077,2025-11-17,absence,1
A000316,E0077,2025-10-03,tardif,0
A000317,E0077,2026-01-02,absence,1
A000318,E0078,2026-02-06,absence,1
A000319,E0078,2025-11-13,tardif,0
A000320,E0080,2026-02-04,tardif,0
A000321,E0080,2026-04-28,absence,1
A000322,E0080,2025-11-20,absence,1
A000323,E0081,2026-03-06,absence,1
A000324,E0081,2025-12-18,absence,1
A000325,E0082,2026-05-20,tardif,0
A000326,E0082,2026-03-25,absence,1
A000327,E0082,2025-12-01,absence,1
A000328,E0082,2026-05-04,absence,1
A000329,E0082,2026-06-09,tardif,0
A000330,E0082,2026-06-04,absence,1
A000331,E0083,2025-09-25,tardif,0
A000332,E0083,2026-01-23,absence,1
A000333,E0083,2025-12-09,absence,1
A000334,E0084,2025-11-14,tardif,0
A000335,E0084,2026-05-01,tardif,0
A000336,E0085,2026-03-02,absence,1
A000337,E0085,2025-11-12,absence,1
A000338,E0085,2026-06-30,absence,1
A000339,E0085,2026-05-12,absence,1
A000340,E0086,2026-03-20,absence,1
A000341,E0086,2026-04-28,absence,1
A000342,E0086,2026-01-21,absence,1
A000343,E0087,2025-10-06,absence,1
A000344,E0087,2025-10-30,absence,1
A000345,E0087,2025-09-10,absence,1
A000346,E0087,2026-02-06,absence,1
A000347,E0087,2026-04-09,tardif,0
A000348,E0087,2025-11-10,absence,1
A000349,E0087,2025-10-30,absence,1
A000350,E0087,2025-09-10,tardif,0
A000351,E0088,2025-11-28,absence,1
A000352,E0088,2025-11-11,absence,1
A000353,E0088,2026-04-21,absence,1
A000354,E0088,2026-01-12,tardif,0
A000355,E0089,2025-09-03,tardif,0
A000356,E0089,2026-06-05,absence,1
A000357,E0089,2026-06-23,absence,1
A000358,E0089,2026-06-16,absence,1
A000359,E0089,2026-04-28,absence,1
A000360,E0089,2026-01-23,absence,1
A000361,E0090,2025-11-03,absence,1
A000362,E0090,2026-02-02,absence,1
A000363,E0090,2026-03-10,absence,1
A000364,E0091,2025-09-30,tardif,0
A000365,E0092,2025-09-15,tardif,0
A000366,E0092,2026-01-05,absence,1
A000367,E0092,2026-02-18,absence,1
A000368,E0092,2026-01-08,absence,1
A000369,E0092,2025-12-30,absence,1
A000370,E0092,2025-12-23,tardif,0
A000371,E0092,2026-01-20,absence,1
A000372,E0092,2025-10-28,absence,1
A000373,E0092,2025-11-06,absence,1
A000374,E0092,2026-01-13,tardif,0
A000375,E0093,2025-10-10,absence,1
A000376,E0093,2026-01-13,absence,1
A000377,E0093,2026-06-25,absence,1
A000378,E0093,2026-03-19,absence,1
A000379,E0094,2025-09-25,absence,1
A000380,E0094,2026-03-09,absence,1
A000381,E0094,2025-09-30,absence,1
A000382,E0094,2026-06-30,tardif,0
A000383,E0094,2025-11-04,absence,1
A000384,E0095,2025-12-12,absence,1
A000385,E0095,2026-06-18,absence,1
A000386,E0095,2026-04-02,absence,1
A000387,E0095,2026-03-06,absence,1
A000388,E0095,2026-04-27,tardif,0
A000389,E0095,2026-05-19,absence,1
A000390,E0096,2025-10-21,absence,1
A000391,E0096,2025-09-09,absence,1
A000392,E0097,2025-11-27,absence,1
A000393,E0097,2025-10-28,tardif,0
A000394,E0098,2026-06-15,absence,1
A000395,E0098,2026-02-16,absence,1
A000396,E0099,2026-03-10,absence,1
A000397,E0099,2026-05-27,absence,1
A000398,E0099,2026-04-23,tardif,0
A000399,E0101,2025-10-17,tardif,0
A000400,E0101,2026-04-27,absence,1
A000401,E0101,2025-10-17,absence,1
A000402,E0101,2025-09-12,absence,1
A000403,E0101,2025-09-04,tardif,0
A000404,E0102,2026-02-11,absence,1
A000405,E0102,2026-01-29,absence,1
A000406,E0102,2025-11-27,tardif,0
A000407,E0102,2026-02-16,tardif,0
A000408,E0103,2025-11-24,absence,1
A000409,E0103,2026-06-23,absence,1
A000410,E0103,2025-10-31,absence,1
A000411,E0103,2026-01-06,absence,1
A000412,E0104,2025-12-03,absence,1
A000413,E0105,2026-01-05,absence,1
A000414,E0105,2026-04-16,absence,1
A000415,E0106,2026-05-05,absence,1
A000416,E0106,2025-09-08,absence,1
A000417,E0106,2025-10-30,tardif,0
A000418,E0106,2026-01-19,absence,1
A000419,E0106,2025-11-28,absence,1
A000420,E0106,2025-10-14,tardif,0
A000421,E0106,2025-10-14,absence,1
A000422,E0106,2026-04-20,tardif,0
A000423,E0106,2025-12-22,absence,1
A000424,E0107,2026-01-28,absence,1
A000425,E0107,2025-09-11,absence,1
A000426,E0107,2026-02-27,absence,1
A000427,E0107,2026-06-09,tardif,0
A000428,E0107,2026-04-08,absence,1
A000429,E0108,2026-06-24,absence,1
A000430,E0108,2026-02-04,tardif,0
A000431,E0109,2025-09-18,absence,1
A000432,E0109,2025-12-03,absence,1
A000433,E0109,2026-03-17,tardif,0
A000434,E0109,2026-02-05,absence,1
A000435,E0109,2026-06-08,absence,1
A000436,E0109,2026-06-04,absence,1
A000437,E0109,2026-01-19,absence,1
A000438,E0110,2026-01-09,absence,1
A000439,E0110,2026-01-27,absence,1
A000440,E0110,2026-06-18,absence,1
A000441,E0110,2026-06-29,absence,1
A000442,E0110,2025-11-04,tardif,0
A000443,E0111,2026-02-26,absence,1
A000444,E0111,2026-06-22,tardif,0
A000445,E0111,2026-04-16,absence,1
A000446,E0112,2026-06-12,absence,1
A000447,E0112,2026-05-27,absence,1
A000448,E0112,2025-12-29,tardif,0
A000449,E0112,2026-04-13,absence,1
A000450,E0112,2025-10-17,absence,1
A000451,E0113,2026-01-29,tardif,0
A000452,E0113,2026-06-11,absence,1
A000453,E0113,2026-04-30,absence,1
A000454,E0113,2025-12-16,absence,1
A000455,E0113,2025-10-09,absence,1
A000456,E0113,2025-11-10,absence,1
A000457,E0113,2026-05-26,absence,1
A000458,E0113,2026-01-12,absence,1
A000459,E0113,2026-04-16,absence,1
A000460,E0114,2026-04-20,absence,1
A000461,E0114,2025-12-01,absence,1
A000462,E0114,2026-01-02,tardif,0
A000463,E0114,2025-09-05,absence,1
A000464,E0114,2025-09-12,absence,1
A000465,E0114,2026-06-23,tardif,0
A000466,E0114,2025-09-16,absence,1
A000467,E0114,2025-11-06,absence,1
A000468,E0114,2025-12-19,absence,1
A000469,E0114,2026-06-02,absence,1
A000470,E0114,2026-01-19,tardif,0
A000471,E0115,2025-10-14,absence,1
A000472,E0115,2026-01-20,absence,1
A000473,E0116,2025-11-17,absence,1
A000474,E0116,2025-11-28,tardif,0
A000475,E0117,2026-03-20,absence,1
A000476,E0117,2026-01-20,absence,1
A000477,E0117,2026-01-21,absence,1
A000478,E0117,2026-04-01,absence,1
A000479,E0117,2026-01-08,absence,1
A000480,E0117,2026-04-21,absence,1
A000481,E0117,2026-05-01,absence,1
A000482,E0117,2026-03-03,absence,1
A000483,E0117,2026-03-27,absence,1
A000484,E0118,2025-11-20,absence,1
A000485,E0118,2025-12-22,absence,1
A000486,E0118,2025-12-15,tardif,0
A000487,E0118,2026-05-12,absence,1
A000488,E0119,2026-04-06,absence,1
A000489,E0119,2025-11-26,absence,1
A000490,E0119,2026-04-14,absence,1
A000491,E0119,2025-12-04,absence,1
A000492,E0119,2025-09-08,absence,1
A000493,E0119,2025-09-29,tardif,0
A000494,E0119,2025-12-18,tardif,0
A000495,E0119,2025-12-10,absence,1
A000496,E0119,2025-12-30,absence,1
A000497,E0119,2026-02-16,absence,1
A000498,E0120,2026-03-13,absence,1
A000499,E0120,2026-03-10,absence,1
A000500,E0120,2025-11-25,absence,1
A000501,E0120,2026-05-05,absence,1
A000502,E0121,2026-05-11,absence,1
A000503,E0121,2025-12-02,tardif,0
A000504,E0121,2026-02-23,absence,1
A000505,E0121,2025-09-15,absence,1
A000506,E0121,2025-10-14,absence,1
A000507,E0121,2026-01-14,absence,1
A000508,E0121,2025-10-30,absence,1
A000509,E0121,2026-03-30,absence,1
A000510,E0122,2025-12-12,absence,1
A000511,E0123,2025-12-31,absence,1
A000512,E0123,2026-02-26,absence,1
A000513,E0123,2025-09-16,absence,1
A000514,E0123,2026-02-27,absence,1
A000515,E0123,2026-05-08,absence,1
A000516,E0123,2026-06-19,absence,1
A000517,E0123,2026-02-13,tardif,0
A000518,E0124,2025-09-29,absence,1
A000519,E0124,2026-04-14,absence,1
A000520,E0124,2026-04-24,absence,1
A000521,E0124,2026-04-10,absence,1
A000522,E0124,2026-04-21,absence,1
A000523,E0124,2026-05-13,absence,1
A000524,E0124,2026-01-22,tardif,0
A000525,E0124,2026-04-13,absence,1
A000526,E0124,2026-04-27,absence,1
A000527,E0125,2026-02-09,absence,1
A000528,E0125,2025-12-18,absence,1
A000529,E0125,2026-01-07,absence,1
A000530,E0125,2026-01-15,absence,1
A000531,E0126,2026-06-16,absence,1
A000532,E0126,2026-03-17,absence,1
A000533,E0126,2025-09-15,absence,1
A000534,E0126,2026-06-18,tardif,0
A000535,E0127,2025-09-24,tardif,0
A000536,E0127,2026-02-17,absence,1
A000537,E0127,2025-10-28,absence,1
A000538,E0127,2025-11-24,absence,1
A000539,E0127,2025-09-09,absence,1
A000540,E0127,2025-09-12,absence,1
A000541,E0127,2026-06-19,tardif,0
A000542,E0127,2025-10-27,tardif,0
A000543,E0128,2025-12-24,absence,1
A000544,E0128,2026-04-15,tardif,0
A000545,E0128,2025-11-03,absence,1
A000546,E0128,2025-12-01,absence,1
A000547,E0128,2025-11-04,absence,1
A000548,E0128,2026-03-11,absence,1
A000549,E0128,2025-10-01,tardif,0
A000550,E0129,2026-02-02,absence,1
A000551,E0129,2025-12-16,absence,1
A000552,E0129,2026-06-01,absence,1
A000553,E0129,2026-02-25,tardif,0
A000554,E0129,2025-09-12,absence,1
A000555,E0129,2026-06-10,absence,1
A000556,E0129,2026-02-24,absence,1
A000557,E0129,2025-09-24,absence,1
A000558,E0129,2025-12-09,absence,1
A000559,E0129,2026-01-02,absence,1
A000560,E0130,2026-04-16,absence,1
A000561,E0130,2025-09-03,tardif,0
A000562,E0130,2026-05-22,absence,1
A000563,E0130,2026-02-20,absence,1
A000564,E0130,2026-01-02,absence,1
A000565,E0131,2026-01-14,absence,1
A000566,E0131,2025-12-23,absence,1
A000567,E0131,2025-10-23,absence,1
A000568,E0131,2026-01-28,tardif,0
A000569,E0131,2026-02-17,absence,1
A000570,E0132,2025-09-26,absence,1
A000571,E0132,2025-12-05,absence,1
A000572,E0132,2026-01-19,absence,1
A000573,E0133,2026-06-23,absence,1
A000574,E0133,2026-03-23,absence,1
A000575,E0134,2025-09-05,absence,1
A000576,E0134,2026-04-10,absence,1
A000577,E0134,2025-10-03,absence,1
A000578,E0134,2025-12-12,absence,1
A000579,E0134,2026-03-12,absence,1
A000580,E0134,2026-06-16,absence,1
A000581,E0134,2026-03-06,absence,1
A000582,E0134,2026-02-12,absence,1
A000583,E0134,2026-06-22,absence,1
A000584,E0135,2025-11-24,absence,1
A000585,E0135,2026-02-16,absence,1
A000586,E0135,2026-01-19,absence,1
A000587,E0135,2026-02-05,absence,1
A000588,E0135,2026-01-02,absence,1
A000589,E0135,2025-10-16,absence,1
A000590,E0135,2026-01-12,absence,1
A000591,E0136,2025-09-22,absence,1
A000592,E0136,2025-10-10,tardif,0
A000593,E0136,2025-10-17,tardif,0
A000594,E0136,2025-10-15,absence,1
A000595,E0137,2026-02-26,tardif,0
A000596,E0137,2025-11-05,absence,1
A000597,E0137,2026-03-24,absence,1
A000598,E0137,2026-05-20,absence,1
A000599,E0137,2026-04-30,tardif,0
A000600,E0137,2025-09-10,absence,1
A000601,E0137,2026-04-07,absence,1
A000602,E0137,2025-10-22,absence,1
A000603,E0137,2025-10-23,absence,1
A000604,E0137,2026-06-02,tardif,0
A000605,E0138,2025-10-02,absence,1
A000606,E0138,2026-03-26,absence,1
A000607,E0138,2026-06-01,absence,1
A000608,E0139,2026-05-12,tardif,0
A000609,E0139,2025-11-26,tardif,0
A000610,E0139,2026-02-12,absence,1
A000611,E0139,2026-02-20,absence,1
A000612,E0139,2026-06-26,tardif,0
A000613,E0139,2026-02-24,absence,1
A000614,E0139,2026-03-11,absence,1
A000615,E0139,2026-05-25,absence,1
A000616,E0140,2026-04-02,absence,1
A000617,E0140,2025-12-03,absence,1
A000618,E0140,2025-12-16,tardif,0
A000619,E0140,2026-02-26,absence,1
A000620,E0140,2026-06-24,absence,1
A000621,E0140,2026-04-27,absence,1
A000622,E0140,2025-09-30,absence,1
A000623,E0140,2026-02-23,absence,1
A000624,E0140,2025-12-23,absence,1
A000625,E0140,2026-01-12,absence,1
A000626,E0141,2026-03-02,absence,1
A000627,E0141,2026-01-13,absence,1
A000628,E0141,2025-10-10,absence,1
A000629,E0141,2025-09-10,tardif,0
A000630,E0142,2025-11-05,absence,1
A000631,E0143,2026-03-25,absence,1
A000632,E0143,2025-09-29,absence,1
A000633,E0143,2026-06-19,absence,1
A000634,E0143,2026-01-20,absence,1
A000635,E0143,2025-12-24,absence,1
A000636,E0143,2025-10-14,absence,1
A000637,E0143,2025-10-06,absence,1
A000638,E0143,2026-06-17,tardif,0
A000639,E0143,2025-12-17,absence,1
A000640,E0143,2026-05-26,absence,1
A000641,E0144,2025-09-30,absence,1
A000642,E0144,2025-11-14,absence,1
A000643,E0144,2026-03-27,absence,1
A000644,E0144,2026-04-29,tardif,0
A000645,E0144,2025-11-13,absence,1
A000646,E0144,2025-09-10,absence,1
A000647,E0144,2026-01-20,tardif,0
A000648,E0144,2025-10-22,absence,1
A000649,E0144,2025-10-17,tardif,0
A000650,E0144,2026-06-08,absence,1
A000651,E0145,2025-09-10,tardif,0
A000652,E0146,2025-12-17,absence,1
A000653,E0146,2026-02-24,absence,1
A000654,E0146,2026-02-17,absence,1
A000655,E0146,2026-05-21,absence,1
A000656,E0146,2026-05-28,absence,1
A000657,E0146,2025-11-13,tardif,0
A000658,E0147,2025-10-29,tardif,0
A000659,E0147,2026-02-04,absence,1
A000660,E0147,2026-06-24,absence,1
A000661,E0147,2026-02-06,absence,1
A000662,E0147,2026-01-28,tardif,0
A000663,E0148,2026-06-04,tardif,0
A000664,E0148,2025-09-25,tardif,0
A000665,E0148,2025-12-01,absence,1
A000666,E0148,2025-11-21,absence,1
A000667,E0148,2025-11-05,absence,1
A000668,E0148,2026-04-02,absence,1
A000669,E0148,2026-03-10,absence,1
A000670,E0149,2026-04-14,absence,1
A000671,E0149,2026-04-03,absence,1
A000672,E0149,2026-04-09,tardif,0
A000673,E0150,2026-06-03,absence,1
A000674,E0150,2026-04-06,absence,1
A000675,E0150,2025-12-18,absence,1
A000676,E0151,2025-09-12,absence,1
A000677,E0151,2025-10-28,tardif,0
A000678,E0151,2026-05-14,absence,1
A000679,E0151,2026-04-17,absence,1
A000680,E0151,2026-03-30,absence,1
A000681,E0151,2026-06-02,tardif,0
A000682,E0151,2026-05-05,absence,1
A000683,E0151,2025-10-03,absence,1
A000684,E0151,2025-10-27,absence,1
A000685,E0151,2025-10-27,absence,1
A000686,E0151,2025-12-05,tardif,0
A000687,E0151,2025-09-18,absence,1
A000688,E0152,2026-02-18,tardif,0
A000689,E0152,2025-11-14,tardif,0
