id_eleve,sexe,classe
E0189,M,4e
E0190,F,4e
E0191,F,4e
E0192,F,4e
E0193,M,4e
E0194,M,4e
E0195,F,4e
E0196,M,4e
E0197,M,4e
E0198,M,4e
E0199,M,4e
E0200,M,4e
E0201,M,4e
E0202,F,4e
E0203,F,4e
E0204,F,4e
E0205,M,4e
E0206,M,4e
E0207,F,4e
E0208,M,4e
E0209,F,4e
E0210,F,4e
E0211,F,4e
E0212,M,4e
E0213,F,4e
E0214,F,4e
E0215,F,4e
E0216,F,3e
E0217,M,3e
E0218,M,3e
E0219,F,3e
E0220,F,3e
E0221,M,3e
E0222,F,3e
E0223,F,3e
E0224,M,3e
E0225,M,3e
E0226,F,3e
E0227,M,3e
E0228,F,3e
E0229,F,3e
E0230,F,3e
E0231,M,3e
E0232,M,3e
E0233,F,3e
E0234,F,3e
E0235,F,3e
E0236,M,3e
E0237,M,3e
E0238,F,3e
E0239,F,3e
E0240,F,3e
E0241,F,3e
E0242,M,3e
E0243,M,3e
E0244,M,3e
E0245,M,3e
E0246,F,3e
E0247,M,3e
E0248,M,3e
E0249,F,3e
E0250,F,3e
E0251,M,3e
E0252,M,3e
E0253,M,3e
E0254,F,3e
E0255,M,3e
E0256,M,3e
E0257,M,3e
E0258,M,3e
E0259,F,3e
E0260,F,3e
E0261,F,3e
E0262,F,3e
E0263,M,3e
E0264,F,3e
E0265,F,3e
E0266,F,3e
E0267,M,3e
E0268,F,3e
E0269,M,3e
E0270,M,3e
E0271,M,3e
E0272,F,3e
E0273,F,3e
E0274,F,3e
E0275,M,3e
E0276,F,3e
E0277,F,3e
E0278,F,3e
E0279,M,3e
E0280,M,3e
E0281,M,3e
E0282,M,3e
E0283,F,3e
E0284,M,3e
E0285,M,3e
E0286,M,3e
E0287,M,3e
E0288,F,3e
E0289,M,3e
E0290,F,3e
E0291,M,3e
E0292,F,3e
E0293,F,3e
E0294,F,3e
E0295,M,3e
E0296,F,3e
E0297,M,3e
E0298,F,3e
E0299,F,3e
E0300,F,3e
E0301,F,3e
E0302,M,3e
E0303,M,3e
E0304,M,3e
E0305,M,3e
E0306,F,3e
E0307,F,3e
E0308,F,3e
E0309,F,3e
E0310,F,3e
E0311,F,3e
E0312,M,3e
E0313,M,3e
E0314,M,3e
E0315,M,3e
E0316,M,2nde
E0317,M,2nde
E0318,M,2nde
E0319,M,2nde
E0320,F,2nde
E0321,M,2nde
E0322,M,2nde
E0323,M,2nde
E0324,M,2nde
E0325,M,2nde
E0326,M,2nde
E0327,F,2nde
E0328,F,2nde
E0329,F,2nde
E0330,F,2nde
E0331,M,2nde
E0332,M,2nde
E0333,M,2nde
E0334,F,2nde
E0335,M,2nde
E0336,M,2nde
E0337,F,2nde
E0338,F,2nde
E0339,M,2nde
E0340,M,2nde
E0341,F,2nde
E0342,F,2nde
E0343,F,2nde
E0344,F,2nde
E0345,F,2nde
E0346,F,2nde
E0347,F,2nde
E0348,M,2nde
E0349,M,2nde
E0350,M,2nde
E0351,M,2nde
E0352,F,2nde
E0353,M,2nde
E0354,M,2nde
E0355,M,2nde
E0356,F,2nde
E0357,M,2nde
E0358,F,2nde
E0359,M,2nde
E0360,F,2nde
E0361,M,2nde
E0362,F,2nde
E0363,M,2nde
E0364,M,2nde
E0365,M,2nde
E0366,M,2nde
E0367,F,2nde
E0368,M,2nde
E0369,F,2nde
E0370,M,2nde
E0371,F,2nde
E0372,F,2nde
E0373,F,2nde
E0374,M,2nde
E0375,F,2nde
E0376,F,2nde
E0377,M,2nde
E0378,M,2nde
E0379,M,2nde
E0380,M,2nde
E0381,F,2nde
E0382,F,2nde
E0383,M,2nde
E0384,M,2nde
E0385,M,2nde
E0386,F,2nde
E0387,F,2nde
E0388,F,2nde
E0389,F,2nde
E0390,M,2nde
E0391,F,2nde
E0392,M,2nde
E0393,F,2nde
E0394,F,2nde
E0395,F,2nde
E0396,M,2nde
E0397,F,2nde
E0398,M,2nde
E0399,F,2nde
E0400,F,2nde
E0107,M,5e
E0233,F,3e
